url,provider,subject,area
45499,edX,Biology & Life Sciences,Life Sciences
45502,edX,Biology & Life Sciences,Life Sciences
45509,edX,Computer Science,Computer Science
45510,edX,Computer Science,Computer Science
45512,edX,Computer Science,Computer Science
45517,edX,Food & Nutrition,Life Sciences
45518,edX,Computer Science,Computer Science
45519,edX,Computer Science,Computer Science
45524,edX,Engineering,Physical Science and Engineering
46924,edX,Math,Math and Logic
46926,edX,Computer Science,Computer Science
46930,edX,Humanities,Language Learning
46931,edX,Humanities,Language Learning
46933,edX,Social Sciences,Social Sciences
46961,edX,Humanities,Language Learning
46962,edX,Humanities,Language Learning
46963,edX,Humanities,Language Learning
46984,edX,Computer Science,Computer Science
46991,edX,Biology & Life Sciences,Life Sciences
46994,edX,Social Sciences,Social Sciences
46995,edX,Biology & Life Sciences,Life Sciences
46996,edX,Humanities,Language Learning
47006,edX,Computer Science,Computer Science
47046,edX,Humanities,Language Learning
47048,edX,Engineering,Physical Science and Engineering
47050,edX,Education & Teacher Training,Social Sciences
47052,edX,Engineering,Physical Science and Engineering
47058,edX,Science,Physical Science and Engineering
47061,edX,Computer Science,Computer Science
47062,edX,Business & Management,Business
47063,edX,Engineering,Physical Science and Engineering
47113,edX,Computer Science,Computer Science
47118,edX,Computer Science,Computer Science
47119,edX,Computer Science,Computer Science
47680,edX,Math,Math and Logic
47718,Coursera,Music and Art,Arts and Humanities
47761,edX,Business & Management,Business
47764,edX,Biology & Life Sciences,Life Sciences
47767,edX,Computer Science,Computer Science
48069,edX,Computer Science,Computer Science
48089,edX,Science,Physical Science and Engineering
48092,edX,History,Arts and Humanities
48093,edX,Computer Science,Computer Science
48095,edX,Math,Math and Logic
48809,edX,History,Arts and Humanities
48812,edX,Social Sciences,Social Sciences
48819,edX,Music,Arts and Humanities
48821,edX,Social Sciences,Social Sciences
48827,edX,Engineering,Physical Science and Engineering
48828,edX,Business & Management,Business
48832,edX,Engineering,Physical Science and Engineering
49419,edX,Medicine,Life Sciences
49420,edX,Data Analysis & Statistics,Data Science
49805,edX,Health & Safety,Life Sciences
49998,edX,History,Arts and Humanities
50017,Coursera,Design and Product,Computer Science
50020,Coursera,Data Analysis,Data Science
50036,Coursera,Data Analysis,Data Science
50038,Coursera,Biology,Life Sciences
50047,Coursera,Software Development,Computer Science
50071,edX,Law,Social Sciences
50309,Coursera,Data Analysis,Data Science
50312,Coursera,Leadership and Management,Business
50313,Coursera,Data Analysis,Data Science
50337,Coursera,Mobile and Web Development,Computer Science
50360,Coursera,Mobile and Web Development,Computer Science
50361,Coursera,Physics and Astronomy,Physical Science and Engineering
50363,Coursera,History,Arts and Humanities
50390,Coursera,Data Analysis,Data Science
50397,Coursera,Software Development,Computer Science
50404,Coursera,Data Analysis & Statistics,Data Science
50408,Coursera,Leadership and Management,Business
50416,Coursera,Machine Learning,Data Science
50426,Coursera,Psychology,Social Sciences
50476,Coursera,Machine Learning,Data Science
50477,Coursera,Mobile and Web Development,Computer Science
50480,Coursera,Economics,Social Sciences
50487,Coursera,Business Essentials,Business
50490,Coursera,Biology,Life Sciences
50497,Coursera,Math and Logic,Math and Logic
50507,Coursera,Mechanical Engineering,Physical Science and Engineering
50532,Coursera,Business Strategy,Business
50537,Coursera,Math and Logic,Math and Logic
50555,Coursera,Software Development,Computer Science
50556,Coursera,Data Analysis,Data Science
50563,Coursera,Leadership and Management,Business
50568,Coursera,Electrical Engineering,Physical Science and Engineering
50570,Coursera,Business Strategy,Business
50571,Coursera,Music and Art,Arts and Humanities
50579,Coursera,Data Analysis,Data Science
50584,Coursera,Software Development,Computer Science
50618,Coursera,Biology,Life Sciences
50622,Coursera,Governance and Society,Social Sciences
50634,Coursera,Software Development,Computer Science
50635,Coursera,Machine Learning,Data Science
50637,Coursera,Data Analysis,Data Science
50659,Coursera,Data Analysis,Data Science
50672,Coursera,Law,Social Sciences
50675,Coursera,Physics and Astronomy,Physical Science and Engineering
50728,Coursera,Philosophy,Arts and Humanities
50731,Coursera,Music and Art,Arts and Humanities
50732,Coursera,Business Essentials,Business
50753,Coursera,History,Arts and Humanities
50758,Coursera,Physics and Astronomy,Physical Science and Engineering
50759,Coursera,Data Analysis,Data Science
50770,Coursera,Data Analysis,Data Science
50777,Coursera,Psychology,Social Sciences
50791,Coursera,Mobile and Web Development,Computer Science
50792,Coursera,Mechanical Engineering,Physical Science and Engineering
50796,Coursera,Business Essentials,Business
50800,Coursera,Education,Social Sciences
50824,Coursera,Environmental Science and Sustainability,Physical Science and Engineering
50829,Coursera,Software Development,Computer Science
50831,Coursera,Law,Social Sciences
50855,Coursera,Electrical Engineering,Physical Science and Engineering
50856,Coursera,Software Development,Computer Science
50862,Coursera,Data Analysis,Data Science
50864,Coursera,Algorithms,Computer Science
50873,Coursera,Probability and Statistics,Data Science
50878,Coursera,Machine Learning,Data Science
50882,Coursera,Data Analysis,Data Science
50884,Coursera,Business Essentials,Business
50888,Coursera,Machine Learning,Data Science
50896,Coursera,Mobile and Web Development,Computer Science
50900,Coursera,Data Analysis,Data Science
50901,Coursera,Finance,Business
50911,Coursera,Personal Development,Personal Development
51172,edX,Business & Management,Business
51174,edX,Music,Arts and Humanities
