url,index,course_id,review_platform,title,provider,subject,area,school,published_time,effort_hours (per_week),level,price,enrollment_type,course_length
https://www.class-central.com/mooc/7179/coursera-building-the-business-model-for-corporate-entrepreneurs,5429,classCentral-2098,classCentral,Building the Business Model for Corporate Entrepreneurs,Coursera,Entrepreneurship,Business,"University of Maryland, College Park",4,NA,Introductory,39,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7193/coursera-big-data-genes-and-medicine,5430,classCentral-2099,classCentral,"Big Data, Genes, and Medicine",Coursera,Bioinformatics,Life Sciences,State University of New York,4,NA,Advanced,49,FREE audit/Pay for certificate,6
https://www.class-central.com/mooc/7028/coursera-introduction-to-data-analytics-for-business,5431,classCentral-2100,classCentral,Introduction to Data Analytics for Business,Coursera,Data Analysis,Data Science,University of Colorado Boulder,4,NA,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7042/coursera-trading-basics,5432,classCentral-2101,classCentral,Trading Basics,Coursera,Finance,Business,Indian School of Business,4,3.5,Introductory,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7136/coursera-chinese-for-hsk-2,5433,classCentral-2102,classCentral,Chinese for HSK 2,Coursera,Other Languages,Language Learning,Peking University,4,NA,Introductory,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/7124/coursera-grant-proposal,5434,classCentral-2103,classCentral,Grant Proposal,Coursera,Learning English,Language Learning,Moscow Institute of Physics and Technology,4,NA,Intermediate,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7251/coursera-operational-finance-finance-for-managers,5435,classCentral-2104,classCentral,Operational Finance: Finance for Managers,Coursera,Finance,Business,IESE Business School,4,4,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7282/coursera-noun-clauses-and-conditionals,5436,classCentral-2105,classCentral,Noun Clauses and Conditionals,Coursera,Learning English,Language Learning,"University of California, Irvine",4,3.5,Intermediate,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7352/coursera-divide-and-conquer-sorting-and-searching-and-randomized-algorithms,5437,classCentral-2106,classCentral,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Coursera,Algorithms,Computer Science,Stanford University,4,6,Intermediate,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7458/coursera-speaking-to-inform-discussing-complex-ideas-with-clear-explanations-and-dynamic-slides,5438,classCentral-2107,classCentral,Speaking to inform: Discussing complex ideas with clear explanations and dynamic slides,Coursera,Personal Development,Personal Development,University of Washington,4,NA,Introductory,79,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/7749/coursera-operations-management-and-strategy-toolkit-for-working-professionals,5439,classCentral-2108,classCentral,Operations Management and Strategy Toolkit for Working Professionals,Coursera,Business Strategy,Business,Vanderbilt University,4,NA,Intermediate,750,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7751/coursera-data-processing-using-python,5440,classCentral-2109,classCentral,Data Processing Using Python,Coursera,Software Development,Computer Science,Nanjing University,4,NA,Introductory,29,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/8228/coursera-leading-the-life-you-want,5441,classCentral-2110,classCentral,Leading the Life You Want,Coursera,Leadership and Management,Business,University of Pennsylvania,4,2.5,Introductory,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/8331/coursera-positive-psychology-resilience-skills,5442,classCentral-2111,classCentral,Positive Psychology: Resilience Skills,Coursera,Psychology,Social Sciences,University of Pennsylvania,4,3.5,Introductory,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/8235/coursera-improving-communication-skills,5443,classCentral-2112,classCentral,Improving Communication Skills,Coursera,Personal Development,Personal Development,University of Pennsylvania,4,2.5,Introductory,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/8292/coursera-water-supply-and-sanitation-policy-in-developing-countries-part-2-developing-effective-interventions,5444,classCentral-2113,classCentral,Water Supply and Sanitation Policy in Developing Countries Part 2: Developing Effective Interventions,Coursera,Governance and Society,Social Sciences,University of Manchester,4,NA,Intermediate,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/433/coursera-grow-to-greatness-smart-growth-for-private-businesses-part-i,5445,classCentral-2114,classCentral,"Grow to Greatness: Smart Growth for Private Businesses, Part I",Coursera,Business Strategy,Business,University of Virginia,NA,5,NA,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/522/coursera-introduction-to-guitar,5446,classCentral-2115,classCentral,Introduction to Guitar,Coursera,Music and Art,Arts and Humanities,Berklee College of Music,NA,7,NA,49,FREE audit/Pay for certificate,6
https://www.class-central.com/mooc/692/coursera-history-of-rock-part-two,5447,classCentral-2116,classCentral,"History of Rock, Part Two",Coursera,Music and Art,Arts and Humanities,University of Rochester,1,3,NA,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/666/coursera-measuring-causal-effects-in-the-social-sciences,5448,classCentral-2117,classCentral,Measuring Causal Effects in the Social Sciences,Coursera,Governance and Society,Social Sciences,University of Copenhagen,2,4,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/870/coursera-emerging-trends-technologies-in-the-virtual-k-12-classroom,5449,classCentral-2118,classCentral,Emerging Trends & Technologies in the Virtual K-12 Classroom,Coursera,Education,Social Sciences,"University of California, Irvine",1,3,NA,39,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/1172/coursera-the-kennedy-half-century,5450,classCentral-2119,classCentral,The Kennedy Half Century,Coursera,History,Arts and Humanities,University of Virginia,1,3,NA,49,FREE audit/Pay for certificate,4
