url,time-1,time-2,time-3,time-4
83212,FALSE,FALSE,FALSE,TRUE
69894,FALSE,FALSE,FALSE,TRUE
83882,FALSE,FALSE,TRUE,TRUE
35400,NA,NA,NA,NA
84284,FALSE,TRUE,TRUE,TRUE
81875,FALSE,FALSE,FALSE,TRUE
80160,FALSE,FALSE,TRUE,TRUE
83276,FALSE,FALSE,FALSE,TRUE
68073,NA,NA,NA,NA
49845,NA,NA,NA,NA
81882,FALSE,TRUE,TRUE,TRUE
80844,FALSE,TRUE,TRUE,TRUE
83785,FALSE,FALSE,FALSE,TRUE
69540,FALSE,FALSE,TRUE,TRUE
83280,FALSE,FALSE,TRUE,TRUE
83974,FALSE,FALSE,FALSE,TRUE
87224,NA,NA,NA,NA
81427,FALSE,FALSE,FALSE,TRUE
14080,TRUE,FALSE,TRUE,FALSE
46950,NA,NA,NA,NA
71657,FALSE,FALSE,FALSE,TRUE
83282,FALSE,FALSE,TRUE,TRUE
45492,TRUE,TRUE,TRUE,TRUE
84123,FALSE,FALSE,FALSE,TRUE
88631,FALSE,FALSE,FALSE,TRUE
89755,NA,NA,NA,NA
92958,NA,NA,NA,NA
69217,FALSE,FALSE,TRUE,TRUE
83206,FALSE,FALSE,FALSE,TRUE
89709,NA,NA,NA,NA
89712,FALSE,FALSE,FALSE,TRUE
92961,FALSE,FALSE,TRUE,TRUE
90807,NA,NA,NA,NA
41389,FALSE,TRUE,FALSE,FALSE
51555,FALSE,FALSE,FALSE,TRUE
65177,FALSE,FALSE,TRUE,FALSE
90808,FALSE,FALSE,FALSE,TRUE
80335,FALSE,FALSE,FALSE,TRUE
82874,FALSE,FALSE,FALSE,TRUE
83023,FALSE,FALSE,FALSE,TRUE
65213,FALSE,FALSE,TRUE,FALSE
83020,FALSE,FALSE,FALSE,TRUE
65210,FALSE,FALSE,TRUE,FALSE
81576,NA,NA,NA,NA
78795,FALSE,FALSE,TRUE,TRUE
69867,FALSE,FALSE,FALSE,TRUE
75551,FALSE,FALSE,FALSE,TRUE
83279,FALSE,FALSE,TRUE,TRUE
83550,NA,NA,NA,NA
47758,FALSE,TRUE,TRUE,FALSE
47055,FALSE,FALSE,TRUE,FALSE
65209,FALSE,FALSE,TRUE,FALSE
89902,NA,NA,NA,NA
84081,TRUE,TRUE,TRUE,TRUE
20224,FALSE,TRUE,FALSE,FALSE
92818,NA,NA,NA,NA
45458,NA,NA,NA,NA
28422,TRUE,TRUE,TRUE,FALSE
92821,NA,NA,NA,NA
41554,FALSE,TRUE,FALSE,TRUE
48090,FALSE,FALSE,TRUE,FALSE
69541,NA,NA,NA,NA
36396,NA,NA,NA,NA
45451,NA,NA,NA,NA
86837,FALSE,FALSE,FALSE,TRUE
71694,FALSE,FALSE,TRUE,TRUE
84128,FALSE,FALSE,FALSE,TRUE
41168,FALSE,TRUE,FALSE,FALSE
47032,FALSE,FALSE,TRUE,FALSE
82877,FALSE,FALSE,FALSE,TRUE
71381,FALSE,FALSE,FALSE,TRUE
71658,FALSE,FALSE,TRUE,FALSE
71722,FALSE,FALSE,FALSE,TRUE
14088,TRUE,FALSE,FALSE,FALSE
65206,FALSE,FALSE,TRUE,TRUE
83926,FALSE,FALSE,FALSE,TRUE
78610,FALSE,FALSE,FALSE,TRUE
70252,FALSE,FALSE,FALSE,TRUE
71517,FALSE,TRUE,FALSE,FALSE
83122,FALSE,TRUE,FALSE,TRUE
29204,FALSE,TRUE,TRUE,FALSE
71650,FALSE,TRUE,TRUE,TRUE
89708,FALSE,FALSE,TRUE,TRUE
89905,NA,NA,NA,NA
81883,FALSE,FALSE,TRUE,TRUE
75267,FALSE,FALSE,FALSE,TRUE
75238,FALSE,FALSE,FALSE,TRUE
89770,NA,NA,NA,NA
65175,FALSE,FALSE,TRUE,FALSE
51493,FALSE,FALSE,TRUE,TRUE
89901,NA,NA,NA,NA
89767,NA,NA,NA,NA
67555,FALSE,FALSE,FALSE,TRUE
81884,FALSE,FALSE,TRUE,TRUE
86959,FALSE,FALSE,FALSE,TRUE
89714,NA,NA,NA,NA
89906,NA,NA,NA,NA
34609,FALSE,TRUE,TRUE,TRUE
81652,FALSE,FALSE,FALSE,TRUE
89009,FALSE,FALSE,FALSE,TRUE
71651,FALSE,FALSE,FALSE,TRUE
84175,FALSE,FALSE,FALSE,TRUE
92723,FALSE,FALSE,FALSE,TRUE
90803,NA,NA,NA,NA
92820,NA,NA,NA,NA
68040,NA,NA,NA,NA
83278,FALSE,FALSE,TRUE,TRUE
112268,NA,NA,NA,NA
80164,FALSE,FALSE,TRUE,TRUE
81578,NA,NA,NA,NA
83202,NA,NA,NA,NA
81429,FALSE,FALSE,TRUE,TRUE
93109,NA,NA,NA,NA
50003,NA,NA,NA,NA
65227,FALSE,FALSE,FALSE,TRUE
92962,FALSE,TRUE,TRUE,TRUE
112748,NA,NA,NA,NA
80845,FALSE,FALSE,TRUE,TRUE
92913,FALSE,FALSE,TRUE,TRUE
90856,FALSE,FALSE,FALSE,TRUE
84001,FALSE,TRUE,TRUE,TRUE
83111,FALSE,TRUE,TRUE,TRUE
70247,FALSE,FALSE,FALSE,TRUE
71613,FALSE,FALSE,FALSE,TRUE
112267,NA,NA,NA,NA
68045,NA,NA,NA,NA
83549,FALSE,TRUE,FALSE,TRUE
36379,TRUE,TRUE,TRUE,TRUE
46933,FALSE,FALSE,TRUE,TRUE
88694,FALSE,FALSE,FALSE,TRUE
88813,FALSE,FALSE,FALSE,TRUE
69851,FALSE,FALSE,TRUE,TRUE
51348,FALSE,FALSE,TRUE,FALSE
80960,FALSE,FALSE,FALSE,TRUE
82897,FALSE,FALSE,FALSE,TRUE
81056,FALSE,FALSE,TRUE,TRUE
67547,FALSE,FALSE,TRUE,TRUE
78575,FALSE,FALSE,FALSE,TRUE
65226,FALSE,FALSE,TRUE,TRUE
78563,FALSE,FALSE,FALSE,TRUE
69939,TRUE,TRUE,TRUE,TRUE
23416,FALSE,TRUE,TRUE,TRUE
45521,FALSE,FALSE,TRUE,TRUE
70246,TRUE,TRUE,FALSE,TRUE
36466,FALSE,TRUE,FALSE,TRUE
69223,FALSE,FALSE,TRUE,TRUE
35774,FALSE,TRUE,TRUE,FALSE
69879,FALSE,FALSE,FALSE,TRUE
78589,FALSE,FALSE,TRUE,TRUE
83213,FALSE,FALSE,FALSE,TRUE
78565,FALSE,TRUE,TRUE,TRUE
71723,FALSE,FALSE,FALSE,TRUE
69978,FALSE,FALSE,FALSE,TRUE
49838,NA,NA,NA,NA
83109,FALSE,FALSE,TRUE,TRUE
47761,FALSE,FALSE,TRUE,TRUE
83210,TRUE,TRUE,TRUE,TRUE
78862,FALSE,TRUE,TRUE,TRUE
69273,NA,NA,NA,NA
90815,FALSE,FALSE,TRUE,TRUE
36237,FALSE,TRUE,TRUE,FALSE
46935,FALSE,FALSE,TRUE,FALSE
82607,FALSE,FALSE,FALSE,TRUE
81877,TRUE,TRUE,TRUE,TRUE
75369,FALSE,FALSE,FALSE,TRUE
83784,TRUE,TRUE,TRUE,TRUE
84330,FALSE,FALSE,FALSE,TRUE
69203,FALSE,FALSE,TRUE,TRUE
51186,FALSE,TRUE,TRUE,FALSE
34841,FALSE,TRUE,FALSE,FALSE
47063,FALSE,FALSE,TRUE,TRUE
45240,NA,NA,NA,NA
34596,FALSE,TRUE,TRUE,FALSE
45520,FALSE,FALSE,TRUE,TRUE
