time,num_review,num_review_with_id,frac_low_star,frac_mid_star,frac_high_star,avg_review_len,avg_review_rating,num_reviewed_courses,frac_helpful_review
1,1743,16,0.036144578,0.018359151,0.945496271,262.5065978,4.748709122,240,0.18703385
2,1965,826,0.113486005,0.106361323,0.780152672,271.9063613,4.156743003,568,0.47735369
3,6365,3736,0.085153181,0.089709348,0.825137471,148.6174391,4.284367636,1231,0.189630793
4,9407,3995,0.044647603,0.04847454,0.906877857,189.2501329,4.565429999,1401,0.04262783
