"","in-degree","out-degree","closeness","betweenness","eigenvector","transitivity","constraint","url","time"
"1",0,0.285714285714286,0.0909090909090909,0,0,1.01555555555556,0.831191692386832,"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1",1
"2",0.0714285714285714,0.214285714285714,0.0909090909090909,0,2.57222680357862e-16,1.01555555555556,0.831191692386832,"https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala",1
"3",0.285714285714286,0.142857142857143,0.0909090909090909,0,0.999999999999999,0.415555555555556,0.762952880658436,"https://www.class-central.com/mooc/546/coursera-foundations-of-business-strategy",1
"4",0.285714285714286,0.142857142857143,0.0909090909090909,0,1,0.415555555555556,0.762952880658436,"https://www.class-central.com/mooc/388/coursera-computing-for-data-analysis",1
"5",0.285714285714286,0.142857142857143,0.0909090909090909,0,0.999999999999999,0.415555555555556,0.762952880658436,"https://www.class-central.com/mooc/338/coursera-social-network-analysis",1
"6",0,0.357142857142857,0.1,0,0,1.01555555555556,0.661320164609053,"https://www.class-central.com/mooc/1307/coursera-fundamentals-of-global-energy-business",1
"7",0.142857142857143,0.285714285714286,0.1,0,6.17334432858868e-16,0.682222222222222,0.634851028806584,"https://www.class-central.com/mooc/707/coursera-understanding-economic-policymaking",1
"8",0.142857142857143,0.285714285714286,0.1,0,5.14445360715723e-16,0.682222222222222,0.634851028806584,"https://www.class-central.com/mooc/976/coursera-the-emergence-of-the-modern-middle-east-part-i",1
"9",0.214285714285714,0.142857142857143,0.1,0,9.26001649288302e-16,1.01555555555556,0.661320164609054,"https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges",1
"10",0.285714285714286,0.0714285714285714,0.1,0,1.54333608214717e-15,1.01555555555556,0.661320164609054,"https://www.class-central.com/mooc/1529/coursera-technology-and-ethics",1
"11",0.357142857142857,0,0.1,0,2.67511587572176e-15,1.01555555555556,0.661320164609054,"https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society",1
"12",0,0,0.0666666666666667,0,0,0,0,"https://www.class-central.com/mooc/335/coursera-internet-history-technology-and-security",1
"13",0.142857142857143,0.142857142857143,0.0769230769230769,0,0.380966188587295,0.182222222222222,1.1267646090535,"https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1",1
"14",0.142857142857143,0.142857142857143,0.0769230769230769,0,0.380966188587296,0.182222222222222,1.1267646090535,"https://www.class-central.com/mooc/317/coursera-model-thinking",1
"15",0.142857142857143,0.142857142857143,0.0769230769230769,0,0.380966188587296,0.182222222222222,1.1267646090535,"https://www.class-central.com/mooc/307/coursera-natural-language-processing",1
"16",0.0173410404624277,0.023121387283237,0.00892764991227165,0,0.120275133784971,0.30779615794025,0.32805511533323,"https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners",2
"17",0.0202312138728324,0.0346820809248555,0.00893502737320525,0.00429666423233286,0.13022897499001,0.210630166037416,0.207964365874712,"https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity",2
"18",0.164739884393064,0.141618497109827,0.00895352447986751,0.047051130916215,1,0.0570670128714824,0.0854303326817322,"https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox",2
"19",0.245664739884393,0.291907514450867,0.00897419271171054,0.153604569577975,0.772984261903372,0.0450907726542197,0.0373336262921447,"https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects",2
"20",0.0173410404624277,0.023121387283237,0.00892764991227165,0,0.120275133784971,0.30779615794025,0.32805511533323,"https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain",2
"21",0.0173410404624277,0.023121387283237,0.00892764991227165,0,0.120275133784971,0.30779615794025,0.32805511533323,"https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health",2
"22",0.0173410404624277,0.023121387283237,0.00892764991227165,0,0.120275133784971,0.30779615794025,0.32805511533323,"https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning",2
"23",0.0375722543352601,0.0144508670520231,0.00893387384130755,0.00130208102146259,0.247545892667345,0.248469863319838,0.209473352620848,"https://www.class-central.com/mooc/1403/coursera-the-addicted-brain",2
"24",0.0289017341040462,0.00867052023121387,0.00893087605183005,0.00105617787999557,0.147702447449436,0.371898722042814,0.230778100041847,"https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking",2
"25",0,0,0.00288184438040346,0,5.79919754464356e-18,0,0,"https://www.class-central.com/mooc/2941/coursera--food-safety-toxicology",2
"26",0,0,0.00288184438040346,0,5.79919754464356e-18,0,0,"https://www.class-central.com/mooc/371/coursera-design-creation-of-artifacts-in-society",2
"27",0.0115606936416185,0.0289017341040462,0.00891086559015169,0.00210268560033203,0.0443768963428675,0.263840113984206,0.221951610917333,"https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala",2
"28",0.0867052023121387,0.0953757225433526,0.00895723309516413,0.0434431690643277,0.292482832769215,0.180851418092284,0.0707487400578362,"https://www.class-central.com/mooc/1349/coursera-data-analysis-and-statistical-inference",2
"29",0.0289017341040462,0.00867052023121387,0.00892074459856649,0.00202942528232124,0.13905924392905,0.410360260504353,0.189896675425515,"https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications",2
"30",0.00867052023121387,0,0.0089055904457943,0,0.0252827920806229,1.00010385024794,0.458713992590148,"https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming",2
