"","degree","closeness","betweenness","eigenvector","transitivity","constraint","isolate","foldness","url","time"
"761",7,5.77804228371343e-06,0.142857142857143,0.00472416488662,1,0.394247121174148,0,2,"https://www.class-central.com/mooc/5831/coursera-how-to-finance-and-grow-your-startup-without-vc",3
"762",28,5.7909244631813e-06,45.6948040498402,0.0546145291965474,1,0.0858539254312476,0,14,"https://www.class-central.com/mooc/519/coursera-the-science-of-gastronomy",3
"763",2,9.61168781237985e-07,2,2.19789258638201e-07,0,0.500007412188047,0,1,"https://www.class-central.com/mooc/661/coursera-ser-mas-creativos",3
"764",34,5.78522915292675e-06,1.55985980632781,0.0167859172247513,1,0.0863538517440408,0,6,"https://www.class-central.com/mooc/5236/coursera-paleontology-theropod-dinosaurs-and-the-origin-of-birds",3
"765",1,5.75844475923942e-06,0,0.000155593313727812,0,1.00000741218805,0,0,"https://www.class-central.com/mooc/5356/coursera-oil-gas-industry-operations-and-markets",3
"766",8,5.77654031447485e-06,2.17761998046506,0.0220619525874311,1,0.196996838974199,0,1,"https://www.class-central.com/mooc/5243/coursera-inferential-and-predictive-statistics-for-business",3
"767",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/4769/coursera-leadership-through-marketing",3
"768",33,5.77297209922584e-06,9.09154177287795,0.00751623501243376,1,0.102942970162979,0,5,"https://www.class-central.com/mooc/390/coursera-learn-to-program-crafting-quality-code",3
"769",142,5.79656379698115e-06,8135.21418395515,0.406195062565426,0.291579262810908,0.0400019661547913,0,14,"https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1",3
"770",10,5.77607319439952e-06,2.02005753671342,0.00381664341278252,1,0.191767505712791,0,2,"https://www.class-central.com/mooc/542/coursera-film-images-historical-interpretation-in-the-20th-century-the-camera-never-lies",3
"771",7,5.76415387985198e-06,2.55339105339105,0.000754189499579234,0.80952380952381,0.307450281008859,0,1,"https://www.class-central.com/mooc/523/coursera-songwriting-writing-the-lyrics",3
