from,to
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/1403/coursera-the-addicted-brain
https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health,https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/1403/coursera-the-addicted-brain
https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning,https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking
https://www.class-central.com/mooc/1403/coursera-the-addicted-brain,https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking
https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking,https://www.class-central.com/mooc/1403/coursera-the-addicted-brain
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/1349/coursera-data-analysis-and-statistical-inference
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming
https://www.class-central.com/mooc/1349/coursera-data-analysis-and-statistical-inference,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
https://www.class-central.com/mooc/1349/coursera-data-analysis-and-statistical-inference,https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications
https://www.class-central.com/mooc/1349/coursera-data-analysis-and-statistical-inference,https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming
https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications,https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/1730/coursera-cryptography
https://www.class-central.com/mooc/1730/coursera-cryptography,https://www.class-central.com/mooc/339/coursera-algorithms-part-i
https://www.class-central.com/mooc/309/coursera-probabilistic-graphical-models-1-representation,https://www.class-central.com/mooc/1496/edx-introduction-to-probability-the-science-of-uncertainty
https://www.class-central.com/mooc/309/coursera-probabilistic-graphical-models-1-representation,https://www.class-central.com/mooc/1724/coursera-principles-of-computing-part-1
https://www.class-central.com/mooc/309/coursera-probabilistic-graphical-models-1-representation,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/1496/edx-introduction-to-probability-the-science-of-uncertainty,https://www.class-central.com/mooc/309/coursera-probabilistic-graphical-models-1-representation
https://www.class-central.com/mooc/1496/edx-introduction-to-probability-the-science-of-uncertainty,https://www.class-central.com/mooc/1724/coursera-principles-of-computing-part-1
https://www.class-central.com/mooc/1496/edx-introduction-to-probability-the-science-of-uncertainty,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/1724/coursera-principles-of-computing-part-1,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/339/coursera-algorithms-part-i
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/616/coursera-cryptography-i
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/340/coursera-algorithms-part-ii
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/922/coursera-analytic-combinatorics
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/382/coursera-introduction-to-astronomy
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,https://www.class-central.com/mooc/724/coursera-fundamentals-of-digital-image-and-video-processing
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/616/coursera-cryptography-i
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/340/coursera-algorithms-part-ii
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/922/coursera-analytic-combinatorics
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/382/coursera-introduction-to-astronomy
https://www.class-central.com/mooc/339/coursera-algorithms-part-i,https://www.class-central.com/mooc/724/coursera-fundamentals-of-digital-image-and-video-processing
https://www.class-central.com/mooc/616/coursera-cryptography-i,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
https://www.class-central.com/mooc/616/coursera-cryptography-i,https://www.class-central.com/mooc/339/coursera-algorithms-part-i
https://www.class-central.com/mooc/616/coursera-cryptography-i,https://www.class-central.com/mooc/340/coursera-algorithms-part-ii
https://www.class-central.com/mooc/616/coursera-cryptography-i,https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life
https://www.class-central.com/mooc/616/coursera-cryptography-i,https://www.class-central.com/mooc/922/coursera-analytic-combinatorics
https://www.class-central.com/mooc/616/coursera-cryptography-i,https://www.class-central.com/mooc/382/coursera-introduction-to-astronomy
https://www.class-central.com/mooc/616/coursera-cryptography-i,https://www.class-central.com/mooc/724/coursera-fundamentals-of-digital-image-and-video-processing
https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,https://www.class-central.com/mooc/339/coursera-algorithms-part-i
