course,reviewer,date
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/441033,2017-05-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/443325,2017-06-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414581,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414624,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415872,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/419403,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415665,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414588,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414715,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414584,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414800,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/470666,2017-06-24
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415565,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414597,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414710,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414637,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414681,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414628,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414787,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/420608,2017-05-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415245,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415271,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414635,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414697,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415457,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414587,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414746,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414668,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414741,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414575,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415173,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/419777,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414634,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/420390,2017-05-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415284,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414701,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414660,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/447809,2017-06-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415100,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/259807,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414570,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414567,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/105038,2017-05-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414636,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/414582,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/65935,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/416601,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/417289,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/420917,2017-05-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/416673,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/415362,2017-04-08
https://www.class-central.com/mooc/7455/coursera-mountains-101,/u/423297,2017-05-08
https://www.class-central.com/mooc/7791/coursera-teaching-science-at-university,/u/384533,2017-03-08
https://www.class-central.com/mooc/384/coursera-medical-neuroscience,/u/461206,2017-06-10
https://www.class-central.com/mooc/384/coursera-medical-neuroscience,/u/457,2016-07-08
https://www.class-central.com/mooc/384/coursera-medical-neuroscience,/u/205440,2017-04-08
https://www.class-central.com/mooc/384/coursera-medical-neuroscience,/u/88954,2017-05-08
https://www.class-central.com/mooc/384/coursera-medical-neuroscience,/u/356419,2017-03-08
