id,1,2,3,4,5,6,7
/u/141333,"['Data Analysis', 'Law', 'Data Analysis', 'Probability and Statistics', 'Software Development', 'Nutrition', 'Other Languages', 'Data Analysis', 'Nutrition', 'Machine Learning', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Economics', 'Research Methods', 'Computer Security and Networks', 'Data Analysis & Statistics', 'Machine Learning', 'History', 'Electrical Engineering', 'Data Analysis & Statistics', 'Computer Security and Networks', 'Data Analysis & Statistics', 'Probability and Statistics', 'Economics', 'Music and Art', 'Probability and Statistics', 'Data Analysis', 'Probability and Statistics', 'Software Development', 'Probability and Statistics', 'Data Analysis', 'Electrical Engineering', 'Data Analysis', 'Machine Learning', 'Physics and Astronomy', 'Nutrition', 'Machine Learning', 'Software Development', 'Software Development', 'Mobile and Web Development', 'Mobile and Web Development', 'Software Development', 'Software Development', 'Design and Product', 'Data Analysis', 'Data Analysis', 'Machine Learning', 'Machine Learning', 'Mobile and Web Development', 'Software Development', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Mobile and Web Development', 'Electrical Engineering', 'Software Development', 'Machine Learning', 'Data Analysis', 'Biology', 'Physics and Astronomy', 'Software Development', 'Data Analysis', 'Software Development', 'Software Development', 'Data Analysis', 'Data Analysis', 'Software Development', 'Data Analysis', 'Machine Learning', 'Data Analysis', 'Personal Development', 'Data Analysis', 'Leadership and Management', 'Machine Learning', 'Music and Art', 'Economics', 'Music and Art', 'Psychology', 'Software Development', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Software Development', 'Data Analysis', 'Data Analysis', 'Machine Learning', 'Data Analysis', 'Chemistry', 'Computer Science', 'Software Development', 'Economics', 'Computer Science', 'Computer Science', 'Data Analysis & Statistics', 'Math and Logic', 'Machine Learning', 'Data Analysis & Statistics', 'Computer Science', 'Humanities', 'Biology & Life Sciences', 'Data Analysis & Statistics', 'Chemistry', 'Computer Science', 'Computer Science', 'Engineering', 'Data Analysis & Statistics', 'Computer Science', 'NA', 'Computer Science', 'Music and Art', 'Probability and Statistics', 'Data Analysis', 'Computer Science', 'Mobile and Web Development', 'Data Analysis', 'Software Development', 'Sociology', 'Machine Learning', 'Computer Science', 'Computer Science', 'Math and Logic', 'Data Analysis & Statistics', 'Personal Development', 'Probability and Statistics', 'Computer Science', 'Data Analysis & Statistics', 'Data Analysis & Statistics', 'Machine Learning', 'Algorithms', 'Algorithms', 'Algorithms']","['Data Analysis', 'Data Analysis']",,,,,
/u/219860,['Finance'],,,,,,
/u/116091,"['History', 'History', 'Music']",['Data Analysis'],,,,,
/u/395433,[],,,,,,
/u/424930,['Mechanical Engineering'],,,,,,
/u/76013,['Algorithms'],['Electronics'],"['Electronics', 'Electronics']",['Mechanical Engineering'],['Mechanical Engineering'],['Mechanical Engineering'],
/u/415840,['Mechanical Engineering'],,,,,,
/u/416913,['Mechanical Engineering'],,,,,,
/u/416056,['Mechanical Engineering'],,,,,,
/u/431566,['Mechanical Engineering'],,,,,,
/u/209565,"['Mechanical Engineering', 'Mechanical Engineering']",,,,,,
/u/415761,['Mechanical Engineering'],,,,,,
/u/415707,['Mechanical Engineering'],,,,,,
/u/196098,['Mechanical Engineering'],,,,,,
/u/415766,['Mechanical Engineering'],,,,,,
/u/416108,"['Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering']",,,,,,
/u/415845,['Mechanical Engineering'],,,,,,
/u/54126,"['Business & Management', 'Physics', 'Energy & Earth Sciences', 'Physics', 'Humanities', 'Law']","['Economics', 'Leadership and Management', 'Economics', 'Physics', 'Economics', 'Business & Management']",['Finance'],"['Economics', 'Health & Safety']",,,
/u/123037,"['Governance and Society', 'Personal Development']",,,,,,
/u/240862,"['Mobile and Web Development', 'Mobile and Web Development', 'Mobile and Web Development']","['Software Development', 'Mobile and Web Development']",['Mobile and Web Development'],,,,
/u/130936,"['Data Analysis & Statistics', 'Computer Science']",,,,,,
/u/146202,['Mobile and Web Development'],,,,,,
/u/216914,['Mobile and Web Development'],,,,,,
/u/230316,"['Mobile and Web Development', 'Biology & Life Sciences', 'Music']",['Design and Product'],,,,,
/u/92895,['Finance'],,,,,,
/u/114544,['Physics and Astronomy'],"['Psychology', 'Learning English', 'Biology', 'Personal Development']",['Biology'],,,,
/u/415006,['Biology'],,,,,,
/u/415262,['Biology'],,,,,,
/u/445903,['Biology'],,,,,,
/u/430703,['Biology'],,,,,,
/u/441033,['Biology'],,,,,,
/u/443325,['Biology'],,,,,,
/u/414581,['Biology'],,,,,,
/u/414624,['Biology'],,,,,,
/u/415872,['Biology'],,,,,,
/u/419403,['Biology'],,,,,,
/u/415665,['Biology'],,,,,,
/u/414588,['Biology'],,,,,,
/u/414715,['Biology'],,,,,,
/u/414584,['Biology'],,,,,,
/u/414800,['Biology'],,,,,,
/u/470666,['Biology'],,,,,,
/u/415565,['Biology'],,,,,,
/u/414597,['Biology'],,,,,,
/u/414710,['Biology'],,,,,,
/u/414637,['Biology'],,,,,,
/u/414681,['Biology'],,,,,,
/u/414628,['Biology'],,,,,,
/u/414787,['Biology'],,,,,,
/u/420608,['Biology'],,,,,,
/u/415245,['Biology'],,,,,,
/u/415271,['Biology'],,,,,,
/u/414635,['Biology'],,,,,,
/u/414697,['Biology'],,,,,,
/u/415457,['Biology'],,,,,,
/u/414587,['Biology'],,,,,,
