id,1,2,3,4,5,6,7,8,9,10,11,12,13,14
/accounts/profile/paulojacobsen,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/manohargarikapati,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/davidroche,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/andresussacaycedo,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/lesliedycke,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/veronicarobledo,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/lgmiotto,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/andycheung,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/patricia.dzigas,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/leonidshnayder,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/mavridisgeorg,['Business & Management'],['Computer Science'],,,,,,,,,,,,
/accounts/profile/nkkn,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/pavelklammert,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/martinstaviar1,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/maureenkinyanjui,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/Goran_BA,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/minna.christakos,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/nidhisharma,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/edgarcamargo,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/sheronyoung,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/vincemckenney,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/erikavirtanengalt,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/ivanas,"['History', 'Music and Art']",['Business Strategy'],['Data Analysis'],['Business & Management'],,,,,,,,,,
/accounts/profile/sandieberhardt,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/yvonnespivack,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/OsmithVides,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/ydriouicha,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/wisitwongtassaneekorn,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/basaruncu,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/poojanandy,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/kostaskechagias,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/stephanieshaff,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/graemeroberts,['Business & Management'],,,,,,,,,,,,,
/accounts/profile/danielmcdonald,['Physics and Astronomy'],,,,,,,,,,,,,
/accounts/profile/sylvain.chambon,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/nalinvenkatsameera,"['Biology & Life Sciences', 'Physics and Astronomy']",,,,,,,,,,,,,
/accounts/profile/shalinik,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/jamessmith,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/kyengineer,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/allanyue,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/stuartwilloughby,['Biology'],['Biology & Life Sciences'],,,,,,,,,,,,
/accounts/profile/alisonscott,['Biology & Life Sciences'],['Chemistry'],,,,,,,,,,,,
/accounts/profile/jamiebj,"['Biology & Life Sciences', 'Biology', 'Medicine & Healthcare', 'Medicine & Healthcare']",['Medicine & Healthcare'],,,,,,,,,,,,
/accounts/profile/jt1,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/terrystewart,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/nisheethbandaru,"['Biology & Life Sciences', 'Computer Science']",,,,,,,,,,,,,
/accounts/profile/enricobellucci,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/maureenthomas,"['Biology & Life Sciences', 'Medicine & Healthcare']",,,,,,,,,,,,,
/accounts/profile/steffenschwientek,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/Rachel321,['Biology & Life Sciences'],,,,,,,,,,,,,
/accounts/profile/keithmitchell,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/cleamcdonald,['History'],,,,,,,,,,,,,
/accounts/profile/DanielN.Gullotta,['History'],,,,,,,,,,,,,
/accounts/profile/boyarsky,['Software Development'],['Computer Science'],['Personal Development'],['Software Development'],['Software Development'],['Governance and Society'],,,,,,,,
/accounts/profile/atulrajdhar,['Math'],,,,,,,,,,,,,
/accounts/profile/trevorfarley1,['Math'],,,,,,,,,,,,,
/accounts/profile/juliobautista,['Math'],,,,,,,,,,,,,
/accounts/profile/anuthelema,['Math'],,,,,,,,,,,,,
/accounts/profile/chrisalford,['Law'],,,,,,,,,,,,,
/accounts/profile/jackoverton,['Law'],,,,,,,,,,,,,
/accounts/profile/rogerleyster,['Software Development'],,,,,,,,,,,,,
/accounts/profile/dennishorne,['Physics and Astronomy'],['Governance and Society'],['Physics and Astronomy'],,,,,,,,,,,
/accounts/profile/krishnavaidyanathan,['Software Development'],,,,,,,,,,,,,
/accounts/profile/kevinzhu,['Machine Learning'],,,,,,,,,,,,,
/accounts/profile/franciscogoitia,['Software Development'],['Data Analysis'],,,,,,,,,,,,
/accounts/profile/johnhopkins1,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/shahzad.sab,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/yaldamohammadian,"['Computer Science', 'Economics']",,,,,,,,,,,,,
/accounts/profile/dmitriyalexeev,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/miguelvargas,['Computer Science'],"['Math', 'Math and Logic']",['Software Development'],,,,,,,,,,,
/accounts/profile/mohamedashraf,['Computer Science'],['Computer Science'],,,,,,,,,,,,
/accounts/profile/richardkirkpatrick,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/vaggelas,['Software Development'],"['Data Analysis', 'Medicine & Healthcare']",['Machine Learning'],['Software Development'],"['Biology', 'Biology']",['Computer Science'],['Software Development'],['Psychology'],,,,,,
/accounts/profile/ilyarudyak,"['Computer Science', 'Computer Science']",['Math and Logic'],['Algorithms'],,,,,,,,,,,
/accounts/profile/davidgraham,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/deniskandarov,['Software Development'],"['Computer Science', 'Software Development']",,,,,,,,,,,,
/accounts/profile/anna1,"['Computer Science', 'Biology', 'Leadership and Management', 'Learning English', 'Psychology', 'Economics']",,,,,,,,,,,,,
/accounts/profile/arnoldlau,['Data Analysis'],['Psychology'],['Software Development'],['Computer Science'],,,,,,,,,,
/accounts/profile/dustinrexroat,['Health & Safety'],,,,,,,,,,,,,
/accounts/profile/alexandremarques,"['Health & Safety', 'Energy & Earth Sciences']",,,,,,,,,,,,,
/accounts/profile/ahmed_yossri,['Health & Safety'],,,,,,,,,,,,,
/accounts/profile/florielancien,"['Biology', 'History']","['Health & Safety', 'Leadership and Management']",,,,,,,,,,,,
/accounts/profile/boryszibrov,['Algorithms'],['Algorithms'],,,,,,,,,,,,
/accounts/profile/sharynrayner,['Communication'],,,,,,,,,,,,,
/accounts/profile/sherrievonsternberg,['Communication'],,,,,,,,,,,,,
/accounts/profile/lauraschaeffer,['Communication'],,,,,,,,,,,,,
/accounts/profile/diananasi,['Communication'],,,,,,,,,,,,,
/accounts/profile/alaaelshaer,['Communication'],,,,,,,,,,,,,
/accounts/profile/estelle.gauthier2,['Communication'],,,,,,,,,,,,,
/accounts/profile/marciajensen,['Communication'],,,,,,,,,,,,,
/accounts/profile/saskia,['Communication'],,,,,,,,,,,,,
/accounts/profile/concepciongarciaf,['Communication'],,,,,,,,,,,,,
/accounts/profile/susanareyes,['Communication'],,,,,,,,,,,,,
/accounts/profile/timm,['Communication'],,,,,,,,,,,,,
/accounts/profile/florenttoniello,['Social Sciences'],,,,,,,,,,,,,
/accounts/profile/leonardmangini1,"['Math and Logic', 'Leadership and Management', 'Math and Logic', 'Economics']","['Math and Logic', 'Nanotechnology']","['Physics and Astronomy', 'Leadership and Management', 'Business & Management', 'Business Strategy', 'Governance and Society']",,,,,,,,,,,
/accounts/profile/michaelmickeyhegarty1,['Math and Logic'],['Math'],,,,,,,,,,,,
/accounts/profile/sam,['Software Development'],,,,,,,,,,,,,
/accounts/profile/akshaybaraik,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/jacky,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/mattsvensson,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/anon_j,['Software Development'],['Computer Science'],['Design and Product'],['Entrepreneurship'],,,,,,,,,,
/accounts/profile/jamiebergen,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/joanginard,['Computer Science'],,,,,,,,,,,,,
/accounts/profile/zellily,"['Computer Science', 'Electrical Engineering']",['Computer Science'],,,,,,,,,,,,
