id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
/accounts/profile/kevin12,"['Engineering', 'Math']","['Engineering', 'Art & Culture', 'Law', 'Business & Management']",['Business & Management'],['Health & Safety'],['Engineering'],['Engineering'],['Data Analysis & Statistics'],"['Health & Safety', 'Business & Management']",['Communication'],['Biology & Life Sciences'],['Business & Management'],['Communication'],['Psychology'],,,,,,,,,,,,,,,
/accounts/profile/zzajic,"['Energy & Earth Sciences', 'Physics', 'History', 'Machine Learning', 'Machine Learning']",['Physics'],,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/sabnam,['Energy & Earth Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/hannaedwards1,"['Physics', 'Engineering', 'Math', 'Math and Logic', 'Math and Logic', 'Math and Logic', 'Math and Logic', 'Physics and Astronomy']","['Physics', 'Physics', 'Math and Logic', 'Math and Logic', 'Math and Logic', 'Math and Logic']",['Math'],['Math'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/zhenping,['Engineering'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/hoaitq,['Engineering'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/rumman899,['Biology & Life Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/zhangjinqiang,['Math'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/michael.kesling,['Math'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/thulsy,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/francoisfernando1,"['Data Analysis & Statistics', 'Software Development']",,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ericdocode,['Data Analysis'],['Algorithms'],['Data Analysis & Statistics'],['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/olivier-d-44,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/Q,"['Business & Management', 'Data Analysis', 'Data Analysis']",,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/greghamel,['Data Analysis'],['Business & Management'],['Data Analysis'],['Data Analysis & Statistics'],['Data Analysis'],"['Machine Learning', 'Machine Learning', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Leadership and Management', 'Data Analysis', 'Business Essentials']",['Data Analysis'],['Machine Learning'],,,,,,,,,,,,,,,,,,,,
/accounts/profile/krzysztofstrug,"['Data Analysis & Statistics', 'Computer Science', 'Physics', 'Economics', 'Computer Science']",,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/timothy235,"['Data Analysis & Statistics', 'Probability and Statistics', 'Economics', 'Music and Art', 'Algorithms', 'Algorithms']",,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nittin49,['Electronics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/aau-test-user,['Electronics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/akshay,['Engineering'],['Electronics'],,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/hamidehiraj,['Data Analysis'],['Data Analysis'],"['Software Development', 'Software Development']",['Personal Development'],"['Data Analysis', 'Probability and Statistics', 'History', 'Machine Learning', 'Data Analysis']",['Data Analysis & Statistics'],['Algorithms'],['Software Development'],"['Software Development', 'Software Development']",['Leadership and Management'],,,,,,,,,,,,,,,,,,
/accounts/profile/dmitry24,"['Business Essentials', 'Leadership and Management', 'Design and Product', 'Data Analysis']","['Personal Development', 'Governance and Society', 'Data Analysis']",['Business & Management'],['Business Essentials'],"['Leadership and Management', 'Leadership and Management', 'Leadership and Management']",,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/trang4,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/k-hole,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/claire10,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/eva11,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/danilo_d.,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/pappygrano,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/alexandrubarbovschi,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/rosina.godwin1,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dee2,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/milad.gholami,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/amie2,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dave.l,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nikita15,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/at3,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/rishaal,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/charles24,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/birdset,"['Business & Management', 'Biology']",,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/fabian6,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/gary15,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/fiores,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/cam2,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/tsvetan,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/jlbaguet,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/rm,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/gorana,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/mobism,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nmiddl10,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/briseljanka,"['Business & Management', 'Math']",['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/fidedeviancha,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/andrew30,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/robertmartinez,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ivan15,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/educacionybiencomun,['Education & Teacher Training'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nourdiri94,['Biology & Life Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/jenny18,['Biology & Life Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/bobbraunstein,"['History', 'Physics and Astronomy']",['Social Sciences'],['Medicine & Healthcare'],,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/francisco21,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/lily5,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nicola6,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/christophe.valli,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/samuelbenjaminbaffoe,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/virendra,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ushnish,"['Computer Science', 'Data Analysis & Statistics']",,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/samson,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ivan10,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/boyarsky,['Computer Science'],['Computer Science'],"['Mobile and Web Development', 'Mobile and Web Development', 'Software Development', 'Mobile and Web Development', 'Mobile and Web Development']",['Mechanical Engineering'],"['Software Development', 'Mechanical Engineering']",,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/raisul_s._m.,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/osama6,['Math'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/florisjuh,['Math'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/insidemymind,['Math'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/jishnu2,['Math'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/timgasser,['Math'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/yahia.eltaib,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/carlos58,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nancy11,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/eze123,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/aliajkreshnik.k.a,['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/mmmbbbconsulting,['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/samnang45046,['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/rajkumarr.310593,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/chris83,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/atul10,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/quang7,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/joshiamanggala15,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/suvendu2,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/carlos76,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ragini,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ankit23,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/batmans_byte,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/olivasfa,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/matthew43,"['Data Analysis & Statistics', 'Social Sciences']",,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ravi16,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/giuseppe11,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/mssmss688,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/lm891113,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/govindarajan,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/anuj3,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/akinsola,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/babangida,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/rene_alfredo,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/jan.hartung,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ssalaberry,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/jaya,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ali_hilmi,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/umair4,['Data Analysis & Statistics'],['Data Analysis & Statistics'],['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/juan_pablo3,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/doreen2,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/to2,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/srosanba,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/shubham20,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/vicbeng,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/andrei5,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/tiago.tzf,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/jesus.igleber,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/bilguun.u,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dmitriy3,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/braden,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/luisj.sanjuan,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/phong2,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/alexis3,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,,,,
