id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
/accounts/profile/equanimouscreativity,['Computer Science'],['Software Development'],,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/hamidehiraj,['Computer Science'],['Probability and Statistics'],"['Business & Management', 'Machine Learning', 'Data Analysis']",,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/cristal,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/burlaka,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/thomaskrauss,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/mikeburgess,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/daungteza,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/elenacenzato1,"['Business & Management', 'Communication']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/leanneennsarango,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/markwestaway,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/fabiobarbosa,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/gwenm,"['Business & Management', 'Computer Science', 'Engineering', 'Electrical Engineering', 'Algorithms', 'Music and Art']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/curtpeterson,['Business & Management'],['Chemistry'],,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/hcdin,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/pavelklammert,"['Computer Science', 'Communication', 'Computer Security and Networks', 'Software Development', 'Psychology', 'Governance and Society']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ivanas,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/georgetsoukatos,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/danielmcdonald,['Physics'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/aggelikipapadimitriou,"['Biology & Life Sciences', 'Biology & Life Sciences', 'Software Development', 'Psychology']",['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/JafferFatima,['Biology & Life Sciences'],,,,,,,,,,,,,,,,,,,,,,,,
