id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
/u/33586,"['Machine Learning', 'Probability and Statistics']",['Data Analysis & Statistics'],['Data Analysis'],['Math and Logic'],['Math and Logic'],['Software Development'],['Computer Science'],['Data Analysis'],,,,,,,,
/u/35462,['Biology'],['Computer Security and Networks'],['Computer Science'],['Software Development'],,,,,,,,,,,,
/u/41290,"['Biology', 'Medicine & Healthcare']",,,,,,,,,,,,,,,
/u/66744,['Psychology'],,,,,,,,,,,,,,,
/u/66672,['Psychology'],,,,,,,,,,,,,,,
/u/66792,['Psychology'],,,,,,,,,,,,,,,
/u/67424,['Psychology'],,,,,,,,,,,,,,,
/u/67418,['Psychology'],,,,,,,,,,,,,,,
/u/71706,['Psychology'],,,,,,,,,,,,,,,
/u/67658,['Psychology'],,,,,,,,,,,,,,,
/u/67422,['Psychology'],,,,,,,,,,,,,,,
/u/67507,['Psychology'],,,,,,,,,,,,,,,
/u/67388,['Psychology'],,,,,,,,,,,,,,,
/u/67516,"['Leadership and Management', 'Personal Development', 'Environmental Science and Sustainability']",,,,,,,,,,,,,,,
/u/20751,"['Business Strategy', 'Business Strategy']","['Personal Development', 'Computer Security and Networks']","['Leadership and Management', 'Business Essentials']","['Psychology', 'Chemistry', 'Marketing', 'Leadership and Management', 'Leadership and Management', 'Entrepreneurship', 'Business Essentials']",,,,,,,,,,,,
/u/64744,['Philosophy'],,,,,,,,,,,,,,,
/u/20364,"['Software Development', 'Computer Science']",['Data Analysis'],['Electrical Engineering'],,,,,,,,,,,,,
/@matteo,['Leadership and Management'],"['Biology', 'Economics', 'Data Analysis', 'Data Analysis', 'Economics']",,,,,,,,,,,,,,
/u/14407,"['Computer Science', 'Computer Science']",,,,,,,,,,,,,,,
/u/35217,"['Biology', 'Electronics']",,,,,,,,,,,,,,,
/u/63876,"['Medicine & Healthcare', 'Engineering']",,,,,,,,,,,,,,,
/u/37104,['Leadership and Management'],"['Business Strategy', 'Business Strategy', 'Leadership and Management', 'Math and Logic', 'Finance', 'Business Strategy', 'Business Strategy']",,,,,,,,,,,,,,
/u/62831,['Business Strategy'],,,,,,,,,,,,,,,
/u/68123,['Business Strategy'],,,,,,,,,,,,,,,
/u/39836,['Environmental Science and Sustainability'],['Personal Development'],"['Bioinformatics', 'Mechanical Engineering']",['Leadership and Management'],,,,,,,,,,,,
/u/70499,['Education'],,,,,,,,,,,,,,,
/u/49149,"['Finance', 'Finance']",,,,,,,,,,,,,,,
/u/45987,"['Governance and Society', 'Psychology', 'Physics and Astronomy']",['Economics'],['Governance and Society'],,,,,,,,,,,,,
/u/71429,['Philosophy'],,,,,,,,,,,,,,,
