id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
/u/53490,"['Biology & Life Sciences', 'Medicine & Healthcare', 'Medicine & Healthcare', 'Medicine & Healthcare', 'Business & Management', 'Biology & Life Sciences', 'Biology & Life Sciences']",['Biology'],['Entrepreneurship'],"['Business Strategy', 'Entrepreneurship']",['Entrepreneurship'],"['Leadership and Management', 'Leadership and Management']",['Entrepreneurship'],"['Biology', 'Biology', 'Biology']","['Governance and Society', 'Biology']",['Environmental Science and Sustainability'],['Biology'],['Medicine & Healthcare'],"['History', 'History']","['Chemistry', 'Chemistry']",['Medicine & Healthcare'],,,,,
/u/52585,"['Science', 'Engineering', 'Physics', 'Physics', 'Energy & Earth Sciences', 'Law', 'Science', 'Science', 'Social Sciences', 'Ethics', 'Computer Science']","['Physics and Astronomy', 'Animals and Veterinary Science', 'Physics and Astronomy', 'Chemistry', 'Physics and Astronomy', 'Governance and Society', 'Physics and Astronomy']","['Chemistry', 'Physics and Astronomy']","['Biology', 'Chemistry']",,,,,,,,,,,,,,,,
/u/39405,"['Philosophy', 'Art & Culture', 'Biology & Life Sciences']",['Biology'],['History'],['History'],"['Philosophy', 'Philosophy']",,,,,,,,,,,,,,,
/u/153975,"['Psychology', 'Philosophy', 'Personal Development', 'Philosophy']",,,,,,,,,,,,,,,,,,,
/u/103381,['Philosophy'],"['Business Essentials', 'Education', 'Business Strategy', 'Education', 'History', 'Governance and Society', 'History', 'History']",,,,,,,,,,,,,,,,,,
/u/80728,"['Philosophy', 'Music and Art', 'Education & Teacher Training', 'Humanities', 'Health & Safety', 'Economics & Finance', 'Art & Culture', 'Philosophy & Ethics', 'Philosophy & Ethics', 'Business & Management', 'History', 'History', 'History', 'History', 'Social Sciences', 'History', 'Art & Culture', 'Philosophy & Ethics', 'History', 'History', 'History', 'History', 'History', 'History', 'Economics', 'Art & Culture', 'Food & Nutrition', 'Humanities', 'Art & Culture', 'Humanities', 'Biology & Life Sciences', 'Biology & Life Sciences', 'Economics & Finance', 'Social Sciences', 'Humanities', 'Humanities', 'Humanities', 'Humanities']","['History', 'Philosophy', 'Other Languages', 'Philosophy', 'Governance and Society', 'History', 'Psychology', 'Psychology', 'Philosophy', 'Humanities', 'Humanities', 'Humanities', 'Art & Culture', 'Humanities', 'Humanities', 'History', 'Music and Art', 'Economics']",,,,,,,,,,,,,,,,,,
/u/92505,['Music and Art'],,,,,,,,,,,,,,,,,,,
/u/71742,"['Philosophy', 'Education', 'Humanities', 'Education & Teacher Training']",['Music and Art'],"['Education', 'Leadership and Management', 'Leadership and Management', 'Leadership and Management', 'Leadership and Management']",,,,,,,,,,,,,,,,,
/u/91224,"['Health & Safety', 'Communication']","['Research Methods', 'Computer Security and Networks', 'Computer Security and Networks', 'Electrical Engineering', 'Computer Security and Networks', 'Entrepreneurship', 'Business Essentials', 'Business Essentials', 'Leadership and Management', 'Business Essentials', 'Finance', 'Entrepreneurship', 'Entrepreneurship', 'Physics and Astronomy', 'Personal Development', 'Psychology', 'Education', 'Music and Art']","['Psychology', 'Business Essentials', 'Social Sciences']","['Marketing', 'Business Essentials', 'Computer Security and Networks', 'Finance', 'Psychology', 'Data Analysis']",,,,,,,,,,,,,,,,
/u/38344,['Music and Art'],"['Psychology', 'Philosophy']",,,,,,,,,,,,,,,,,,
/u/75549,['Psychology'],,,,,,,,,,,,,,,,,,,
/u/106924,['Social Sciences'],"['Psychology', 'Medicine & Healthcare', 'Biology', 'Medicine & Healthcare']","['Clinical Science', 'Governance and Society']",,,,,,,,,,,,,,,,,
/u/49246,['Biology & Life Sciences'],['Psychology'],,,,,,,,,,,,,,,,,,
/u/66618,"['History', 'Philosophy', 'History', 'History', 'History']",['Software Development'],,,,,,,,,,,,,,,,,,
/u/61774,"['History', 'Software Development']",,,,,,,,,,,,,,,,,,,
/u/59985,['History'],,,,,,,,,,,,,,,,,,,
/u/163690,"['Data Analysis', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Probability and Statistics', 'Probability and Statistics', 'Software Development', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Biology & Life Sciences']","['Probability and Statistics', 'Data Analysis', 'Data Analysis', 'Machine Learning', 'Software Development', 'Probability and Statistics']",,,,,,,,,,,,,,,,,,
/@adelyne,"['Biology & Life Sciences', 'Data Analysis & Statistics']",['Data Analysis'],['Data Analysis'],,,,,,,,,,,,,,,,,
/u/83175,"['Data Analysis', 'Marketing', 'Personal Development']",,,,,,,,,,,,,,,,,,,
/u/72285,['Data Analysis'],"['Data Analysis', 'Probability and Statistics']",,,,,,,,,,,,,,,,,,
/u/65342,"['Data Analysis & Statistics', 'Data Analysis & Statistics']",['Data Analysis'],['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,
/u/88124,['Software Development'],"['Data Analysis', 'Data Analysis']",,,,,,,,,,,,,,,,,,
/u/97481,['Data Analysis'],"['Finance', 'Finance', 'Business Essentials', 'Learning English', 'Learning English', 'Finance', 'Music and Art', 'Learning English']",,,,,,,,,,,,,,,,,,
/u/95856,"['Business Essentials', 'Business Essentials']",,,,,,,,,,,,,,,,,,,
/u/116091,"['Computer Science', 'Art & Culture', 'Art & Culture']","['Physics and Astronomy', 'Personal Development', 'Environmental Science and Sustainability', 'Health & Safety', 'Governance and Society', 'History', 'History']","['Leadership and Management', 'Environmental Science and Sustainability']",['Business Essentials'],,,,,,,,,,,,,,,,
/u/76013,"['Mechanical Engineering', 'Engineering', 'Engineering', 'Engineering']",['Mechanical Engineering'],['Mechanical Engineering'],['Mechanical Engineering'],['Personal Development'],['Software Development'],,,,,,,,,,,,,,
/u/54126,"['Finance', 'Finance', 'Marketing', 'Philosophy']",['History'],"['Math and Logic', 'Governance and Society', 'History']","['Finance', 'Physics and Astronomy', 'Data Analysis', 'Governance and Society', 'Leadership and Management']",,,,,,,,,,,,,,,,
/u/130936,['Education'],['Education'],,,,,,,,,,,,,,,,,,
/u/146202,"['Software Development', 'Software Development', 'Software Development', 'Software Development']",['Software Development'],['Mobile and Web Development'],"['Software Development', 'Software Development', 'Software Development']",,,,,,,,,,,,,,,,
/u/154094,['Music and Art'],['Music and Art'],"['Mobile and Web Development', 'Learning English']",,,,,,,,,,,,,,,,,
/u/114544,['Physics and Astronomy'],,,,,,,,,,,,,,,,,,,
/u/69764,['Medicine & Healthcare'],,,,,,,,,,,,,,,,,,,
/u/178847,['Medicine & Healthcare'],,,,,,,,,,,,,,,,,,,
/u/124497,"['Psychology', 'Philosophy']",['Medicine & Healthcare'],,,,,,,,,,,,,,,,,,
/u/122893,"['Medicine & Healthcare', 'Personal Development']",['Medicine & Healthcare'],['Medicine & Healthcare'],,,,,,,,,,,,,,,,,
