"","degree","closeness","betweenness","eigenvector","transitivity","constraint","url","time"
"1036",39,9.18644815168663e-06,442.462479077995,0.258434493007431,0.817904086311678,0.0744562102809577,"https://www.class-central.com/mooc/351/coursera-a-history-of-the-world-since-1300",6
"1037",11,9.1869545245751e-06,6.40164331091116,0.0156821926277292,1.00009032112949,0.260544983658572,"https://www.class-central.com/mooc/813/edx-ut-4-01x-take-your-medicine-the-impact-of-drug-development",6
"1038",9,9.1568383268625e-06,0.0714285714285714,0.00180700438985351,1.00009032112949,0.266875209252587,"https://www.class-central.com/mooc/334/coursera-statistics-one",6
"1039",10,9.17061002897913e-06,1.12257386060821,0.00561250582463581,1.00009032112949,0.219581440497751,"https://www.class-central.com/mooc/850/coursera-video-games-and-learning",6
"1040",11,9.15801234500064e-06,4.38718770620025,0.0193228761677915,1.00009032112949,0.279328685362457,"https://www.class-central.com/mooc/1032/coursera-21st-century-american-foreign-policy",6
"1041",17,9.17717453150524e-06,351.2332407747,0.0142239329620847,0.698619732894198,0.161620454243896,"https://www.class-central.com/mooc/978/coursera-analysis-of-a-complex-kind",6
"1042",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/869/coursera-effective-classroom-interactions-supporting-young-children-s-development",6
"1043",18,9.17279715276376e-06,801.247835438399,0.00705969969444466,0.418390974724263,0.137359470982819,"https://www.class-central.com/mooc/386/coursera-data-analysis",6
"1044",14,9.16985319065042e-06,16.0862273577851,0.0106286911492298,1.00009032112949,0.209331275507598,"https://www.class-central.com/mooc/413/coursera-nanotechnology-the-basics",6
"1045",17,9.19227481224779e-06,15.0413874560573,0.028377651569229,1.00009032112949,0.161248607300088,"https://www.class-central.com/mooc/934/coursera-antimicrobial-stewardship-optimization-of-antibiotic-practices",6
"1046",29,9.17666923613405e-06,1091.91303279131,0.0208673855731666,0.448366183198457,0.103455464629952,"https://www.class-central.com/mooc/388/coursera-computing-for-data-analysis",6
"1047",15,9.18180900000918e-06,496.518077426196,0.0175572149997154,0.561995083034254,0.127340049442289,"https://www.class-central.com/mooc/824/coursera-computer-networks",6
