course,reviewer,date
https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics,/u/137899,2016-08-08
https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics,/u/229123,2016-11-08
https://www.class-central.com/mooc/3474/coursera-command-line-tools-for-genomic-data-science,/u/141333,2016-07-08
https://www.class-central.com/mooc/4340/coursera-quantitative-methods,/u/212217,2016-09-08
https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health,/u/238605,2016-11-08
https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health,/u/141333,2016-07-08
https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health,/u/41235,2016-07-08
https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health,/u/189872,2016-07-08
https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health,/u/192698,2016-12-08
https://www.class-central.com/mooc/5254/coursera-understanding-memory-explaining-the-psychology-of-memory-through-movies,/u/65595,2016-07-08
https://www.class-central.com/mooc/5254/coursera-understanding-memory-explaining-the-psychology-of-memory-through-movies,/u/167040,2016-10-08
https://www.class-central.com/mooc/5254/coursera-understanding-memory-explaining-the-psychology-of-memory-through-movies,/u/174841,2016-08-08
https://www.class-central.com/mooc/5254/coursera-understanding-memory-explaining-the-psychology-of-memory-through-movies,/u/181925,2016-07-08
https://www.class-central.com/mooc/5963/coursera-modern-american-poetry,/u/101361,2016-07-08
https://www.class-central.com/mooc/6017/coursera-innovating-solutions-for-aging-populations,/u/216116,2016-11-08
https://www.class-central.com/mooc/6620/coursera-think-again-i-how-to-understand-arguments,/u/192698,2016-12-08
https://www.class-central.com/mooc/6620/coursera-think-again-i-how-to-understand-arguments,/u/229123,2016-11-08
https://www.class-central.com/mooc/487/coursera-discrete-optimization,/u/242639,2016-11-08
https://www.class-central.com/mooc/449/coursera-computational-neuroscience,/u/141333,2016-07-08
https://www.class-central.com/mooc/677/coursera-creativity-innovation-and-change,/u/80900,2016-07-08
https://www.class-central.com/mooc/2460/coursera-successful-negotiation-essential-strategies-and-skills,/u/254627,2016-12-08
https://www.class-central.com/mooc/2376/coursera-the-challenges-of-global-health,/u/61586,2016-11-08
https://www.class-central.com/mooc/3007/coursera-astronomy-exploring-time-and-space,/u/139703,2016-10-08
https://www.class-central.com/mooc/3475/coursera-bioconductor-for-genomic-data-science,/u/262199,2016-12-08
https://www.class-central.com/mooc/3475/coursera-bioconductor-for-genomic-data-science,/u/141333,2016-07-08
https://www.class-central.com/mooc/5034/coursera-viral-marketing-and-how-to-craft-contagious-content,/u/192698,2016-12-08
https://www.class-central.com/mooc/5034/coursera-viral-marketing-and-how-to-craft-contagious-content,/u/182932,2016-08-08
https://www.class-central.com/mooc/6099/coursera-introduction-to-probability-and-data,/u/242639,2016-11-08
https://www.class-central.com/mooc/6671/coursera-introduction-to-data-science-in-python,/u/246980,2016-11-08
https://www.class-central.com/mooc/6671/coursera-introduction-to-data-science-in-python,/u/110130,2016-11-08
https://www.class-central.com/mooc/6671/coursera-introduction-to-data-science-in-python,/u/219121,2016-11-08
https://www.class-central.com/mooc/6671/coursera-introduction-to-data-science-in-python,/u/70224,2016-12-08
https://www.class-central.com/mooc/6671/coursera-introduction-to-data-science-in-python,/u/250193,2016-12-08
https://www.class-central.com/mooc/6671/coursera-introduction-to-data-science-in-python,/u/242938,2016-11-08
https://www.class-central.com/mooc/6671/coursera-introduction-to-data-science-in-python,/u/243403,2016-11-08
https://www.class-central.com/mooc/7092/coursera-julia-scientific-programming,/u/266132,2016-12-08
https://www.class-central.com/mooc/7225/coursera-geopolitics-of-europe,/u/12576,2016-11-08
https://www.class-central.com/mooc/476/coursera-health-informatics-on-fhir,/u/123280,2016-11-08
https://www.class-central.com/mooc/596/coursera-mathematical-biostatistics-boot-camp-1,/u/242639,2016-11-08
https://www.class-central.com/mooc/659/coursera-calvin-histoire-et-reception-d-une-reforme,/u/248895,2016-12-08
https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases,/u/206901,2016-08-08
https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases,/u/28746,2016-12-08
https://www.class-central.com/mooc/731/coursera-fundamentals-of-rehearsing-music-ensembles,/u/12576,2016-09-08
https://www.class-central.com/mooc/1033/coursera-mathematical-biostatistics-boot-camp-2,/u/242639,2016-11-08
https://www.class-central.com/mooc/1362/coursera-the-brain-and-space,/u/87424,2016-07-08
