course,date
16,2014-12-09
68064,2015-01-19
112,2015-05-31
34642,2015-05-22
34834,2015-05-22
69895,2015-05-22
34617,2015-05-22
67376,2015-05-22
60,2015-05-22
79,2015-05-22
12681,2015-06-28
80171,2014-10-04
81720,2014-10-17
34840,2014-10-29
69880,2014-11-11
35774,2014-11-20
35757,2014-12-07
45520,2014-12-11
36234,2014-12-15
36368,2014-12-17
36235,2014-12-18
36236,2014-12-20
36237,2015-01-09
36398,2015-01-11
36400,2015-01-27
35864,2015-02-12
83112,2015-02-21
36401,2015-03-02
36320,2015-03-17
45173,2015-03-27
35754,2015-04-12
45183,2015-04-14
81430,2015-04-20
45177,2015-04-28
45324,2015-05-20
78566,2015-06-21
75452,2015-06-21
45182,2015-06-21
36404,2014-08-25
81425,2014-08-25
69985,2014-08-25
68064,2014-08-25
69983,2014-08-25
36235,2014-09-08
36234,2014-09-08
35757,2014-09-08
3131,2014-09-08
75448,2014-09-08
3133,2014-09-08
81151,2014-09-08
36403,2014-09-08
80158,2014-09-08
26686,2014-09-08
81876,2014-09-26
69195,2015-01-29
30,2015-03-24
104,2014-11-07
411,2014-12-01
83120,2014-12-09
34840,2014-10-24
34704,2014-07-12
36404,2014-07-12
69985,2014-07-12
226,2014-07-26
34840,2014-07-27
34655,2014-08-31
390,2014-08-31
34704,2014-09-28
81425,2014-09-28
34704,2014-09-11
34704,2014-08-27
14329,2014-08-28
34704,2014-08-06
3360,2014-08-06
390,2014-08-06
69195,2014-12-27
34704,2015-01-27
81876,2015-01-27
35742,2015-01-27
36403,2015-01-27
69885,2015-01-27
12,2015-01-27
479,2015-01-27
401,2015-01-27
407,2015-01-27
42,2015-01-27
1177,2015-01-27
20420,2015-01-27
469,2015-01-27
12696,2015-01-27
239,2015-01-27
328,2015-01-27
24,2015-01-27
136,2015-01-27
398,2015-01-27
480,2015-01-27
98,2015-01-27
115,2015-01-27
365,2015-01-27
198,2015-01-27
344,2015-01-27
24330,2015-01-27
14151,2015-01-27
159,2015-01-27
51467,2015-01-27
51446,2015-01-27
6823,2015-01-27
20325,2015-01-27
14154,2015-01-27
16847,2015-02-09
28164,2015-02-15
28660,2015-02-17
188,2015-02-20
69939,2015-02-23
12690,2015-02-23
25295,2015-02-24
25942,2015-02-24
34704,2014-07-28
47053,2014-07-28
379,2014-07-28
12676,2014-07-28
34704,2014-08-13
12677,2014-07-03
3613,2014-07-07
