course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity
CourseTalk-6,"Technological, Social, and Sustainable Systems",edX,Engineering,Arizona State University,249,5,3,3,3,TRUE,1,5.0,0.0,0.0,161.0,5,1.0,0.0,18,Introductory,49,FREE audit/Pay for certificate,8,80166,NA,NA,NA,NA,NA,NA
CourseTalk-6,"Technological, Social, and Sustainable Systems",edX,Engineering,Arizona State University,222,5,3,3,4,TRUE,2,2.5,0.0,0.0,603.5,5,1.0,0.0,18,Introductory,49,FREE audit/Pay for certificate,8,80166,NA,NA,NA,NA,NA,NA
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,3,1,FALSE,0,0,0,0,0,4,0,0,7,Introductory,0,FREE audit,9,45518,NA,NA,NA,NA,NA,NA
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,3,2,FALSE,0,0,0,0,0,4,0,0,7,Introductory,0,FREE audit,9,45518,NA,NA,NA,NA,NA,NA
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,3,3,TRUE,12,0.3333333333333333,0.013888888888888888,0.006944444444444444,20.444444444444446,4,0.75,0.013888888888888888,7,Introductory,0,FREE audit,9,45518,1,0,1.52218585889337e-05,0,0,0
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,3,4,FALSE,8,0.5546875,0.0,0.0,23.15625,4,1.0,0.0,7,Introductory,0,FREE audit,9,45518,NA,NA,NA,NA,NA,NA
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,104,5,18,2,1,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480,NA,NA,NA,NA,NA,NA
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,100,5,18,2,2,TRUE,4,0.90625,0.0,0.0,70.1875,5,1.0,0.0,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480,NA,NA,NA,NA,NA,NA
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,113,5,18,2,3,TRUE,10,0.48,0.0,0.0,24.53,5,1.0,0.0,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480,NA,NA,NA,NA,NA,NA
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,125,5,18,2,4,FALSE,5,0.86,0.0,0.0,60.56,5,0.8,0.04,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480,NA,NA,NA,NA,NA,NA
