from,to
6376,137
6376,14381
6376,12638
108,69985
69291,45321
69291,106
69291,340
45321,106
45321,340
106,340
45321,3354
45321,20
3354,45321
3354,20
45321,75462
45321,95
45321,166
45321,3277
45321,418
75462,45321
75462,95
75462,166
75462,3277
75462,418
95,45321
95,75462
95,166
95,3277
95,418
166,3277
166,418
3277,418
45321,355
45321,104
45321,63
45321,86
45321,12695
45321,14123
355,45321
355,104
355,63
355,86
355,12695
355,14123
104,63
104,86
104,12695
104,14123
63,104
63,86
63,12695
63,14123
86,12695
86,14123
12695,86
12695,14123
45321,86
45321,214
86,45321
86,214
214,45321
214,86
36395,67376
67376,36395
13,31
13,3336
31,3336
3133,69885
69885,3133
36388,86
36388,418
86,36388
86,418
98,379
98,3370
98,36403
379,3370
379,36403
3370,379
3370,36403
36403,217
36403,69983
36403,3199
36403,201
217,69983
217,3199
217,201
69983,3199
69983,201
3199,69983
3199,201
36266,86
36266,401
36266,21
36266,468
36266,390
36266,385
86,36266
86,401
86,21
86,468
86,390
86,385
401,36266
401,86
401,21
401,468
401,390
401,385
21,36266
21,86
21,401
21,468
21,390
21,385
468,36266
468,86
468,401
468,21
468,390
468,385
390,385
385,390
239,69291
239,3555
239,101
69291,3555
69291,101
3555,69291
3555,101
69885,12695
69885,104
69885,75462
69885,3611
69885,239
69885,139
69885,201
12695,69885
12695,104
12695,75462
12695,3611
12695,239
12695,139
12695,201
104,69885
104,12695
104,75462
104,3611
104,239
104,139
104,201
75462,69885
75462,12695
75462,104
75462,3611
75462,239
75462,139
75462,201
3611,69885
3611,12695
3611,104
3611,75462
3611,239
3611,139
3611,201
239,69885
239,12695
239,104
239,75462
239,3611
239,139
239,201
139,201
63,239
63,340
63,69885
63,108
63,401
239,63
239,340
239,69885
239,108
239,401
340,63
340,239
340,69885
340,108
340,401
69885,108
69885,401
108,69885
108,401
401,69885
401,108
60,31
60,30
60,79
60,36392
60,16
60,12699
60,16068
31,30
31,79
31,36392
31,16
31,12699
31,16068
30,79
30,36392
30,16
30,12699
30,16068
79,36392
79,16
79,12699
79,16068
36392,16
36392,12699
36392,16068
16,36392
16,12699
16,16068
12699,16068
12,214
12,188
12,418
12,35
12,20
12,340
12,246
12,12636
12,51467
12,86
214,188
214,418
214,35
214,20
214,340
214,246
214,12636
214,51467
214,86
188,418
188,35
188,20
188,340
188,246
188,12636
188,51467
188,86
418,35
418,20
418,340
418,246
418,12636
418,51467
418,86
35,418
35,20
35,340
35,246
35,12636
35,51467
35,86
20,418
20,35
20,340
20,246
20,12636
20,51467
20,86
340,418
340,35
340,20
340,246
340,12636
340,51467
340,86
246,418
246,35
246,20
246,340
246,12636
246,51467
246,86
12636,51467
12636,86
51467,12636
51467,86
86,75193
75193,86
97,86
97,12695
86,12695
12695,86
42,86
60,45
60,86
45,86
86,6814
86,69291
69291,86
63,244
63,122
63,86
63,137
63,407
63,35
63,101
63,81
63,411
63,200
63,61
63,29
63,201
63,214
63,377
63,3361
63,416
