"","degree","closeness","betweenness","eigenvector","transitivity","constraint","isolate","foldness","url","time"
"1",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"36235",1
"2",5,0.000120554550934298,3.01672324501143,0.0279362303201346,1,0.391167010734084,0,2,"36234",1
"3",5,0.000120627261761158,135.147993078435,0.0243692992945111,0.3,0.341361261314974,0,4,"34704",1
"4",4,0.000120612712579906,0,0.038370482898022,1,0.481891208913875,0,2,"34642",1
"5",1,0.000116184500987568,0,0.0247841912306242,0,1.00001695404474,0,1,"83210",1
"6",18,0.000121270919233568,388.931663926278,0.134533747985556,0.549019607843137,0.146324782849886,0,5,"69742",1
"7",14,0.000120904364647564,12.5870616304386,0.0903668072670614,0.868131868131868,0.183190838474765,0,4,"36404",1
"8",9,0.00012045290291496,156.700663847802,0.0334641768051503,0.194444444444444,0.156044331731069,0,2,"81425",1
"9",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"47053",1
"10",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"35844",1
"11",13,0.000120787534726416,1.42430534500011,0.091821093413445,1,0.206033365210431,0,3,"69939",1
"12",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"78565",1
"13",2,0.000117980179329873,0,0.00294733585856951,1,0.846961398489186,0,1,"34831",1
"14",21,0.000122055413157574,471.849038447838,0.381877431197885,0.342857142857143,0.0933036903351041,0,4,"81876",1
"15",5,0.000120554550934298,3.01672324501143,0.02793623026226,1,0.391167010734084,0,2,"35757",1
"16",4,0.000120091269364717,207,0.0148518363618073,0.5,0.344804623755079,0,2,"3131",1
"17",15,0.000120918984280532,415.634592360578,0.0877794104519615,0.752380952380952,0.173539366883371,0,4,"35742",1
"18",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"69224",1
"19",15,0.000121521448535667,52.9322756825546,0.147745181742996,0.847619047619048,0.181434421907425,0,5,"69985",1
"20",15,0.000121094696052313,50.8793010697553,0.125491042865866,0.79047619047619,0.163491310360771,0,5,"69195",1
"21",20,0.000121521448535667,149.710355199978,0.218146481071612,0.342105263157895,0.114891501816964,0,6,"45321",1
"22",3,0.000118807175953428,0,0.005958348017086,1,0.61150599410521,0,1,"69981",1
"23",1,0.000117744024490757,0,0.000593752504976553,0,1.00001695404474,0,1,"36395",1
"24",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"35736",1
"25",1,0.000118413262285376,0,0.00409489503409603,0,1.00001695404474,0,0,"3133",1
"26",2,0.000117980179329873,0,0.00294733594397224,1,0.846961398489186,0,1,"81151",1
"27",1,0.000117178345441762,0,0.000483326385642921,0,1.00001695404474,0,1,"34601",1
"28",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"132",1
"29",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"45492",1
"30",0,1.72890733056708e-05,0,0.00090787381956165,0,0,1,0,"68064",1
"31",3,0.000120918984280532,42.858202765513,0.0476634059253503,0.333333333333333,0.357184467431106,0,1,"36388",1
"32",8,0.000121197430614471,41.9250416426519,0.0732358023566359,0.5,0.192083589376006,0,2,"36403",1
"33",6,0.000121256214380987,0,0.0526590619344883,1,0.282162212297429,0,2,"36266",1
"34",4,0.000120554550934298,0.0801282051282051,0.0352876827632658,1,0.348198987552063,0,1,"69983",1
