from,to
16,68064
16,112
68064,112
34642,34834
34642,69895
34642,34617
34642,67376
34642,60
34642,79
34642,12681
34834,34642
34834,69895
34834,34617
34834,67376
34834,60
34834,79
34834,12681
69895,34642
69895,34834
69895,34617
69895,67376
69895,60
69895,79
69895,12681
34617,34642
34617,34834
34617,69895
34617,67376
34617,60
34617,79
34617,12681
67376,34642
67376,34834
67376,69895
67376,34617
67376,60
67376,79
67376,12681
60,34642
60,34834
60,69895
60,34617
60,67376
60,79
60,12681
79,34642
79,34834
79,69895
79,34617
79,67376
79,60
79,12681
80171,81720
80171,34840
80171,69880
80171,35774
80171,35757
80171,45520
80171,36234
80171,36368
80171,36235
80171,36236
80171,36237
80171,36398
80171,36400
80171,35864
80171,83112
80171,36401
80171,36320
80171,45173
80171,35754
80171,45183
80171,81430
80171,45177
80171,45324
80171,78566
80171,75452
80171,45182
81720,34840
81720,69880
81720,35774
81720,35757
81720,45520
81720,36234
81720,36368
81720,36235
81720,36236
81720,36237
81720,36398
81720,36400
81720,35864
81720,83112
81720,36401
81720,36320
81720,45173
81720,35754
81720,45183
81720,81430
81720,45177
81720,45324
81720,78566
81720,75452
81720,45182
34840,69880
34840,35774
34840,35757
34840,45520
34840,36234
34840,36368
34840,36235
34840,36236
34840,36237
34840,36398
34840,36400
34840,35864
34840,83112
34840,36401
34840,36320
34840,45173
34840,35754
34840,45183
34840,81430
34840,45177
34840,45324
34840,78566
34840,75452
34840,45182
69880,35774
69880,35757
69880,45520
69880,36234
69880,36368
69880,36235
69880,36236
69880,36237
69880,36398
69880,36400
69880,35864
69880,83112
69880,36401
69880,36320
69880,45173
69880,35754
69880,45183
69880,81430
69880,45177
69880,45324
69880,78566
69880,75452
69880,45182
35774,35757
35774,45520
35774,36234
35774,36368
35774,36235
35774,36236
35774,36237
35774,36398
35774,36400
35774,35864
35774,83112
35774,36401
35774,36320
35774,45173
35774,35754
35774,45183
35774,81430
35774,45177
35774,45324
35774,78566
35774,75452
35774,45182
35757,45520
35757,36234
35757,36368
35757,36235
35757,36236
35757,36237
35757,36398
35757,36400
35757,35864
35757,83112
35757,36401
35757,36320
35757,45173
35757,35754
35757,45183
35757,81430
35757,45177
35757,45324
35757,78566
35757,75452
35757,45182
45520,36234
45520,36368
45520,36235
45520,36236
45520,36237
45520,36398
45520,36400
45520,35864
45520,83112
45520,36401
45520,36320
45520,45173
45520,35754
45520,45183
45520,81430
45520,45177
45520,45324
45520,78566
45520,75452
45520,45182
36234,36368
36234,36235
36234,36236
36234,36237
36234,36398
36234,36400
36234,35864
36234,83112
36234,36401
36234,36320
36234,45173
36234,35754
36234,45183
36234,81430
36234,45177
36234,45324
36234,78566
36234,75452
36234,45182
36368,36235
36368,36236
36368,36237
36368,36398
36368,36400
36368,35864
36368,83112
36368,36401
36368,36320
36368,45173
36368,35754
36368,45183
36368,81430
36368,45177
36368,45324
36368,78566
36368,75452
36368,45182
36235,36236
36235,36237
36235,36398
36235,36400
36235,35864
36235,83112
36235,36401
36235,36320
36235,45173
36235,35754
36235,45183
36235,81430
36235,45177
36235,45324
36235,78566
36235,75452
36235,45182
36236,36237
36236,36398
36236,36400
36236,35864
36236,83112
36236,36401
36236,36320
36236,45173
36236,35754
36236,45183
36236,81430
36236,45177
36236,45324
36236,78566
36236,75452
36236,45182
36237,36398
36237,36400
36237,35864
36237,83112
36237,36401
36237,36320
36237,45173
36237,35754
36237,45183
36237,81430
36237,45177
36237,45324
36237,78566
36237,75452
36237,45182
36398,36400
36398,35864
36398,83112
36398,36401
36398,36320
36398,45173
36398,35754
36398,45183
36398,81430
36398,45177
36398,45324
36398,78566
36398,75452
36398,45182
36400,35864
36400,83112
36400,36401
36400,36320
36400,45173
36400,35754
36400,45183
36400,81430
36400,45177
36400,45324
36400,78566
36400,75452
36400,45182
35864,83112
35864,36401
35864,36320
35864,45173
35864,35754
35864,45183
35864,81430
35864,45177
35864,45324
35864,78566
35864,75452
35864,45182
83112,36401
83112,36320
83112,45173
83112,35754
83112,45183
83112,81430
83112,45177
83112,45324
83112,78566
83112,75452
83112,45182
36401,36320
36401,45173
36401,35754
36401,45183
36401,81430
36401,45177
36401,45324
36401,78566
36401,75452
36401,45182
36320,45173
36320,35754
36320,45183
36320,81430
36320,45177
36320,45324
36320,78566
36320,75452
36320,45182
45173,35754
45173,45183
45173,81430
45173,45177
45173,45324
45173,78566
45173,75452
45173,45182
35754,45183
35754,81430
35754,45177
35754,45324
35754,78566
35754,75452
35754,45182
45183,81430
45183,45177
45183,45324
45183,78566
45183,75452
45183,45182
81430,45177
81430,45324
81430,78566
81430,75452
81430,45182
45177,45324
45177,78566
45177,75452
45177,45182
45324,78566
45324,75452
45324,45182
78566,75452
78566,45182
75452,78566
75452,45182
45182,78566
45182,75452
36404,81425
36404,69985
36404,68064
36404,69983
36404,36235
36404,36234
36404,35757
36404,3131
36404,75448
36404,3133
36404,81151
36404,36403
36404,80158
36404,26686
81425,36404
81425,69985
81425,68064
81425,69983
81425,36235
81425,36234
81425,35757
81425,3131
81425,75448
81425,3133
81425,81151
81425,36403
81425,80158
81425,26686
69985,36404
69985,81425
69985,68064
69985,69983
69985,36235
69985,36234
69985,35757
69985,3131
69985,75448
69985,3133
69985,81151
69985,36403
69985,80158
69985,26686
68064,36404
68064,81425
68064,69985
68064,69983
68064,36235
68064,36234
68064,35757
68064,3131
68064,75448
68064,3133
68064,81151
68064,36403
68064,80158
68064,26686
69983,36404
69983,81425
69983,69985
69983,68064
69983,36235
69983,36234
69983,35757
69983,3131
69983,75448
69983,3133
69983,81151
69983,36403
69983,80158
69983,26686
36235,36234
36235,35757
36235,3131
36235,75448
36235,3133
36235,81151
36235,36403
36235,80158
36235,26686
36234,36235
36234,35757
36234,3131
36234,75448
36234,3133
36234,81151
36234,36403
36234,80158
36234,26686
35757,36235
35757,36234
35757,3131
35757,75448
35757,3133
35757,81151
35757,36403
35757,80158
35757,26686
3131,36235
3131,36234
3131,35757
3131,75448
3131,3133
3131,81151
3131,36403
3131,80158
3131,26686
75448,36235
75448,36234
75448,35757
75448,3131
75448,3133
75448,81151
75448,36403
75448,80158
75448,26686
3133,36235
3133,36234
3133,35757
3133,3131
3133,75448
3133,81151
3133,36403
3133,80158
3133,26686
81151,36235
81151,36234
81151,35757
81151,3131
81151,75448
81151,3133
81151,36403
81151,80158
81151,26686
36403,36235
36403,36234
36403,35757
36403,3131
36403,75448
36403,3133
36403,81151
36403,80158
36403,26686
80158,36235
80158,36234
80158,35757
80158,3131
80158,75448
80158,3133
80158,81151
80158,36403
80158,26686
26686,36235
26686,36234
26686,35757
26686,3131
26686,75448
26686,3133
26686,81151
26686,36403
26686,80158
81876,69195
81876,30
69195,30
104,411
104,83120
411,83120
34704,36404
34704,69985
34704,226
34704,34840
34704,34655
34704,390
36404,34704
36404,69985
36404,226
36404,34840
36404,34655
36404,390
69985,34704
69985,36404
69985,226
69985,34840
69985,34655
69985,390
226,34840
226,34655
226,390
34840,34655
34840,390
34655,390
390,34655
34704,81425
81425,34704
34704,14329
34704,3360
34704,390
34704,69195
3360,34704
3360,390
3360,69195
390,34704
390,3360
390,69195
34704,81876
34704,35742
34704,36403
34704,69885
34704,12
34704,479
34704,401
34704,407
34704,42
34704,1177
34704,20420
34704,469
34704,12696
34704,239
34704,328
34704,24
34704,136
34704,398
34704,480
34704,98
34704,115
34704,365
34704,198
34704,344
34704,24330
34704,14151
34704,159
34704,51467
34704,51446
34704,6823
34704,20325
34704,14154
34704,16847
34704,28164
34704,28660
34704,188
34704,69939
34704,12690
34704,25295
34704,25942
81876,34704
81876,35742
81876,36403
81876,69885
81876,12
81876,479
81876,401
81876,407
81876,42
81876,1177
81876,20420
81876,469
81876,12696
81876,239
81876,328
81876,24
81876,136
81876,398
81876,480
81876,98
81876,115
81876,365
81876,198
81876,344
81876,24330
81876,14151
81876,159
81876,51467
81876,51446
81876,6823
81876,20325
81876,14154
81876,16847
81876,28164
81876,28660
81876,188
81876,69939
81876,12690
81876,25295
81876,25942
35742,34704
35742,81876
35742,36403
35742,69885
35742,12
35742,479
35742,401
35742,407
35742,42
35742,1177
35742,20420
35742,469
35742,12696
35742,239
35742,328
35742,24
35742,136
35742,398
35742,480
35742,98
35742,115
35742,365
35742,198
35742,344
35742,24330
35742,14151
35742,159
35742,51467
35742,51446
35742,6823
35742,20325
35742,14154
35742,16847
35742,28164
35742,28660
35742,188
35742,69939
35742,12690
35742,25295
35742,25942
36403,34704
36403,81876
36403,35742
36403,69885
36403,12
36403,479
36403,401
36403,407
36403,42
36403,1177
36403,20420
36403,469
36403,12696
36403,239
36403,328
36403,24
36403,136
36403,398
36403,480
36403,98
36403,115
36403,365
36403,198
36403,344
36403,24330
36403,14151
36403,159
36403,51467
36403,51446
36403,6823
36403,20325
36403,14154
36403,16847
36403,28164
36403,28660
36403,188
36403,69939
36403,12690
36403,25295
36403,25942
69885,34704
69885,81876
69885,35742
69885,36403
69885,12
69885,479
69885,401
69885,407
69885,42
69885,1177
69885,20420
69885,469
69885,12696
69885,239
69885,328
69885,24
69885,136
69885,398
