cliq,freq
"['Data Analysis', 'Machine Learning', 'Mobile and Web Development']",93
"['Computer Science', 'Computer Science', 'Computer Science']",92
"['Biology', 'Computer Science', 'History']",92
"['Computer Science', 'Finance', 'Medicine & Healthcare']",92
"['Data Analysis', 'Finance', 'History']",92
"['Data Analysis', 'Finance', 'Mobile and Web Development']",92
"['Business Strategy', 'Mobile and Web Development', 'Software Development']",91
"['Computer Science', 'Data Analysis & Statistics', 'Software Development']",90
"['Computer Science', 'Machine Learning', 'Mobile and Web Development']",90
"['Business & Management', 'Education', 'History']",90
"['Biology & Life Sciences', 'Computer Science', 'Psychology']",89
"['Computer Science', 'Engineering', 'Leadership and Management']",89
"['Computer Science', 'Psychology', 'Software Development']",89
"['Computer Science', 'Environmental Science and Sustainability', 'History']",89
"['Data Analysis & Statistics', 'Finance', 'History']",89
"['Computer Science', 'Entrepreneurship', 'History']",89
"['Computer Science', 'Data Analysis', 'Music and Art']",88
"['Business Essentials', 'Data Analysis', 'Mobile and Web Development']",88
"['Biology & Life Sciences', 'Computer Science', 'Economics']",87
"['Computer Science', 'History', 'Humanities']",87
"['Biology & Life Sciences', 'Environmental Science and Sustainability', 'History']",87
"['History', 'History', 'Software Development']",87
"['History', 'Medicine & Healthcare', 'Software Development']",87
"['Entrepreneurship', 'History', 'Mobile and Web Development']",87
"['Computer Science', 'Leadership and Management', 'Social Sciences']",86
"['Computer Science', 'Finance', 'Mobile and Web Development']",86
"['Computer Science', 'Computer Science', 'Music and Art']",85
"['Computer Science', 'Mechanical Engineering', 'Software Development']",85
"['Business & Management', 'History', 'Music and Art']",85
"['Computer Science', 'Mobile and Web Development', 'Mobile and Web Development']",85
"['History', 'Mobile and Web Development', 'Mobile and Web Development']",85
"['Education', 'Environmental Science and Sustainability', 'History']",85
"['Biology', 'Entrepreneurship', 'History']",85
"['Computer Science', 'Economics', 'Social Sciences']",84
"['Computer Science', 'Mechanical Engineering', 'Mobile and Web Development']",84
"['Biology & Life Sciences', 'Computer Science', 'Data Analysis & Statistics']",83
"['Computer Science', 'Leadership and Management', 'Mobile and Web Development']",83
"['Education', 'Mobile and Web Development', 'Music and Art']",83
"['Business Strategy', 'Data Analysis', 'Mobile and Web Development']",83
"['Computer Science', 'Economics', 'Engineering']",82
"['Biology & Life Sciences', 'History', 'Law']",82
"['Computer Science', 'Computer Science', 'Data Analysis']",82
"['Biology', 'Biology & Life Sciences', 'History']",82
"['Computer Science', 'Machine Learning', 'Software Development']",82
"['Engineering', 'History', 'History']",82
"['Data Analysis & Statistics', 'Education', 'History']",82
"['Business & Management', 'Computer Science', 'Software Development']",81
"['Computer Science', 'History', 'Probability and Statistics']",81
"['History', 'Mobile and Web Development', 'Psychology']",81
"['History', 'Machine Learning', 'Mobile and Web Development']",81
"['Data Analysis & Statistics', 'History', 'Music and Art']",81
"['Environmental Science and Sustainability', 'Finance', 'History']",81
"['Computer Science', 'Medicine & Healthcare', 'Mobile and Web Development']",81
"['Biology & Life Sciences', 'Engineering', 'Math']",80
"['Computer Science', 'Electronics', 'Social Sciences']",80
"['Computer Science', 'Computer Science', 'Electronics']",80
"['Biology & Life Sciences', 'Computer Science', 'Data Analysis']",80
"['Computer Science', 'Software Development', 'Software Development']",80
"['Engineering', 'History', 'Medicine & Healthcare']",80
"['Data Analysis', 'Psychology', 'Software Development']",80
"['Data Analysis', 'Machine Learning', 'Software Development']",80
"['Finance', 'Mobile and Web Development', 'Music and Art']",80
"['Education', 'History', 'Software Development']",80
"['Computer Science', 'Education', 'Mobile and Web Development']",80
"['Computer Science', 'History', 'Social Sciences']",79
"['Business & Management', 'Computer Science', 'Data Analysis & Statistics']",79
"['Computer Science', 'Electronics', 'Software Development']",79
"['Biology & Life Sciences', 'History', 'Software Development']",79
"['History', 'Mechanical Engineering', 'Mobile and Web Development']",79
"['Data Analysis', 'History', 'History']",79
