cliq,freq
"['History', 'History', 'Medicine & Healthcare']",244
"['History', 'History', 'Music and Art']",189
"['Education', 'History', 'History']",188
"['Data Analysis', 'Mobile and Web Development', 'Software Development']",184
"['Computer Science', 'History', 'Medicine & Healthcare']",184
"['Finance', 'History', 'History']",181
"['Education', 'History', 'Medicine & Healthcare']",180
"['History', 'Medicine & Healthcare', 'Music and Art']",179
"['Entrepreneurship', 'History', 'History']",175
"['Finance', 'History', 'Medicine & Healthcare']",171
"['History', 'History', 'History']",169
"['Biology & Life Sciences', 'History', 'History']",169
"['History', 'Mobile and Web Development', 'Software Development']",158
"['Finance', 'History', 'Music and Art']",157
"['Computer Science', 'History', 'History']",156
"['Computer Science', 'Mobile and Web Development', 'Software Development']",154
"['Education', 'History', 'Music and Art']",151
"['Entrepreneurship', 'History', 'Medicine & Healthcare']",150
"['Education', 'Finance', 'History']",147
"['Computer Science', 'History', 'Mobile and Web Development']",147
"['History', 'Mobile and Web Development', 'Music and Art']",146
"['Entrepreneurship', 'History', 'Music and Art']",143
"['Computer Science', 'Finance', 'History']",142
"['Computer Science', 'History', 'Music and Art']",142
"['Data Analysis', 'History', 'Mobile and Web Development']",140
"['Biology & Life Sciences', 'History', 'Medicine & Healthcare']",139
"['History', 'History', 'Mobile and Web Development']",138
"['History', 'Medicine & Healthcare', 'Mobile and Web Development']",136
"['Computer Science', 'Education', 'History']",135
"['Mobile and Web Development', 'Mobile and Web Development', 'Software Development']",134
"['Machine Learning', 'Mobile and Web Development', 'Software Development']",132
"['Mobile and Web Development', 'Psychology', 'Software Development']",131
"['Education', 'History', 'Mobile and Web Development']",131
"['Business Essentials', 'Mobile and Web Development', 'Software Development']",130
"['Computer Science', 'Data Analysis', 'Mobile and Web Development']",129
"['Education', 'Entrepreneurship', 'History']",128
"['Entrepreneurship', 'Finance', 'History']",125
"['Biology', 'History', 'History']",125
"['Business & Management', 'History', 'History']",122
"['Data Analysis & Statistics', 'History', 'History']",120
"['Finance', 'History', 'Mobile and Web Development']",118
"['Environmental Science and Sustainability', 'History', 'History']",118
"['Biology', 'History', 'Medicine & Healthcare']",118
"['Data Analysis', 'Mobile and Web Development', 'Music and Art']",115
"['Data Analysis & Statistics', 'History', 'Medicine & Healthcare']",115
"['Business & Management', 'History', 'Medicine & Healthcare']",111
"['Biology', 'Finance', 'History']",110
"['Biology & Life Sciences', 'Education', 'History']",110
"['Health & Safety', 'History', 'History']",110
"['Computer Science', 'Data Analysis', 'History']",108
"['Mobile and Web Development', 'Software Development', 'Software Development']",107
"['Data Analysis', 'Education', 'History']",107
"['Mobile and Web Development', 'Music and Art', 'Software Development']",105
"['Environmental Science and Sustainability', 'History', 'Medicine & Healthcare']",105
"['Biology & Life Sciences', 'Finance', 'History']",103
"['Data Analysis', 'Education', 'Mobile and Web Development']",103
"['Biology & Life Sciences', 'Entrepreneurship', 'History']",103
"['Biology', 'History', 'Music and Art']",102
"['Data Analysis', 'History', 'Music and Art']",102
"['Biology & Life Sciences', 'History', 'Music and Art']",102
"['Data Analysis', 'Mobile and Web Development', 'Mobile and Web Development']",99
"['Education', 'Mobile and Web Development', 'Software Development']",98
"['Data Analysis', 'History', 'Software Development']",98
"['Computer Science', 'History', 'Software Development']",96
"['Biology', 'Education', 'History']",96
"['Data Analysis', 'History', 'Medicine & Healthcare']",95
"['Data Analysis', 'Mobile and Web Development', 'Psychology']",95
"['Computer Science', 'Data Analysis', 'Software Development']",94
"['Computer Science', 'Mobile and Web Development', 'Music and Art']",93
"['Computer Science', 'Finance', 'Medicine & Healthcare']",92
"['Data Analysis', 'Finance', 'History']",92
"['Data Analysis', 'Finance', 'Mobile and Web Development']",92
"['Mechanical Engineering', 'Mobile and Web Development', 'Software Development']",92
"['Data Analysis', 'Machine Learning', 'Mobile and Web Development']",91
"['Business Strategy', 'Mobile and Web Development', 'Software Development']",91
"['Mobile and Web Development', 'Probability and Statistics', 'Software Development']",90
"['Health & Safety', 'History', 'Medicine & Healthcare']",90
"['Data Analysis & Statistics', 'Finance', 'History']",89
"['Computer Science', 'Entrepreneurship', 'History']",89
"['Business & Management', 'Education', 'History']",88
"['Business Essentials', 'Data Analysis', 'Mobile and Web Development']",88
"['Biology', 'Computer Science', 'History']",88
"['Entrepreneurship', 'History', 'Mobile and Web Development']",87
"['Computer Science', 'Finance', 'Mobile and Web Development']",86
"['Education', 'Environmental Science and Sustainability', 'History']",85
"['Biology', 'Entrepreneurship', 'History']",85
"['Biology & Life Sciences', 'Computer Science', 'History']",85
"['History', 'Medicine & Healthcare', 'Software Development']",84
"['History', 'Mobile and Web Development', 'Mobile and Web Development']",83
"['Education', 'Mobile and Web Development', 'Music and Art']",83
"['Business Strategy', 'Data Analysis', 'Mobile and Web Development']",83
"['History', 'Music and Art', 'Software Development']",82
"['History', 'History', 'Software Development']",82
"['Environmental Science and Sustainability', 'Finance', 'History']",81
"['Computer Science', 'Medicine & Healthcare', 'Mobile and Web Development']",81
"['Data Analysis & Statistics', 'Education', 'History']",81
"['Finance', 'Mobile and Web Development', 'Music and Art']",80
"['Education', 'History', 'Software Development']",80
"['Computer Science', 'Education', 'Mobile and Web Development']",80
"['Computer Science', 'Mobile and Web Development', 'Mobile and Web Development']",79
"['Computer Science', 'Environmental Science and Sustainability', 'History']",78
"['Business & Management', 'Computer Science', 'History']",78
"['History', 'Math and Logic', 'Medicine & Healthcare']",78
"['Data Analysis & Statistics', 'History', 'Music and Art']",78
"['Data Analysis', 'Machine Learning', 'Software Development']",77
"['Computer Science', 'Machine Learning', 'Mobile and Web Development']",77
"['History', 'Machine Learning', 'Mobile and Web Development']",77
"['Computer Science', 'Medicine & Healthcare', 'Music and Art']",77
"['Data Analysis', 'Education', 'Music and Art']",77
"['History', 'Medicine & Healthcare', 'Medicine & Healthcare']",77
"['Finance', 'Medicine & Healthcare', 'Music and Art']",76
"['History', 'Leadership and Management', 'Medicine & Healthcare']",76
"['Education', 'Finance', 'Music and Art']",75
"['Data Analysis', 'Psychology', 'Software Development']",75
"['Business & Management', 'History', 'Music and Art']",75
"['Data Analysis', 'History', 'History']",75
"['Computer Science', 'Data Analysis & Statistics', 'History']",75
"['Data Analysis', 'Finance', 'Music and Art']",74
"['Business Essentials', 'Data Analysis', 'Software Development']",74
"['History', 'Mechanical Engineering', 'Mobile and Web Development']",74
"['Biology & Life Sciences', 'Business & Management', 'History']",74
"['Economics', 'History', 'Medicine & Healthcare']",73
"['Finance', 'History', 'Software Development']",73
"['Computer Science', 'Finance', 'Music and Art']",72
"['Business & Management', 'Finance', 'History']",72
"['Data Analysis', 'Education', 'Finance']",72
"['Computer Science', 'Education', 'Medicine & Healthcare']",72
"['Design and Product', 'History', 'Medicine & Healthcare']",72
"['Business & Management', 'Entrepreneurship', 'History']",72
"['History', 'Mobile and Web Development', 'Psychology']",72
"['Finance', 'Mobile and Web Development', 'Software Development']",71
"['Education', 'Finance', 'Medicine & Healthcare']",71
"['Environmental Science and Sustainability', 'History', 'Music and Art']",71
"['History', 'Math and Logic', 'Music and Art']",71
"['Biology & Life Sciences', 'History', 'Mobile and Web Development']",71
"['History', 'Mobile and Web Development', 'Probability and Statistics']",70
"['Business Essentials', 'Computer Science', 'Mobile and Web Development']",70
"['Education', 'Entrepreneurship', 'Music and Art']",70
"['Computer Science', 'Data Analysis', 'Education']",70
"['Biology & Life Sciences', 'Environmental Science and Sustainability', 'History']",70
"['Computer Science', 'Economics', 'History']",69
"['Computer Science', 'Education', 'Finance']",69
"['Computer Science', 'Machine Learning', 'Software Development']",69
"['Engineering', 'History', 'History']",69
"['Computer Science', 'History', 'Leadership and Management']",69
"['Computer Science', 'History', 'Humanities']",69
"['History', 'History', 'Leadership and Management']",69
"['Computer Science', 'Data Analysis', 'Finance']",68
"['History', 'Machine Learning', 'Software Development']",68
"['Data Analysis', 'Medicine & Healthcare', 'Mobile and Web Development']",68
"['Data Analysis', 'Mobile and Web Development', 'Probability and Statistics']",68
"['Data Analysis', 'Mechanical Engineering', 'Mobile and Web Development']",68
"['Engineering', 'History', 'Medicine & Healthcare']",68
"['Computer Science', 'Mobile and Web Development', 'Psychology']",68
"['Computer Science', 'Data Analysis', 'Music and Art']",68
"['Biology', 'Data Analysis & Statistics', 'History']",68
"['History', 'Leadership and Management', 'Music and Art']",68
"['History', 'History', 'Mechanical Engineering']",68
"['Finance', 'History', 'Leadership and Management']",67
"['Data Analysis', 'Education', 'Software Development']",67
"['Medicine & Healthcare', 'Mobile and Web Development', 'Music and Art']",67
"['History', 'History', 'Probability and Statistics']",67
"['Mobile and Web Development', 'Mobile and Web Development', 'Psychology']",67
"['Business Essentials', 'History', 'Mobile and Web Development']",67
"['History', 'History', 'Math and Logic']",67
"['Design and Product', 'History', 'History']",67
"['Biology', 'Biology & Life Sciences', 'History']",67
"['Data Analysis & Statistics', 'Entrepreneurship', 'History']",67
"['Entrepreneurship', 'Finance', 'Music and Art']",66
"['Finance', 'Health & Safety', 'History']",66
"['Education', 'Finance', 'Mobile and Web Development']",66
"['Education', 'Medicine & Healthcare', 'Music and Art']",66
"['Computer Science', 'Data Analysis', 'Medicine & Healthcare']",66
"['History', 'Medicine & Healthcare', 'Philosophy']",66
"['Computer Science', 'Engineering', 'History']",66
"['Machine Learning', 'Mobile and Web Development', 'Mobile and Web Development']",66
"['Education', 'History', 'Math and Logic']",66
"['Health & Safety', 'History', 'Music and Art']",66
"['Education', 'Health & Safety', 'History']",66
"['Biology & Life Sciences', 'Data Analysis & Statistics', 'History']",66
"['Entrepreneurship', 'Health & Safety', 'History']",66
"['Biology & Life Sciences', 'Health & Safety', 'History']",66
"['Entrepreneurship', 'Environmental Science and Sustainability', 'History']",66
"['Biology', 'Finance', 'Music and Art']",65
"['Biology', 'Computer Science', 'Finance']",65
"['History', 'Mechanical Engineering', 'Medicine & Healthcare']",65
"['History', 'Humanities', 'Medicine & Healthcare']",65
"['History', 'History', 'Philosophy']",65
"['Computer Science', 'Design and Product', 'History']",65
"['Computer Science', 'Psychology', 'Software Development']",64
"['Computer Science', 'History', 'Probability and Statistics']",64
"['Computer Science', 'Mechanical Engineering', 'Mobile and Web Development']",64
"['Machine Learning', 'Mobile and Web Development', 'Psychology']",64
"['Business Essentials', 'Machine Learning', 'Mobile and Web Development']",64
"['History', 'History', 'Learning English']",64
"['Economics', 'History', 'History']",63
"['Finance', 'History', 'Math and Logic']",63
"['Finance', 'Medicine & Healthcare', 'Mobile and Web Development']",63
"['Medicine & Healthcare', 'Mobile and Web Development', 'Software Development']",63
"['Computer Science', 'Education', 'Software Development']",63
"['History', 'Learning English', 'Medicine & Healthcare']",63
"['History', 'Leadership and Management', 'Mobile and Web Development']",63
"['Business Essentials', 'Mobile and Web Development', 'Psychology']",63
"['Business Essentials', 'Mobile and Web Development', 'Mobile and Web Development']",63
"['Design and Product', 'Education', 'History']",63
"['History', 'History', 'Humanities']",63
"['Data Analysis', 'Music and Art', 'Software Development']",62
"['Chemistry', 'History', 'History']",62
"['Chemistry', 'History', 'Medicine & Healthcare']",62
"['Data Analysis', 'Software Development', 'Software Development']",61
"['Data Analysis', 'Education', 'Medicine & Healthcare']",61
"['Biology', 'History', 'Mobile and Web Development']",61
"['Data Analysis', 'Finance', 'Medicine & Healthcare']",60
"['Leadership and Management', 'Mobile and Web Development', 'Software Development']",60
"['Business Strategy', 'Data Analysis', 'Software Development']",60
"['Economics', 'Education', 'History']",60
"['Data Analysis', 'Data Analysis', 'Mobile and Web Development']",60
"['Biology', 'Environmental Science and Sustainability', 'History']",60
"['Data Analysis', 'Entrepreneurship', 'History']",60
"['History', 'Learning English', 'Music and Art']",60
"['History', 'Music and Art', 'Music and Art']",60
"['Computer Science', 'Finance', 'Leadership and Management']",59
"['Education', 'Entrepreneurship', 'Finance']",59
"['Biology', 'Finance', 'Medicine & Healthcare']",59
"['History', 'History', 'Sociology']",59
"['History', 'History', 'Marketing']",59
"['Entrepreneurship', 'History', 'Math and Logic']",59
"['History', 'History', 'Law']",59
"['Education', 'History', 'Leadership and Management']",59
"['Computer Science', 'Finance', 'Software Development']",58
"['Business Essentials', 'Psychology', 'Software Development']",58
"['Business Essentials', 'History', 'Software Development']",58
"['Mobile and Web Development', 'Mobile and Web Development', 'Music and Art']",58
"['Education & Teacher Training', 'History', 'History']",58
"['History', 'Medicine & Healthcare', 'Science']",58
"['Economics', 'Finance', 'History']",57
"['Computer Science', 'Music and Art', 'Software Development']",57
"['Business Essentials', 'Computer Science', 'Software Development']",57
"['Computer Science', 'Mobile and Web Development', 'Probability and Statistics']",57
"['Business Strategy', 'Computer Science', 'Mobile and Web Development']",57
"['Business & Management', 'Environmental Science and Sustainability', 'History']",57
"['History', 'Law', 'Medicine & Healthcare']",57
"['Education', 'History', 'Learning English']",57
