cliq,freq
"['Arts and Humanities', 'Business', 'Computer Science', 'Social Sciences']",23085
"['Arts and Humanities', 'Business', 'Computer Science', 'Life Sciences']",22516
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",20974
"['Arts and Humanities', 'Business', 'Life Sciences', 'Social Sciences']",20545
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",20187
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Social Sciences']",20152
"['Arts and Humanities', 'Business', 'Computer Science', 'Physical Science and Engineering']",19992
"['Arts and Humanities', 'Business', 'Computer Science', 'Data Science']",19733
"['Arts and Humanities', 'Business', 'Life Sciences', 'Physical Science and Engineering']",18143
"['Arts and Humanities', 'Business', 'Computer Science', 'Computer Science']",17849
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Social Sciences']",17537
"['Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",17496
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Life Sciences']",17179
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Data Science']",16986
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Social Sciences']",16858
"['Business', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",16514
"['Computer Science', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",16393
"['Arts and Humanities', 'Business', 'Physical Science and Engineering', 'Social Sciences']",16080
"['Business', 'Computer Science', 'Life Sciences', 'Social Sciences']",15771
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Computer Science']",15769
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Physical Science and Engineering']",15289
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Life Sciences']",15167
"['Business', 'Computer Science', 'Data Science', 'Social Sciences']",15014
"['Business', 'Computer Science', 'Computer Science', 'Data Science']",14793
"['Business', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",14691
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Life Sciences']",14529
"['Business', 'Computer Science', 'Computer Science', 'Social Sciences']",14439
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Physical Science and Engineering']",14418
"['Computer Science', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",14218
"['Computer Science', 'Computer Science', 'Data Science', 'Social Sciences']",13843
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Social Sciences']",13626
"['Arts and Humanities', 'Business', 'Data Science', 'Life Sciences']",13477
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Social Sciences']",13451
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Social Sciences']",13324
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Life Sciences']",13122
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Physical Science and Engineering']",12687
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering']",12605
"['Business', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",12464
"['Arts and Humanities', 'Business', 'Data Science', 'Social Sciences']",12418
"['Computer Science', 'Data Science', 'Physical Science and Engineering', 'Social Sciences']",12315
"['Business', 'Computer Science', 'Data Science', 'Life Sciences']",12249
"['Business', 'Computer Science', 'Computer Science', 'Physical Science and Engineering']",12200
"['Arts and Humanities', 'Business', 'Life Sciences', 'Life Sciences']",11891
"['Arts and Humanities', 'Data Science', 'Life Sciences', 'Social Sciences']",11762
"['Arts and Humanities', 'Business', 'Business', 'Computer Science']",11669
"['Business', 'Computer Science', 'Data Science', 'Physical Science and Engineering']",11519
"['Computer Science', 'Data Science', 'Life Sciences', 'Social Sciences']",11513
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Physical Science and Engineering']",11473
"['Arts and Humanities', 'Business', 'Business', 'Life Sciences']",11286
"['Computer Science', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",11165
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Data Science']",11009
"['Computer Science', 'Computer Science', 'Life Sciences', 'Social Sciences']",10872
"['Business', 'Computer Science', 'Computer Science', 'Life Sciences']",10858
"['Arts and Humanities', 'Data Science', 'Life Sciences', 'Physical Science and Engineering']",10790
"['Computer Science', 'Data Science', 'Life Sciences', 'Physical Science and Engineering']",10662
"['Computer Science', 'Computer Science', 'Data Science', 'Physical Science and Engineering']",10614
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering', 'Physical Science and Engineering']",10413
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Computer Science']",10365
"['Arts and Humanities', 'Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences']",10247
"['Arts and Humanities', 'Business', 'Data Science', 'Physical Science and Engineering']",10093
"['Arts and Humanities', 'Life Sciences', 'Life Sciences', 'Social Sciences']",9931
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Computer Science']",9913
"['Arts and Humanities', 'Data Science', 'Physical Science and Engineering', 'Social Sciences']",9859
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Life Sciences']",9821
"['Computer Science', 'Computer Science', 'Computer Science', 'Data Science']",9779
