cliq,freq
"['Data Science', 'Life Sciences', 'Math and Logic']",431
"['Arts and Humanities', 'Arts and Humanities', 'Math and Logic']",431
"['Arts and Humanities', 'Language Learning', 'Physical Science and Engineering']",428
"['Business', 'Data Science', 'Math and Logic']",422
"['Computer Science', 'Language Learning', 'Physical Science and Engineering']",417
"['Business', 'Business', 'Business']",401
"['Physical Science and Engineering', 'Physical Science and Engineering', 'Physical Science and Engineering']",398
"['Computer Science', 'Language Learning', 'Life Sciences']",397
"['Computer Science', 'Data Science', 'Language Learning']",392
"['Business', 'Language Learning', 'Social Sciences']",367
"['Math and Logic', 'Physical Science and Engineering', 'Physical Science and Engineering']",357
"['Business', 'Language Learning', 'Life Sciences']",349
"['Arts and Humanities', 'Data Science', 'Language Learning']",345
"['Life Sciences', 'Life Sciences', 'Life Sciences']",341
"['Computer Science', 'Computer Science', 'Language Learning']",335
"['Social Sciences', 'Social Sciences', 'Social Sciences']",327
"['Language Learning', 'Life Sciences', 'Social Sciences']",325
"['Business', 'Business', 'Math and Logic']",325
"['Life Sciences', 'Life Sciences', 'Math and Logic']",319
"['Math and Logic', 'Social Sciences', 'Social Sciences']",317
"['Arts and Humanities', 'Arts and Humanities', 'Language Learning']",315
"['Language Learning', 'Life Sciences', 'Physical Science and Engineering']",309
"['Business', 'Computer Science', 'Personal Development']",307
"['Language Learning', 'Physical Science and Engineering', 'Social Sciences']",305
"['Business', 'Data Science', 'Language Learning']",290
"['Computer Science', 'Personal Development', 'Social Sciences']",289
"['Business', 'Language Learning', 'Physical Science and Engineering']",280
"['Arts and Humanities', 'Computer Science', 'Personal Development']",271
"['Data Science', 'Language Learning', 'Social Sciences']",253
"['Business', 'Personal Development', 'Social Sciences']",251
"['Data Science', 'Language Learning', 'Life Sciences']",241
"['Computer Science', 'Computer Science', 'Personal Development']",235
"['Arts and Humanities', 'Business', 'Personal Development']",230
"['Data Science', 'Language Learning', 'Physical Science and Engineering']",224
"['Computer Science', 'Data Science', 'Personal Development']",206
"['Arts and Humanities', 'Personal Development', 'Social Sciences']",206
"['Business', 'Business', 'Language Learning']",182
"['Data Science', 'Data Science', 'Data Science']",178
"['Computer Science', 'Personal Development', 'Physical Science and Engineering']",174
"['Computer Science', 'Life Sciences', 'Personal Development']",167
"['Personal Development', 'Physical Science and Engineering', 'Social Sciences']",163
"['Arts and Humanities', 'Language Learning', 'Math and Logic']",162
"['Language Learning', 'Physical Science and Engineering', 'Physical Science and Engineering']",160
"['Language Learning', 'Life Sciences', 'Life Sciences']",158
"['Business', 'Life Sciences', 'Personal Development']",155
"['Life Sciences', 'Personal Development', 'Social Sciences']",155
"['Language Learning', 'Social Sciences', 'Social Sciences']",149
"['Business', 'Personal Development', 'Physical Science and Engineering']",148
"['Business', 'Language Learning', 'Math and Logic']",126
"['Computer Science', 'Language Learning', 'Math and Logic']",125
"['Arts and Humanities', 'Life Sciences', 'Personal Development']",125
"['Language Learning', 'Math and Logic', 'Social Sciences']",122
"['Personal Development', 'Social Sciences', 'Social Sciences']",122
"['Data Science', 'Data Science', 'Math and Logic']",120
"['Arts and Humanities', 'Data Science', 'Personal Development']",115
"['Arts and Humanities', 'Personal Development', 'Physical Science and Engineering']",113
"['Language Learning', 'Math and Logic', 'Physical Science and Engineering']",112
"['Language Learning', 'Life Sciences', 'Math and Logic']",111
"['Business', 'Data Science', 'Personal Development']",107
"['Business', 'Business', 'Personal Development']",107
"['Data Science', 'Data Science', 'Language Learning']",103
"['Life Sciences', 'Personal Development', 'Physical Science and Engineering']",94
"['Arts and Humanities', 'Arts and Humanities', 'Personal Development']",87
"['Data Science', 'Language Learning', 'Math and Logic']",86
"['Data Science', 'Personal Development', 'Social Sciences']",84
"['Math and Logic', 'Math and Logic', 'Social Sciences']",83
"['Arts and Humanities', 'Math and Logic', 'Math and Logic']",79
"['Computer Science', 'Math and Logic', 'Math and Logic']",75
"['Math and Logic', 'Math and Logic', 'Physical Science and Engineering']",70
"['Business', 'Math and Logic', 'Math and Logic']",69
"['Life Sciences', 'Math and Logic', 'Math and Logic']",67
"['Data Science', 'Life Sciences', 'Personal Development']",53
"['Data Science', 'Math and Logic', 'Math and Logic']",47
"['Personal Development', 'Physical Science and Engineering', 'Physical Science and Engineering']",44
"['Data Science', 'Data Science', 'Personal Development']",43
"['Data Science', 'Personal Development', 'Physical Science and Engineering']",42
"['Business', 'Math and Logic', 'Personal Development']",37
"['Math and Logic', 'Personal Development', 'Social Sciences']",36
"['Arts and Humanities', 'Math and Logic', 'Personal Development']",34
"['Life Sciences', 'Life Sciences', 'Personal Development']",31
"['Life Sciences', 'Math and Logic', 'Personal Development']",25
"['Computer Science', 'Language Learning', 'Personal Development']",24
"['Computer Science', 'Math and Logic', 'Personal Development']",24
"['Arts and Humanities', 'Language Learning', 'Language Learning']",22
"['Arts and Humanities', 'Language Learning', 'Personal Development']",22
"['Personal Development', 'Personal Development', 'Social Sciences']",21
"['Business', 'Language Learning', 'Personal Development']",19
"['Computer Science', 'Language Learning', 'Language Learning']",18
"['Business', 'Personal Development', 'Personal Development']",18
"['Language Learning', 'Math and Logic', 'Math and Logic']",17
"['Math and Logic', 'Personal Development', 'Physical Science and Engineering']",16
"['Language Learning', 'Personal Development', 'Social Sciences']",16
"['Language Learning', 'Language Learning', 'Social Sciences']",15
"['Data Science', 'Language Learning', 'Personal Development']",15
"['Personal Development', 'Personal Development', 'Physical Science and Engineering']",15
"['Language Learning', 'Language Learning', 'Physical Science and Engineering']",14
"['Business', 'Language Learning', 'Language Learning']",13
"['Computer Science', 'Personal Development', 'Personal Development']",13
"['Language Learning', 'Language Learning', 'Life Sciences']",12
"['Arts and Humanities', 'Personal Development', 'Personal Development']",12
"['Life Sciences', 'Personal Development', 'Personal Development']",12
"['Language Learning', 'Life Sciences', 'Personal Development']",11
"['Data Science', 'Math and Logic', 'Personal Development']",9
"['Language Learning', 'Language Learning', 'Math and Logic']",8
"['Data Science', 'Language Learning', 'Language Learning']",7
"['Language Learning', 'Math and Logic', 'Personal Development']",6
"['Math and Logic', 'Math and Logic', 'Math and Logic']",3
"['Math and Logic', 'Math and Logic', 'Personal Development']",3
"['Math and Logic', 'Personal Development', 'Personal Development']",3
"['Language Learning', 'Personal Development', 'Physical Science and Engineering']",3
"['Personal Development', 'Personal Development', 'Personal Development']",1
"['Language Learning', 'Language Learning', 'Personal Development']",1
