cliq,freq
"['Business', 'Computer Science', 'Data Science', 'Physical Science and Engineering']",480
"['Language Learning', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",480
"['Arts and Humanities', 'Business', 'Life Sciences', 'Physical Science and Engineering']",469
"['Business', 'Business', 'Computer Science', 'Life Sciences']",467
"['Business', 'Business', 'Computer Science', 'Physical Science and Engineering']",458
"['Arts and Humanities', 'Business', 'Physical Science and Engineering', 'Social Sciences']",454
"['Business', 'Computer Science', 'Computer Science', 'Data Science']",450
"['Computer Science', 'Computer Science', 'Language Learning', 'Physical Science and Engineering']",450
"['Life Sciences', 'Social Sciences', 'Social Sciences', 'Social Sciences']",449
"['Business', 'Life Sciences', 'Math and Logic', 'Social Sciences']",447
"['Arts and Humanities', 'Computer Science', 'Math and Logic', 'Social Sciences']",427
"['Business', 'Computer Science', 'Computer Science', 'Math and Logic']",420
"['Arts and Humanities', 'Business', 'Social Sciences', 'Social Sciences']",418
"['Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",416
"['Business', 'Data Science', 'Physical Science and Engineering', 'Social Sciences']",408
"['Business', 'Data Science', 'Social Sciences', 'Social Sciences']",407
"['Business', 'Computer Science', 'Language Learning', 'Physical Science and Engineering']",402
"['Life Sciences', 'Math and Logic', 'Social Sciences', 'Social Sciences']",399
"['Computer Science', 'Data Science', 'Math and Logic', 'Social Sciences']",390
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Life Sciences']",387
"['Business', 'Language Learning', 'Life Sciences', 'Social Sciences']",384
"['Arts and Humanities', 'Business', 'Business', 'Computer Science']",381
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Life Sciences']",379
"['Business', 'Business', 'Life Sciences', 'Social Sciences']",375
"['Business', 'Business', 'Computer Science', 'Computer Science']",373
"['Data Science', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",368
"['Arts and Humanities', 'Data Science', 'Life Sciences', 'Social Sciences']",368
"['Business', 'Computer Science', 'Computer Science', 'Language Learning']",363
"['Business', 'Math and Logic', 'Physical Science and Engineering', 'Social Sciences']",362
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering', 'Physical Science and Engineering']",358
"['Physical Science and Engineering', 'Social Sciences', 'Social Sciences', 'Social Sciences']",350
"['Computer Science', 'Data Science', 'Life Sciences', 'Life Sciences']",350
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Computer Science']",342
"['Business', 'Social Sciences', 'Social Sciences', 'Social Sciences']",341
"['Business', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",341
"['Language Learning', 'Life Sciences', 'Social Sciences', 'Social Sciences']",336
"['Arts and Humanities', 'Life Sciences', 'Life Sciences', 'Social Sciences']",328
"['Business', 'Life Sciences', 'Life Sciences', 'Physical Science and Engineering']",328
"['Math and Logic', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",322
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Physical Science and Engineering']",322
"['Arts and Humanities', 'Computer Science', 'Language Learning', 'Social Sciences']",322
"['Computer Science', 'Data Science', 'Language Learning', 'Social Sciences']",320
"['Computer Science', 'Language Learning', 'Math and Logic', 'Social Sciences']",320
"['Business', 'Language Learning', 'Physical Science and Engineering', 'Social Sciences']",320
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Physical Science and Engineering']",315
"['Computer Science', 'Life Sciences', 'Life Sciences', 'Math and Logic']",315
"['Data Science', 'Life Sciences', 'Life Sciences', 'Social Sciences']",307
"['Arts and Humanities', 'Business', 'Computer Science', 'Math and Logic']",306
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Math and Logic']",305
"['Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",302
"['Business', 'Data Science', 'Life Sciences', 'Physical Science and Engineering']",301
"['Computer Science', 'Language Learning', 'Life Sciences', 'Life Sciences']",300
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Computer Science']",291
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Physical Science and Engineering']",291
"['Arts and Humanities', 'Computer Science', 'Math and Logic', 'Physical Science and Engineering']",290
"['Business', 'Math and Logic', 'Social Sciences', 'Social Sciences']",287
"['Business', 'Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering']",287
"['Arts and Humanities', 'Business', 'Computer Science', 'Data Science']",283
"['Business', 'Business', 'Physical Science and Engineering', 'Social Sciences']",282
"['Language Learning', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",280
"['Business', 'Life Sciences', 'Math and Logic', 'Physical Science and Engineering']",273
"['Arts and Humanities', 'Data Science', 'Physical Science and Engineering', 'Social Sciences']",272
"['Arts and Humanities', 'Business', 'Data Science', 'Social Sciences']",271
"['Computer Science', 'Data Science', 'Life Sciences', 'Math and Logic']",270
"['Computer Science', 'Computer Science', 'Computer Science', 'Data Science']",263
"['Life Sciences', 'Life Sciences', 'Math and Logic', 'Social Sciences']",261
"['Arts and Humanities', 'Life Sciences', 'Math and Logic', 'Social Sciences']",255
"['Computer Science', 'Computer Science', 'Computer Science', 'Math and Logic']",254
"['Business', 'Business', 'Social Sciences', 'Social Sciences']",249
"['Arts and Humanities', 'Data Science', 'Social Sciences', 'Social Sciences']",249
"['Arts and Humanities', 'Business', 'Business', 'Physical Science and Engineering']",248
"['Arts and Humanities', 'Data Science', 'Life Sciences', 'Physical Science and Engineering']",247
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Data Science']",245
"['Arts and Humanities', 'Computer Science', 'Language Learning', 'Life Sciences']",244
"['Business', 'Language Learning', 'Life Sciences', 'Physical Science and Engineering']",242
"['Computer Science', 'Data Science', 'Language Learning', 'Life Sciences']",241
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Math and Logic']",240
"['Computer Science', 'Language Learning', 'Life Sciences', 'Math and Logic']",240
"['Computer Science', 'Computer Science', 'Computer Science', 'Language Learning']",240
"['Language Learning', 'Life Sciences', 'Life Sciences', 'Social Sciences']",240
"['Business', 'Business', 'Life Sciences', 'Physical Science and Engineering']",236
"['Data Science', 'Life Sciences', 'Math and Logic', 'Social Sciences']",234
"['Arts and Humanities', 'Business', 'Physical Science and Engineering', 'Physical Science and Engineering']",231
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Life Sciences']",228
"['Computer Science', 'Data Science', 'Physical Science and Engineering', 'Physical Science and Engineering']",224
"['Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering']",224
"['Business', 'Language Learning', 'Social Sciences', 'Social Sciences']",224
"['Computer Science', 'Data Science', 'Math and Logic', 'Physical Science and Engineering']",220
"['Arts and Humanities', 'Life Sciences', 'Life Sciences', 'Physical Science and Engineering']",218
"['Arts and Humanities', 'Social Sciences', 'Social Sciences', 'Social Sciences']",217
"['Computer Science', 'Math and Logic', 'Physical Science and Engineering', 'Physical Science and Engineering']",217
"['Computer Science', 'Computer Science', 'Computer Science', 'Computer Science']",216
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering']",216
"['Arts and Humanities', 'Computer Science', 'Language Learning', 'Physical Science and Engineering']",208
"['Computer Science', 'Life Sciences', 'Life Sciences', 'Life Sciences']",207
"['Arts and Humanities', 'Math and Logic', 'Physical Science and Engineering', 'Social Sciences']",202
"['Computer Science', 'Data Science', 'Language Learning', 'Physical Science and Engineering']",202
"['Computer Science', 'Language Learning', 'Physical Science and Engineering', 'Physical Science and Engineering']",201
"['Computer Science', 'Computer Science', 'Data Science', 'Math and Logic']",200
"['Computer Science', 'Language Learning', 'Math and Logic', 'Physical Science and Engineering']",200
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Social Sciences']",197
"['Data Science', 'Social Sciences', 'Social Sciences', 'Social Sciences']",194
"['Arts and Humanities', 'Language Learning', 'Life Sciences', 'Social Sciences']",192
"['Data Science', 'Language Learning', 'Life Sciences', 'Social Sciences']",192
"['Language Learning', 'Life Sciences', 'Math and Logic', 'Social Sciences']",192
"['Arts and Humanities', 'Business', 'Math and Logic', 'Social Sciences']",191
"['Business', 'Computer Science', 'Data Science', 'Math and Logic']",191
"['Arts and Humanities', 'Business', 'Data Science', 'Life Sciences']",190
"['Arts and Humanities', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",188
"['Data Science', 'Math and Logic', 'Physical Science and Engineering', 'Social Sciences']",188
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Language Learning']",181
"['Computer Science', 'Computer Science', 'Data Science', 'Language Learning']",180
"['Computer Science', 'Computer Science', 'Language Learning', 'Math and Logic']",180
"['Business', 'Business', 'Computer Science', 'Data Science']",179
"['Data Science', 'Life Sciences', 'Life Sciences', 'Physical Science and Engineering']",179
"['Arts and Humanities', 'Math and Logic', 'Social Sciences', 'Social Sciences']",176
"['Data Science', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",176
"['Business', 'Business', 'Computer Science', 'Math and Logic']",175
"['Business', 'Business', 'Data Science', 'Social Sciences']",174
"['Arts and Humanities', 'Business', 'Math and Logic', 'Physical Science and Engineering']",173
"['Arts and Humanities', 'Business', 'Data Science', 'Physical Science and Engineering']",172
"['Business', 'Data Science', 'Math and Logic', 'Social Sciences']",170
"['Arts and Humanities', 'Business', 'Computer Science', 'Language Learning']",170
"['Life Sciences', 'Life Sciences', 'Life Sciences', 'Social Sciences']",169
"['Math and Logic', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",168
"['Arts and Humanities', 'Business', 'Life Sciences', 'Life Sciences']",164
"['Arts and Humanities', 'Business', 'Business', 'Social Sciences']",162
"['Business', 'Computer Science', 'Data Science', 'Language Learning']",161
"['Life Sciences', 'Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering']",161
"['Business', 'Computer Science', 'Language Learning', 'Math and Logic']",160
"['Arts and Humanities', 'Language Learning', 'Physical Science and Engineering', 'Social Sciences']",160
"['Data Science', 'Language Learning', 'Physical Science and Engineering', 'Social Sciences']",160
"['Language Learning', 'Math and Logic', 'Physical Science and Engineering', 'Social Sciences']",160
"['Language Learning', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",160
"['Arts and Humanities', 'Business', 'Business', 'Life Sciences']",159
"['Life Sciences', 'Life Sciences', 'Math and Logic', 'Physical Science and Engineering']",156
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Life Sciences']",155
"['Data Science', 'Math and Logic', 'Social Sciences', 'Social Sciences']",154
"['Business', 'Data Science', 'Life Sciences', 'Life Sciences']",154
"['Computer Science', 'Data Science', 'Data Science', 'Social Sciences']",153
"['Arts and Humanities', 'Life Sciences', 'Math and Logic', 'Physical Science and Engineering']",153
"['Language Learning', 'Life Sciences', 'Life Sciences', 'Physical Science and Engineering']",150
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Computer Science']",148
"['Arts and Humanities', 'Business', 'Life Sciences', 'Math and Logic']",148
"['Math and Logic', 'Social Sciences', 'Social Sciences', 'Social Sciences']",147
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Social Sciences']",147
"['Data Science', 'Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering']",143
"['Data Science', 'Life Sciences', 'Math and Logic', 'Physical Science and Engineering']",134
"['Arts and Humanities', 'Business', 'Language Learning', 'Social Sciences']",131
"['Business', 'Life Sciences', 'Life Sciences', 'Math and Logic']",129
"['Arts and Humanities', 'Language Learning', 'Life Sciences', 'Physical Science and Engineering']",128
"['Life Sciences', 'Math and Logic', 'Physical Science and Engineering', 'Physical Science and Engineering']",128
"['Business', 'Data Science', 'Language Learning', 'Social Sciences']",128
"['Business', 'Language Learning', 'Math and Logic', 'Social Sciences']",128
"['Business', 'Business', 'Computer Science', 'Language Learning']",126
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Business']",125
"['Data Science', 'Language Learning', 'Life Sciences', 'Physical Science and Engineering']",122
"['Arts and Humanities', 'Arts and Humanities', 'Physical Science and Engineering', 'Physical Science and Engineering']",122
"['Language Learning', 'Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering']",121
"['Language Learning', 'Life Sciences', 'Math and Logic', 'Physical Science and Engineering']",120
"['Business', 'Language Learning', 'Life Sciences', 'Life Sciences']",120
"['Business', 'Business', 'Math and Logic', 'Social Sciences']",117
"['Business', 'Data Science', 'Life Sciences', 'Math and Logic']",114
"['Arts and Humanities', 'Data Science', 'Life Sciences', 'Life Sciences']",113
"['Computer Science', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Physical Science and Engineering']",112
"['Arts and Humanities', 'Language Learning', 'Social Sciences', 'Social Sciences']",112
"['Data Science', 'Language Learning', 'Social Sciences', 'Social Sciences']",112
"['Language Learning', 'Math and Logic', 'Social Sciences', 'Social Sciences']",112
"['Language Learning', 'Social Sciences', 'Social Sciences', 'Social Sciences']",112
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Math and Logic']",111
"['Business', 'Business', 'Data Science', 'Life Sciences']",110
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Social Sciences']",107
"['Social Sciences', 'Social Sciences', 'Social Sciences', 'Social Sciences']",106
"['Arts and Humanities', 'Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences']",106
"['Arts and Humanities', 'Data Science', 'Math and Logic', 'Social Sciences']",106
"['Computer Science', 'Personal Development', 'Social Sciences', 'Social Sciences']",105
"['Business', 'Computer Science', 'Personal Development', 'Social Sciences']",105
"['Arts and Humanities', 'Computer Science', 'Personal Development', 'Social Sciences']",105
"['Computer Science', 'Life Sciences', 'Personal Development', 'Social Sciences']",105
"['Life Sciences', 'Life Sciences', 'Life Sciences', 'Physical Science and Engineering']",105
"['Business', 'Business', 'Life Sciences', 'Life Sciences']",103
"['Arts and Humanities', 'Arts and Humanities', 'Social Sciences', 'Social Sciences']",100
"['Arts and Humanities', 'Business', 'Language Learning', 'Life Sciences']",100
"['Data Science', 'Data Science', 'Life Sciences', 'Social Sciences']",99
"['Business', 'Business', 'Language Learning', 'Social Sciences']",99
"['Business', 'Data Science', 'Physical Science and Engineering', 'Physical Science and Engineering']",99
"['Business', 'Business', 'Physical Science and Engineering', 'Physical Science and Engineering']",99
"['Arts and Humanities', 'Arts and Humanities', 'Data Science', 'Physical Science and Engineering']",98
"['Business', 'Math and Logic', 'Physical Science and Engineering', 'Physical Science and Engineering']",98
"['Business', 'Data Science', 'Language Learning', 'Life Sciences']",97
"['Computer Science', 'Data Science', 'Data Science', 'Life Sciences']",96
"['Business', 'Language Learning', 'Life Sciences', 'Math and Logic']",96
"['Business', 'Business', 'Math and Logic', 'Physical Science and Engineering']",96
"['Business', 'Data Science', 'Math and Logic', 'Physical Science and Engineering']",92
"['Business', 'Data Science', 'Data Science', 'Social Sciences']",91
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Data Science']",91
"['Business', 'Business', 'Life Sciences', 'Math and Logic']",91
"['Arts and Humanities', 'Arts and Humanities', 'Arts and Humanities', 'Physical Science and Engineering']",91
"['Business', 'Business', 'Business', 'Computer Science']",90
"['Arts and Humanities', 'Arts and Humanities', 'Data Science', 'Life Sciences']",89
"['Arts and Humanities', 'Arts and Humanities', 'Data Science', 'Social Sciences']",88
"['Arts and Humanities', 'Business', 'Language Learning', 'Physical Science and Engineering']",88
"['Arts and Humanities', 'Data Science', 'Physical Science and Engineering', 'Physical Science and Engineering']",86
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Language Learning']",84
"['Business', 'Life Sciences', 'Life Sciences', 'Life Sciences']",84
"['Business', 'Computer Science', 'Data Science', 'Data Science']",83
"['Arts and Humanities', 'Business', 'Business', 'Math and Logic']",83
"['Business', 'Data Science', 'Language Learning', 'Physical Science and Engineering']",82
"['Business', 'Language Learning', 'Physical Science and Engineering', 'Physical Science and Engineering']",81
"['Arts and Humanities', 'Computer Science', 'Language Learning', 'Math and Logic']",80
"['Computer Science', 'Data Science', 'Language Learning', 'Math and Logic']",80
