cliq,freq
"['Arts and Humanities', 'Computer Science', 'Social Sciences']",5
"['Business', 'Computer Science', 'Social Sciences']",4
"['Computer Science', 'Computer Science', 'Social Sciences']",3
"['Arts and Humanities', 'Business', 'Social Sciences']",2
"['Arts and Humanities', 'Business', 'Computer Science']",2
"['Computer Science', 'Social Sciences', 'Social Sciences']",2
"['Data Science', 'Physical Science and Engineering', 'Social Sciences']",1
"['Computer Science', 'Physical Science and Engineering', 'Social Sciences']",1
"['Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences']",1
"['Computer Science', 'Data Science', 'Physical Science and Engineering']",1
"['Arts and Humanities', 'Data Science', 'Physical Science and Engineering']",1
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering']",1
"['Arts and Humanities', 'Social Sciences', 'Social Sciences']",1
"['Arts and Humanities', 'Computer Science', 'Computer Science']",1
"['Business', 'Social Sciences', 'Social Sciences']",1
"['Business', 'Computer Science', 'Computer Science']",1
"['Computer Science', 'Data Science', 'Social Sciences']",1
"['Arts and Humanities', 'Data Science', 'Social Sciences']",1
"['Arts and Humanities', 'Computer Science', 'Data Science']",1
