cliq,freq
"['Arts and Humanities', 'Business', 'Life Sciences', 'Physical Science and Engineering']",393
"['Arts and Humanities', 'Business', 'Business', 'Physical Science and Engineering']",382
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",361
"['Business', 'Business', 'Life Sciences', 'Physical Science and Engineering']",358
"['Arts and Humanities', 'Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences']",300
"['Arts and Humanities', 'Business', 'Physical Science and Engineering', 'Social Sciences']",284
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Social Sciences']",264
"['Arts and Humanities', 'Business', 'Life Sciences', 'Social Sciences']",261
"['Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",257
"['Arts and Humanities', 'Business', 'Physical Science and Engineering', 'Physical Science and Engineering']",252
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Social Sciences']",248
"['Business', 'Business', 'Physical Science and Engineering', 'Physical Science and Engineering']",247
"['Business', 'Business', 'Physical Science and Engineering', 'Social Sciences']",236
"['Arts and Humanities', 'Business', 'Business', 'Life Sciences']",236
"['Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",235
"['Business', 'Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering']",225
"['Arts and Humanities', 'Arts and Humanities', 'Social Sciences', 'Social Sciences']",219
"['Arts and Humanities', 'Computer Science', 'Social Sciences', 'Social Sciences']",219
"['Arts and Humanities', 'Data Science', 'Physical Science and Engineering', 'Social Sciences']",216
"['Business', 'Business', 'Business', 'Physical Science and Engineering']",204
"['Business', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",203
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Social Sciences']",195
"['Business', 'Business', 'Computer Science', 'Physical Science and Engineering']",194
"['Arts and Humanities', 'Business', 'Computer Science', 'Physical Science and Engineering']",187
"['Arts and Humanities', 'Life Sciences', 'Social Sciences', 'Social Sciences']",183
"['Business', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",178
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Life Sciences']",165
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Physical Science and Engineering']",161
"['Arts and Humanities', 'Arts and Humanities', 'Data Science', 'Social Sciences']",160
"['Arts and Humanities', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",156
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Physical Science and Engineering']",150
"['Business', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",149
"['Arts and Humanities', 'Math and Logic', 'Physical Science and Engineering', 'Social Sciences']",149
"['Arts and Humanities', 'Business', 'Business', 'Social Sciences']",148
"['Arts and Humanities', 'Business', 'Life Sciences', 'Life Sciences']",148
"['Business', 'Business', 'Data Science', 'Physical Science and Engineering']",145
"['Arts and Humanities', 'Life Sciences', 'Life Sciences', 'Social Sciences']",145
"['Arts and Humanities', 'Arts and Humanities', 'Arts and Humanities', 'Social Sciences']",145
"['Computer Science', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",145
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering']",136
"['Arts and Humanities', 'Business', 'Computer Science', 'Social Sciences']",135
"['Business', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",134
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Social Sciences']",132
"['Arts and Humanities', 'Computer Science', 'Data Science', 'Physical Science and Engineering']",132
"['Arts and Humanities', 'Business', 'Data Science', 'Physical Science and Engineering']",132
"['Business', 'Data Science', 'Life Sciences', 'Physical Science and Engineering']",130
"['Arts and Humanities', 'Arts and Humanities', 'Math and Logic', 'Social Sciences']",127
"['Arts and Humanities', 'Data Science', 'Social Sciences', 'Social Sciences']",126
"['Arts and Humanities', 'Language Learning', 'Physical Science and Engineering', 'Social Sciences']",125
"['Business', 'Life Sciences', 'Life Sciences', 'Physical Science and Engineering']",122
"['Arts and Humanities', 'Language Learning', 'Life Sciences', 'Social Sciences']",119
"['Arts and Humanities', 'Computer Science', 'Math and Logic', 'Social Sciences']",119
"['Arts and Humanities', 'Arts and Humanities', 'Language Learning', 'Social Sciences']",118
"['Business', 'Business', 'Business', 'Life Sciences']",118
"['Arts and Humanities', 'Business', 'Business', 'Business']",118
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Social Sciences']",117
"['Arts and Humanities', 'Life Sciences', 'Math and Logic', 'Social Sciences']",117
"['Business', 'Computer Science', 'Physical Science and Engineering', 'Physical Science and Engineering']",116
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Social Sciences']",115
"['Arts and Humanities', 'Business', 'Business', 'Computer Science']",115
"['Arts and Humanities', 'Business', 'Language Learning', 'Physical Science and Engineering']",115
"['Arts and Humanities', 'Business', 'Social Sciences', 'Social Sciences']",115
"['Business', 'Business', 'Computer Science', 'Social Sciences']",114
"['Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering']",114
"['Business', 'Language Learning', 'Life Sciences', 'Physical Science and Engineering']",113
"['Business', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",112
"['Arts and Humanities', 'Math and Logic', 'Social Sciences', 'Social Sciences']",112
"['Arts and Humanities', 'Arts and Humanities', 'Data Science', 'Physical Science and Engineering']",112
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",108
"['Business', 'Business', 'Life Sciences', 'Social Sciences']",107
