cliq,freq
"['Computer Science', 'Computer Science', 'Life Sciences', 'Social Sciences']",638
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Social Sciences']",632
"['Computer Science', 'Computer Science', 'Life Sciences', 'Life Sciences']",613
"['Computer Science', 'Life Sciences', 'Life Sciences', 'Social Sciences']",578
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Life Sciences']",466
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Life Sciences']",466
"['Computer Science', 'Computer Science', 'Life Sciences', 'Math and Logic']",424
"['Computer Science', 'Life Sciences', 'Math and Logic', 'Social Sciences']",419
"['Computer Science', 'Computer Science', 'Computer Science', 'Life Sciences']",397
"['Computer Science', 'Life Sciences', 'Life Sciences', 'Math and Logic']",370
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Math and Logic']",345
"['Computer Science', 'Life Sciences', 'Life Sciences', 'Life Sciences']",324
"['Arts and Humanities', 'Business', 'Computer Science', 'Life Sciences']",311
"['Business', 'Computer Science', 'Life Sciences', 'Social Sciences']",300
"['Arts and Humanities', 'Business', 'Life Sciences', 'Social Sciences']",296
"['Arts and Humanities', 'Business', 'Computer Science', 'Social Sciences']",291
"['Arts and Humanities', 'Life Sciences', 'Life Sciences', 'Social Sciences']",288
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Social Sciences']",253
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Social Sciences']",247
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Life Sciences']",236
"['Business', 'Computer Science', 'Computer Science', 'Life Sciences']",233
"['Computer Science', 'Life Sciences', 'Social Sciences', 'Social Sciences']",231
"['Arts and Humanities', 'Life Sciences', 'Math and Logic', 'Social Sciences']",228
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Social Sciences']",225
"['Business', 'Computer Science', 'Life Sciences', 'Life Sciences']",224
"['Arts and Humanities', 'Computer Science', 'Math and Logic', 'Social Sciences']",208
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Social Sciences']",195
"['Computer Science', 'Computer Science', 'Math and Logic', 'Social Sciences']",193
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",191
"['Life Sciences', 'Life Sciences', 'Math and Logic', 'Social Sciences']",184
"['Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",181
"['Computer Science', 'Computer Science', 'Computer Science', 'Social Sciences']",173
"['Arts and Humanities', 'Life Sciences', 'Social Sciences', 'Social Sciences']",168
"['Arts and Humanities', 'Computer Science', 'Social Sciences', 'Social Sciences']",167
