"","V1","V2","V3"
"result.1","Psychology","Education","Software Development"
"result.2","Psychology","Education","Business Strategy"
"result.3","Psychology","Education","Leadership and Management"
"result.4","Psychology","Education","History"
"result.5","Psychology","Education","Physics and Astronomy"
"result.6","Psychology","Education","Economics"
"result.7","Psychology","Education","Environmental Science and Sustainability"
"result.8","Psychology","Education","Machine Learning"
"result.9","Psychology","Education","Computer Science"
"result.10","Psychology","Education","Medicine & Healthcare"
"result.11","Psychology","Education","Governance and Society"
"result.12","Psychology","Education","Career Development"
"result.13","Psychology","Education","Business & Management"
"result.14","Psychology","Education","Computer Science"
"result.15","Psychology","Education","Bioinformatics"
"result.16","Psychology","Education","Music and Art"
"result.17","Psychology","Education","Math and Logic"
"result.18","Psychology","Education","Bioinformatics"
"result.19","Psychology","Education","Entrepreneurship"
"result.20","Psychology","Education","Software Development"
"result.21","Psychology","Education","Computer Science"
"result.22","Psychology","Education","Psychology"
"result.23","Psychology","Education","Social Sciences"
"result.24","Psychology","Education","Music and Art"
"result.25","Psychology","Education","Probability and Statistics"
"result.26","Psychology","Education","Biology & Life Sciences"
"result.27","Psychology","Education","Economics"
"result.28","Psychology","Software Development","Business Strategy"
"result.29","Psychology","Software Development","Psychology"
"result.30","Psychology","Software Development","Leadership and Management"
"result.31","Psychology","Software Development","History"
"result.32","Psychology","Software Development","Physics and Astronomy"
"result.33","Psychology","Software Development","Economics"
"result.34","Psychology","Software Development","Environmental Science and Sustainability"
"result.35","Psychology","Software Development","Machine Learning"
"result.36","Psychology","Software Development","Economics & Finance"
"result.37","Psychology","Software Development","Computer Science"
"result.38","Psychology","Software Development","Medicine & Healthcare"
"result.39","Psychology","Software Development","Governance and Society"
"result.40","Psychology","Software Development","Career Development"
"result.41","Psychology","Software Development","Business & Management"
"result.42","Psychology","Software Development","Psychology"
"result.43","Psychology","Software Development","Software Development"
"result.44","Psychology","Software Development","Computer Science"
"result.45","Psychology","Software Development","Computer Science"
"result.46","Psychology","Software Development","Bioinformatics"
"result.47","Psychology","Software Development","Music and Art"
"result.48","Psychology","Software Development","Math and Logic"
"result.49","Psychology","Software Development","Bioinformatics"
"result.50","Psychology","Software Development","Entrepreneurship"
"result.51","Psychology","Software Development","Governance and Society"
"result.52","Psychology","Software Development","Machine Learning"
"result.53","Psychology","Software Development","Software Development"
"result.54","Psychology","Software Development","Computer Science"
"result.55","Psychology","Software Development","Psychology"
"result.56","Psychology","Software Development","Leadership and Management"
"result.57","Psychology","Software Development","Social Sciences"
"result.58","Psychology","Software Development","Music and Art"
"result.59","Psychology","Software Development","Probability and Statistics"
"result.60","Psychology","Software Development","Data Analysis"
"result.61","Psychology","Software Development","Biology & Life Sciences"
"result.62","Psychology","Software Development","Biology & Life Sciences"
"result.63","Psychology","Software Development","Economics"
"result.64","Psychology","Business Strategy","Psychology"
"result.65","Psychology","Business Strategy","Machine Learning"
"result.66","Psychology","Business Strategy","Economics & Finance"
"result.67","Psychology","Business Strategy","Medicine & Healthcare"
"result.68","Psychology","Business Strategy","Psychology"
"result.69","Psychology","Business Strategy","Software Development"
"result.70","Psychology","Business Strategy","Computer Science"
"result.71","Psychology","Business Strategy","Governance and Society"
"result.72","Psychology","Business Strategy","Machine Learning"
"result.73","Psychology","Business Strategy","Leadership and Management"
"result.74","Psychology","Business Strategy","Data Analysis"
"result.75","Psychology","Business Strategy","Biology & Life Sciences"
"result.76","Psychology","Psychology","Machine Learning"
"result.77","Psychology","Psychology","Economics & Finance"
"result.78","Psychology","Psychology","Medicine & Healthcare"
"result.79","Psychology","Psychology","Psychology"
"result.80","Psychology","Psychology","Software Development"
"result.81","Psychology","Psychology","Computer Science"
"result.82","Psychology","Psychology","Governance and Society"
"result.83","Psychology","Psychology","Machine Learning"
"result.84","Psychology","Psychology","Leadership and Management"
"result.85","Psychology","Psychology","Data Analysis"
"result.86","Psychology","Psychology","Biology & Life Sciences"
"result.87","Psychology","Leadership and Management","History"
"result.88","Psychology","Leadership and Management","Physics and Astronomy"
"result.89","Psychology","Leadership and Management","Economics"
"result.90","Psychology","Leadership and Management","Environmental Science and Sustainability"
"result.91","Psychology","Leadership and Management","Machine Learning"
"result.92","Psychology","Leadership and Management","Computer Science"
"result.93","Psychology","Leadership and Management","Governance and Society"
"result.94","Psychology","Leadership and Management","Career Development"
"result.95","Psychology","Leadership and Management","Business & Management"
"result.96","Psychology","Leadership and Management","Computer Science"
"result.97","Psychology","Leadership and Management","Bioinformatics"
"result.98","Psychology","Leadership and Management","Music and Art"
"result.99","Psychology","Leadership and Management","Math and Logic"
"result.100","Psychology","Leadership and Management","Bioinformatics"
"result.101","Psychology","Leadership and Management","Entrepreneurship"
"result.102","Psychology","Leadership and Management","Software Development"
"result.103","Psychology","Leadership and Management","Computer Science"
"result.104","Psychology","Leadership and Management","Psychology"
"result.105","Psychology","Leadership and Management","Social Sciences"
"result.106","Psychology","Leadership and Management","Music and Art"
"result.107","Psychology","Leadership and Management","Probability and Statistics"
"result.108","Psychology","Leadership and Management","Biology & Life Sciences"
"result.109","Psychology","Leadership and Management","Economics"
"result.110","Psychology","History","Physics and Astronomy"
"result.111","Psychology","History","Economics"
"result.112","Psychology","History","Environmental Science and Sustainability"
"result.113","Psychology","History","Machine Learning"
"result.114","Psychology","History","Computer Science"
