"","V1","V2","V3"
"result.7630","Math and Logic","Social Sciences","Computer Science"
"result.7631","Math and Logic","Social Sciences","Social Sciences"
"result.7632","Math and Logic","Social Sciences","Business"
"result.7633","Math and Logic","Social Sciences","Data Science"
"result.7634","Math and Logic","Social Sciences","Arts and Humanities"
"result.7635","Math and Logic","Social Sciences","Social Sciences"
"result.7636","Math and Logic","Social Sciences","Life Sciences"
"result.7637","Math and Logic","Social Sciences","Computer Science"
"result.7638","Math and Logic","Social Sciences","Computer Science"
"result.7639","Math and Logic","Social Sciences","Language Learning"
"result.7640","Math and Logic","Social Sciences","Business"
"result.7641","Math and Logic","Social Sciences","Business"
"result.7642","Math and Logic","Social Sciences","Social Sciences"
"result.7643","Math and Logic","Social Sciences","Computer Science"
"result.7644","Math and Logic","Social Sciences","Computer Science"
"result.7645","Math and Logic","Social Sciences","Computer Science"
"result.7646","Math and Logic","Social Sciences","Social Sciences"
"result.7647","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7648","Math and Logic","Social Sciences","Life Sciences"
"result.7649","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7650","Math and Logic","Social Sciences","Computer Science"
"result.7651","Math and Logic","Social Sciences","Language Learning"
"result.7652","Math and Logic","Social Sciences","Computer Science"
"result.7653","Math and Logic","Life Sciences","Business"
"result.7654","Math and Logic","Life Sciences","Social Sciences"
"result.7655","Math and Logic","Life Sciences","Social Sciences"
"result.7656","Math and Logic","Life Sciences","Social Sciences"
"result.7657","Math and Logic","Life Sciences","Physical Science and Engineering"
"result.7658","Math and Logic","Life Sciences","Computer Science"
"result.7659","Math and Logic","Life Sciences","Social Sciences"
"result.7660","Math and Logic","Life Sciences","Business"
"result.7661","Math and Logic","Life Sciences","Data Science"
"result.7662","Math and Logic","Life Sciences","Arts and Humanities"
"result.7663","Math and Logic","Life Sciences","Social Sciences"
"result.7664","Math and Logic","Life Sciences","Life Sciences"
"result.7665","Math and Logic","Life Sciences","Computer Science"
"result.7666","Math and Logic","Life Sciences","Computer Science"
"result.7667","Math and Logic","Life Sciences","Language Learning"
"result.7668","Math and Logic","Life Sciences","Business"
"result.7669","Math and Logic","Life Sciences","Business"
"result.7670","Math and Logic","Life Sciences","Social Sciences"
"result.7671","Math and Logic","Life Sciences","Computer Science"
"result.7672","Math and Logic","Life Sciences","Computer Science"
"result.7673","Math and Logic","Life Sciences","Computer Science"
"result.7674","Math and Logic","Life Sciences","Social Sciences"
"result.7675","Math and Logic","Life Sciences","Physical Science and Engineering"
"result.7676","Math and Logic","Life Sciences","Life Sciences"
"result.7677","Math and Logic","Life Sciences","Physical Science and Engineering"
"result.7678","Math and Logic","Life Sciences","Computer Science"
"result.7679","Math and Logic","Life Sciences","Language Learning"
"result.7680","Math and Logic","Life Sciences","Computer Science"
"result.7681","Math and Logic","Business","Social Sciences"
"result.7682","Math and Logic","Business","Social Sciences"
"result.7683","Math and Logic","Business","Social Sciences"
"result.7684","Math and Logic","Business","Physical Science and Engineering"
"result.7685","Math and Logic","Business","Computer Science"
"result.7686","Math and Logic","Business","Social Sciences"
"result.7687","Math and Logic","Business","Business"
"result.7688","Math and Logic","Business","Data Science"
"result.7689","Math and Logic","Business","Arts and Humanities"
"result.7690","Math and Logic","Business","Social Sciences"
"result.7691","Math and Logic","Business","Life Sciences"
"result.7692","Math and Logic","Business","Computer Science"
"result.7693","Math and Logic","Business","Computer Science"
"result.7694","Math and Logic","Business","Language Learning"
"result.7695","Math and Logic","Business","Business"
"result.7696","Math and Logic","Business","Business"
"result.7697","Math and Logic","Business","Social Sciences"
"result.7698","Math and Logic","Business","Computer Science"
"result.7699","Math and Logic","Business","Computer Science"
"result.7700","Math and Logic","Business","Computer Science"
"result.7701","Math and Logic","Business","Social Sciences"
"result.7702","Math and Logic","Business","Physical Science and Engineering"
"result.7703","Math and Logic","Business","Life Sciences"
"result.7704","Math and Logic","Business","Physical Science and Engineering"
"result.7705","Math and Logic","Business","Computer Science"
"result.7706","Math and Logic","Business","Language Learning"
"result.7707","Math and Logic","Business","Computer Science"
"result.7708","Math and Logic","Social Sciences","Social Sciences"
"result.7709","Math and Logic","Social Sciences","Social Sciences"
"result.7710","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7711","Math and Logic","Social Sciences","Computer Science"
"result.7712","Math and Logic","Social Sciences","Social Sciences"
"result.7713","Math and Logic","Social Sciences","Business"
"result.7714","Math and Logic","Social Sciences","Data Science"
"result.7715","Math and Logic","Social Sciences","Arts and Humanities"
"result.7716","Math and Logic","Social Sciences","Social Sciences"
"result.7717","Math and Logic","Social Sciences","Life Sciences"
"result.7718","Math and Logic","Social Sciences","Computer Science"
"result.7719","Math and Logic","Social Sciences","Computer Science"
"result.7720","Math and Logic","Social Sciences","Language Learning"
"result.7721","Math and Logic","Social Sciences","Business"
"result.7722","Math and Logic","Social Sciences","Business"
"result.7723","Math and Logic","Social Sciences","Social Sciences"
"result.7724","Math and Logic","Social Sciences","Computer Science"
"result.7725","Math and Logic","Social Sciences","Computer Science"
"result.7726","Math and Logic","Social Sciences","Computer Science"
"result.7727","Math and Logic","Social Sciences","Social Sciences"
"result.7728","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7729","Math and Logic","Social Sciences","Life Sciences"
"result.7730","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7731","Math and Logic","Social Sciences","Computer Science"
"result.7732","Math and Logic","Social Sciences","Language Learning"
"result.7733","Math and Logic","Social Sciences","Computer Science"
"result.7734","Math and Logic","Social Sciences","Social Sciences"
"result.7735","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7736","Math and Logic","Social Sciences","Computer Science"
"result.7737","Math and Logic","Social Sciences","Social Sciences"
"result.7738","Math and Logic","Social Sciences","Business"
"result.7739","Math and Logic","Social Sciences","Data Science"
"result.7740","Math and Logic","Social Sciences","Arts and Humanities"
"result.7741","Math and Logic","Social Sciences","Social Sciences"
"result.7742","Math and Logic","Social Sciences","Life Sciences"
"result.7743","Math and Logic","Social Sciences","Computer Science"
"result.7744","Math and Logic","Social Sciences","Computer Science"
"result.7745","Math and Logic","Social Sciences","Language Learning"
"result.7746","Math and Logic","Social Sciences","Business"
"result.7747","Math and Logic","Social Sciences","Business"
"result.7748","Math and Logic","Social Sciences","Social Sciences"
"result.7749","Math and Logic","Social Sciences","Computer Science"
"result.7750","Math and Logic","Social Sciences","Computer Science"
"result.7751","Math and Logic","Social Sciences","Computer Science"
"result.7752","Math and Logic","Social Sciences","Social Sciences"
"result.7753","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7754","Math and Logic","Social Sciences","Life Sciences"
"result.7755","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7756","Math and Logic","Social Sciences","Computer Science"
"result.7757","Math and Logic","Social Sciences","Language Learning"
"result.7758","Math and Logic","Social Sciences","Computer Science"
"result.7759","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7760","Math and Logic","Social Sciences","Computer Science"
"result.7761","Math and Logic","Social Sciences","Social Sciences"
"result.7762","Math and Logic","Social Sciences","Business"
"result.7763","Math and Logic","Social Sciences","Data Science"
"result.7764","Math and Logic","Social Sciences","Arts and Humanities"
"result.7765","Math and Logic","Social Sciences","Social Sciences"
"result.7766","Math and Logic","Social Sciences","Life Sciences"
"result.7767","Math and Logic","Social Sciences","Computer Science"
"result.7768","Math and Logic","Social Sciences","Computer Science"
"result.7769","Math and Logic","Social Sciences","Language Learning"
"result.7770","Math and Logic","Social Sciences","Business"
"result.7771","Math and Logic","Social Sciences","Business"
"result.7772","Math and Logic","Social Sciences","Social Sciences"
"result.7773","Math and Logic","Social Sciences","Computer Science"
"result.7774","Math and Logic","Social Sciences","Computer Science"
"result.7775","Math and Logic","Social Sciences","Computer Science"
"result.7776","Math and Logic","Social Sciences","Social Sciences"
"result.7777","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7778","Math and Logic","Social Sciences","Life Sciences"
"result.7779","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7780","Math and Logic","Social Sciences","Computer Science"
"result.7781","Math and Logic","Social Sciences","Language Learning"
"result.7782","Math and Logic","Social Sciences","Computer Science"
"result.7783","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7784","Math and Logic","Physical Science and Engineering","Social Sciences"
"result.7785","Math and Logic","Physical Science and Engineering","Business"
"result.7786","Math and Logic","Physical Science and Engineering","Data Science"
"result.7787","Math and Logic","Physical Science and Engineering","Arts and Humanities"
"result.7788","Math and Logic","Physical Science and Engineering","Social Sciences"
"result.7789","Math and Logic","Physical Science and Engineering","Life Sciences"
"result.7790","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7791","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7792","Math and Logic","Physical Science and Engineering","Language Learning"
"result.7793","Math and Logic","Physical Science and Engineering","Business"
