"","V1","V2","V3"
"result.1","Finance","Chemistry","Physics and Astronomy"
"result.2","Finance","Chemistry","Psychology"
"result.3","Finance","Chemistry","Entrepreneurship"
"result.4","Finance","Chemistry","Data Analysis"
"result.5","Finance","Chemistry","Psychology"
"result.6","Finance","Chemistry","Education"
"result.7","Finance","Chemistry","Leadership and Management"
"result.8","Finance","Physics and Astronomy","Psychology"
"result.9","Finance","Physics and Astronomy","Entrepreneurship"
"result.10","Finance","Physics and Astronomy","Data Analysis"
"result.11","Finance","Physics and Astronomy","Psychology"
"result.12","Finance","Physics and Astronomy","Education"
"result.13","Finance","Physics and Astronomy","Leadership and Management"
"result.14","Finance","Psychology","Entrepreneurship"
"result.15","Finance","Psychology","Data Analysis"
"result.16","Finance","Psychology","Psychology"
"result.17","Finance","Psychology","Education"
"result.18","Finance","Psychology","Leadership and Management"
"result.19","Finance","Entrepreneurship","Data Analysis"
"result.20","Finance","Entrepreneurship","Psychology"
"result.21","Finance","Entrepreneurship","Education"
"result.22","Finance","Entrepreneurship","Leadership and Management"
"result.23","Finance","Data Analysis","Psychology"
"result.24","Finance","Data Analysis","Education"
"result.25","Finance","Data Analysis","Leadership and Management"
"result.26","Finance","Psychology","Education"
"result.27","Finance","Psychology","Leadership and Management"
"result.28","Finance","Education","Leadership and Management"
"result.29","Machine Learning","Biology","Medicine & Healthcare"
"result.30","Machine Learning","Biology","Data Analysis"
"result.31","Machine Learning","Biology","Math and Logic"
"result.32","Machine Learning","Biology","Personal Development"
"result.33","Machine Learning","Biology","Computer Science"
"result.34","Machine Learning","Biology","Biology & Life Sciences"
"result.35","Machine Learning","Medicine & Healthcare","Data Analysis"
"result.36","Machine Learning","Medicine & Healthcare","Math and Logic"
"result.37","Machine Learning","Medicine & Healthcare","Personal Development"
"result.38","Machine Learning","Medicine & Healthcare","Computer Science"
"result.39","Machine Learning","Medicine & Healthcare","Biology & Life Sciences"
"result.40","Machine Learning","Data Analysis","Math and Logic"
"result.41","Machine Learning","Data Analysis","Personal Development"
"result.42","Machine Learning","Data Analysis","Computer Science"
"result.43","Machine Learning","Data Analysis","Biology & Life Sciences"
"result.44","Machine Learning","Math and Logic","Personal Development"
"result.45","Machine Learning","Math and Logic","Computer Science"
"result.46","Machine Learning","Math and Logic","Biology & Life Sciences"
"result.47","Machine Learning","Personal Development","Computer Science"
"result.48","Machine Learning","Personal Development","Biology & Life Sciences"
"result.49","Machine Learning","Computer Science","Biology & Life Sciences"
"result.50","Machine Learning","Math and Logic","Biology & Life Sciences"
"result.51","Machine Learning","Math and Logic","Medicine & Healthcare"
"result.52","Machine Learning","Biology & Life Sciences","Medicine & Healthcare"
"result.53","Medicine & Healthcare","Math and Logic","Software Development"
"result.54","Medicine & Healthcare","Math and Logic","Biology"
"result.55","Medicine & Healthcare","Math and Logic","Nanotechnology"
"result.56","Medicine & Healthcare","Math and Logic","Psychology"
"result.57","Medicine & Healthcare","Software Development","Biology"
"result.58","Medicine & Healthcare","Software Development","Nanotechnology"
"result.59","Medicine & Healthcare","Software Development","Psychology"
"result.60","Medicine & Healthcare","Biology","Nanotechnology"
"result.61","Medicine & Healthcare","Biology","Psychology"
"result.62","Medicine & Healthcare","Nanotechnology","Psychology"
"result.63","Electrical Engineering","Entrepreneurship","Data Analysis"
"result.64","Electrical Engineering","Entrepreneurship","Electrical Engineering"
"result.65","Electrical Engineering","Data Analysis","Electrical Engineering"
"result.66","Economics","Philosophy","Philosophy & Ethics"
"result.67","Economics","Philosophy","Math and Logic"
"result.68","Economics","Philosophy","Law"
"result.69","Economics","Philosophy & Ethics","Math and Logic"
"result.70","Economics","Philosophy & Ethics","Law"
"result.71","Economics","Philosophy & Ethics","Medicine & Healthcare"
"result.72","Economics","Math and Logic","Law"
"result.73","Economics","Law","Medicine & Healthcare"
"result.74","Economics","Leadership and Management","Bioinformatics"
"result.75","Economics","Leadership and Management","Leadership and Management"
"result.76","Economics","Leadership and Management","Leadership and Management"
"result.77","Economics","Leadership and Management","Entrepreneurship"
"result.78","Economics","Leadership and Management","Energy & Earth Sciences"
"result.79","Economics","Leadership and Management","Career Development"
"result.80","Economics","Leadership and Management","Bioinformatics"
"result.81","Economics","Leadership and Management","Learning English"
"result.82","Economics","Leadership and Management","Physics"
"result.83","Economics","Leadership and Management","Business Strategy"
"result.84","Economics","Leadership and Management","Data Analysis"
"result.85","Economics","Leadership and Management","Philosophy"
"result.86","Economics","Leadership and Management","Music and Art"
"result.87","Economics","Leadership and Management","Physics and Astronomy"
"result.88","Economics","Leadership and Management","History"
"result.89","Economics","Leadership and Management","Business"
"result.90","Economics","Leadership and Management","Physics and Astronomy"
"result.91","Economics","Leadership and Management","Algorithms"
"result.92","Economics","Leadership and Management","Business Strategy"
"result.93","Economics","Leadership and Management","Electrical Engineering"
"result.94","Economics","Leadership and Management","Medicine & Healthcare"
"result.95","Economics","Bioinformatics","Leadership and Management"
"result.96","Economics","Bioinformatics","Leadership and Management"
"result.97","Economics","Bioinformatics","Entrepreneurship"
"result.98","Economics","Bioinformatics","Energy & Earth Sciences"
"result.99","Economics","Bioinformatics","Career Development"
"result.100","Economics","Bioinformatics","Bioinformatics"
"result.101","Economics","Bioinformatics","Learning English"
"result.102","Economics","Bioinformatics","Physics"
"result.103","Economics","Bioinformatics","Business Strategy"
"result.104","Economics","Bioinformatics","Data Analysis"
"result.105","Economics","Bioinformatics","Philosophy"
"result.106","Economics","Bioinformatics","Music and Art"
"result.107","Economics","Bioinformatics","Physics and Astronomy"
"result.108","Economics","Bioinformatics","History"
"result.109","Economics","Bioinformatics","Business"
"result.110","Economics","Bioinformatics","Physics and Astronomy"
"result.111","Economics","Bioinformatics","Algorithms"
"result.112","Economics","Bioinformatics","Business Strategy"
"result.113","Economics","Bioinformatics","Electrical Engineering"
"result.114","Economics","Bioinformatics","Medicine & Healthcare"
