"","V1","V2","V3"
"result.1","Education","Machine Learning","Music and Art"
"result.2","Education","Machine Learning","Health & Safety"
"result.3","Education","Machine Learning","Literature"
"result.4","Education","Machine Learning","Data Analysis & Statistics"
"result.5","Education","Machine Learning","Psychology"
"result.6","Education","Machine Learning","Business & Management"
"result.7","Education","Machine Learning","Data Analysis & Statistics"
"result.8","Education","Machine Learning","Business & Management"
"result.9","Education","Machine Learning","Math and Logic"
"result.10","Education","Machine Learning","Engineering"
"result.11","Education","Machine Learning","Computer Science"
"result.12","Education","Music and Art","Health & Safety"
"result.13","Education","Music and Art","Literature"
"result.14","Education","Music and Art","Data Analysis & Statistics"
"result.15","Education","Music and Art","Psychology"
"result.16","Education","Music and Art","Business & Management"
"result.17","Education","Music and Art","Data Analysis & Statistics"
"result.18","Education","Music and Art","Business & Management"
"result.19","Education","Music and Art","Math and Logic"
"result.20","Education","Music and Art","Engineering"
"result.21","Education","Music and Art","Computer Science"
"result.22","Education","Health & Safety","Literature"
"result.23","Education","Health & Safety","Data Analysis & Statistics"
"result.24","Education","Health & Safety","Psychology"
"result.25","Education","Health & Safety","Business & Management"
"result.26","Education","Health & Safety","Data Analysis & Statistics"
"result.27","Education","Health & Safety","Business & Management"
"result.28","Education","Health & Safety","Math and Logic"
"result.29","Education","Health & Safety","Engineering"
"result.30","Education","Health & Safety","Computer Science"
"result.31","Education","Literature","Data Analysis & Statistics"
"result.32","Education","Literature","Psychology"
"result.33","Education","Literature","Business & Management"
"result.34","Education","Literature","Data Analysis & Statistics"
"result.35","Education","Literature","Business & Management"
"result.36","Education","Literature","Math and Logic"
"result.37","Education","Literature","Engineering"
"result.38","Education","Literature","Computer Science"
"result.39","Education","Data Analysis & Statistics","Psychology"
"result.40","Education","Data Analysis & Statistics","Business & Management"
"result.41","Education","Data Analysis & Statistics","Data Analysis & Statistics"
"result.42","Education","Data Analysis & Statistics","Business & Management"
"result.43","Education","Data Analysis & Statistics","Math and Logic"
"result.44","Education","Data Analysis & Statistics","Engineering"
"result.45","Education","Data Analysis & Statistics","Computer Science"
"result.46","Education","Psychology","Business & Management"
"result.47","Education","Psychology","Data Analysis & Statistics"
"result.48","Education","Psychology","Business & Management"
"result.49","Education","Psychology","Math and Logic"
"result.50","Education","Psychology","Engineering"
"result.51","Education","Psychology","Computer Science"
"result.52","Education","Business & Management","Data Analysis & Statistics"
"result.53","Education","Business & Management","Business & Management"
"result.54","Education","Business & Management","Math and Logic"
"result.55","Education","Business & Management","Engineering"
"result.56","Education","Business & Management","Computer Science"
"result.57","Education","Data Analysis & Statistics","Business & Management"
"result.58","Education","Data Analysis & Statistics","Math and Logic"
"result.59","Education","Data Analysis & Statistics","Engineering"
"result.60","Education","Data Analysis & Statistics","Computer Science"
"result.61","Education","Business & Management","Math and Logic"
"result.62","Education","Business & Management","Engineering"
"result.63","Education","Business & Management","Computer Science"
"result.64","Education","Math and Logic","Engineering"
"result.65","Education","Math and Logic","Computer Science"
"result.66","Education","Engineering","Computer Science"
"result.67","Electrical Engineering","Math and Logic","Computer Science"
"result.68","Electrical Engineering","Math and Logic","Leadership and Management"
"result.69","Electrical Engineering","Math and Logic","Math and Logic"
"result.70","Electrical Engineering","Math and Logic","Data Analysis"
"result.71","Electrical Engineering","Math and Logic","Medicine & Healthcare"
"result.72","Electrical Engineering","Math and Logic","Social Sciences"
"result.73","Electrical Engineering","Math and Logic","Biology & Life Sciences"
"result.74","Electrical Engineering","Math and Logic","Data Analysis & Statistics"
"result.75","Electrical Engineering","Math and Logic","Data Analysis & Statistics"
"result.76","Electrical Engineering","Math and Logic","Software Development"
"result.77","Electrical Engineering","Math and Logic","Economics & Finance"
"result.78","Electrical Engineering","Math and Logic","Computer Science"
"result.79","Electrical Engineering","Math and Logic","Machine Learning"
"result.80","Electrical Engineering","Math and Logic","Law"
"result.81","Electrical Engineering","Math and Logic","Business & Management"
"result.82","Electrical Engineering","Math and Logic",NA
"result.83","Electrical Engineering","Math and Logic","Business & Management"
"result.84","Electrical Engineering","Math and Logic","Computer Science"
"result.85","Electrical Engineering","Math and Logic","Biology & Life Sciences"
"result.86","Electrical Engineering","Math and Logic","Business & Management"
"result.87","Electrical Engineering","Math and Logic","Data Analysis & Statistics"
"result.88","Electrical Engineering","Math and Logic","Biology"
"result.89","Electrical Engineering","Math and Logic","Communication"
"result.90","Electrical Engineering","Math and Logic","Humanities"
"result.91","Electrical Engineering","Math and Logic","Literature"
"result.92","Electrical Engineering","Math and Logic","Economics & Finance"
"result.93","Electrical Engineering","Math and Logic","Data Analysis & Statistics"
"result.94","Electrical Engineering","Math and Logic","Architecture"
"result.95","Electrical Engineering","Math and Logic","Computer Science"
"result.96","Electrical Engineering","Math and Logic","Education & Teacher Training"
"result.97","Electrical Engineering","Computer Science","Leadership and Management"
"result.98","Electrical Engineering","Computer Science","Math and Logic"
"result.99","Electrical Engineering","Computer Science","Data Analysis"
"result.100","Electrical Engineering","Computer Science","Medicine & Healthcare"
"result.101","Electrical Engineering","Computer Science","Social Sciences"
"result.102","Electrical Engineering","Computer Science","Biology & Life Sciences"
"result.103","Electrical Engineering","Computer Science","Data Analysis & Statistics"
"result.104","Electrical Engineering","Computer Science","Data Analysis & Statistics"
"result.105","Electrical Engineering","Computer Science","Software Development"
"result.106","Electrical Engineering","Computer Science","Economics & Finance"
"result.107","Electrical Engineering","Computer Science","Computer Science"
"result.108","Electrical Engineering","Computer Science","Machine Learning"
"result.109","Electrical Engineering","Computer Science","Law"
"result.110","Electrical Engineering","Computer Science","Business & Management"
"result.111","Electrical Engineering","Computer Science",NA
"result.112","Electrical Engineering","Computer Science","Business & Management"
"result.113","Electrical Engineering","Computer Science","Computer Science"
"result.114","Electrical Engineering","Computer Science","Biology & Life Sciences"
"result.115","Electrical Engineering","Computer Science","Business & Management"
"result.116","Electrical Engineering","Computer Science","Data Analysis & Statistics"
"result.117","Electrical Engineering","Computer Science","Biology"
"result.118","Electrical Engineering","Computer Science","Communication"
"result.119","Electrical Engineering","Computer Science","Humanities"
"result.120","Electrical Engineering","Computer Science","Literature"
"result.121","Electrical Engineering","Computer Science","Economics & Finance"
"result.122","Electrical Engineering","Computer Science","Data Analysis & Statistics"
"result.123","Electrical Engineering","Computer Science","Architecture"
"result.124","Electrical Engineering","Computer Science","Computer Science"
"result.125","Electrical Engineering","Computer Science","Education & Teacher Training"
"result.126","Electrical Engineering","Leadership and Management","Math and Logic"
"result.127","Electrical Engineering","Leadership and Management","Data Analysis"
"result.128","Electrical Engineering","Leadership and Management","Medicine & Healthcare"
"result.129","Electrical Engineering","Leadership and Management","Social Sciences"
"result.130","Electrical Engineering","Leadership and Management","Biology & Life Sciences"
"result.131","Electrical Engineering","Leadership and Management","Data Analysis & Statistics"
"result.132","Electrical Engineering","Leadership and Management","Data Analysis & Statistics"
"result.133","Electrical Engineering","Leadership and Management","Software Development"
"result.134","Electrical Engineering","Leadership and Management","Economics & Finance"
"result.135","Electrical Engineering","Leadership and Management","Computer Science"
"result.136","Electrical Engineering","Leadership and Management","Machine Learning"
"result.137","Electrical Engineering","Leadership and Management","Law"
"result.138","Electrical Engineering","Leadership and Management","Business & Management"
"result.139","Electrical Engineering","Leadership and Management",NA
"result.140","Electrical Engineering","Leadership and Management","Business & Management"
"result.141","Electrical Engineering","Leadership and Management","Computer Science"
"result.142","Electrical Engineering","Leadership and Management","Biology & Life Sciences"
"result.143","Electrical Engineering","Leadership and Management","Business & Management"
"result.144","Electrical Engineering","Leadership and Management","Data Analysis & Statistics"
"result.145","Electrical Engineering","Leadership and Management","Biology"
"result.146","Electrical Engineering","Leadership and Management","Communication"
"result.147","Electrical Engineering","Leadership and Management","Humanities"
"result.148","Electrical Engineering","Leadership and Management","Literature"
"result.149","Electrical Engineering","Leadership and Management","Economics & Finance"
"result.150","Electrical Engineering","Leadership and Management","Data Analysis & Statistics"
"result.151","Electrical Engineering","Leadership and Management","Architecture"
