"","V1","V2","V3","V4"
"result.1","Social Sciences","Data Science","Arts and Humanities","Life Sciences"
"result.2","Social Sciences","Data Science","Arts and Humanities","Arts and Humanities"
"result.3","Social Sciences","Data Science","Arts and Humanities","Data Science"
"result.4","Social Sciences","Data Science","Arts and Humanities","Social Sciences"
"result.5","Social Sciences","Data Science","Arts and Humanities","Business"
"result.6","Social Sciences","Data Science","Arts and Humanities","Data Science"
"result.7","Social Sciences","Data Science","Arts and Humanities","Business"
"result.8","Social Sciences","Data Science","Arts and Humanities","Math and Logic"
"result.9","Social Sciences","Data Science","Arts and Humanities","Physical Science and Engineering"
"result.10","Social Sciences","Data Science","Arts and Humanities","Computer Science"
"result.11","Social Sciences","Data Science","Life Sciences","Arts and Humanities"
"result.12","Social Sciences","Data Science","Life Sciences","Data Science"
"result.13","Social Sciences","Data Science","Life Sciences","Social Sciences"
"result.14","Social Sciences","Data Science","Life Sciences","Business"
"result.15","Social Sciences","Data Science","Life Sciences","Data Science"
"result.16","Social Sciences","Data Science","Life Sciences","Business"
"result.17","Social Sciences","Data Science","Life Sciences","Math and Logic"
"result.18","Social Sciences","Data Science","Life Sciences","Physical Science and Engineering"
"result.19","Social Sciences","Data Science","Life Sciences","Computer Science"
"result.20","Social Sciences","Data Science","Arts and Humanities","Data Science"
"result.21","Social Sciences","Data Science","Arts and Humanities","Social Sciences"
"result.22","Social Sciences","Data Science","Arts and Humanities","Business"
"result.23","Social Sciences","Data Science","Arts and Humanities","Data Science"
"result.24","Social Sciences","Data Science","Arts and Humanities","Business"
"result.25","Social Sciences","Data Science","Arts and Humanities","Math and Logic"
"result.26","Social Sciences","Data Science","Arts and Humanities","Physical Science and Engineering"
"result.27","Social Sciences","Data Science","Arts and Humanities","Computer Science"
"result.28","Social Sciences","Data Science","Data Science","Social Sciences"
"result.29","Social Sciences","Data Science","Data Science","Business"
"result.30","Social Sciences","Data Science","Data Science","Data Science"
"result.31","Social Sciences","Data Science","Data Science","Business"
"result.32","Social Sciences","Data Science","Data Science","Math and Logic"
"result.33","Social Sciences","Data Science","Data Science","Physical Science and Engineering"
"result.34","Social Sciences","Data Science","Data Science","Computer Science"
"result.35","Social Sciences","Data Science","Social Sciences","Business"
"result.36","Social Sciences","Data Science","Social Sciences","Data Science"
"result.37","Social Sciences","Data Science","Social Sciences","Business"
"result.38","Social Sciences","Data Science","Social Sciences","Math and Logic"
"result.39","Social Sciences","Data Science","Social Sciences","Physical Science and Engineering"
"result.40","Social Sciences","Data Science","Social Sciences","Computer Science"
"result.41","Social Sciences","Data Science","Business","Data Science"
"result.42","Social Sciences","Data Science","Business","Business"
"result.43","Social Sciences","Data Science","Business","Math and Logic"
"result.44","Social Sciences","Data Science","Business","Physical Science and Engineering"
"result.45","Social Sciences","Data Science","Business","Computer Science"
"result.46","Social Sciences","Data Science","Data Science","Business"
"result.47","Social Sciences","Data Science","Data Science","Math and Logic"
"result.48","Social Sciences","Data Science","Data Science","Physical Science and Engineering"
"result.49","Social Sciences","Data Science","Data Science","Computer Science"
"result.50","Social Sciences","Data Science","Business","Math and Logic"
"result.51","Social Sciences","Data Science","Business","Physical Science and Engineering"
"result.52","Social Sciences","Data Science","Business","Computer Science"
"result.53","Social Sciences","Data Science","Math and Logic","Physical Science and Engineering"
"result.54","Social Sciences","Data Science","Math and Logic","Computer Science"
"result.55","Social Sciences","Data Science","Physical Science and Engineering","Computer Science"
"result.56","Social Sciences","Arts and Humanities","Life Sciences","Arts and Humanities"
"result.57","Social Sciences","Arts and Humanities","Life Sciences","Data Science"
