"","V1","V2","V3","V4"
"result.1","Finance","Chemistry","Physics and Astronomy","Psychology"
"result.2","Finance","Chemistry","Physics and Astronomy","Entrepreneurship"
"result.3","Finance","Chemistry","Physics and Astronomy","Data Analysis"
"result.4","Finance","Chemistry","Physics and Astronomy","Psychology"
"result.5","Finance","Chemistry","Physics and Astronomy","Education"
"result.6","Finance","Chemistry","Physics and Astronomy","Leadership and Management"
"result.7","Finance","Chemistry","Psychology","Entrepreneurship"
"result.8","Finance","Chemistry","Psychology","Data Analysis"
"result.9","Finance","Chemistry","Psychology","Psychology"
"result.10","Finance","Chemistry","Psychology","Education"
"result.11","Finance","Chemistry","Psychology","Leadership and Management"
"result.12","Finance","Chemistry","Entrepreneurship","Data Analysis"
"result.13","Finance","Chemistry","Entrepreneurship","Psychology"
"result.14","Finance","Chemistry","Entrepreneurship","Education"
"result.15","Finance","Chemistry","Entrepreneurship","Leadership and Management"
"result.16","Finance","Chemistry","Data Analysis","Psychology"
"result.17","Finance","Chemistry","Data Analysis","Education"
"result.18","Finance","Chemistry","Data Analysis","Leadership and Management"
"result.19","Finance","Chemistry","Psychology","Education"
"result.20","Finance","Chemistry","Psychology","Leadership and Management"
"result.21","Finance","Chemistry","Education","Leadership and Management"
"result.22","Finance","Physics and Astronomy","Psychology","Entrepreneurship"
"result.23","Finance","Physics and Astronomy","Psychology","Data Analysis"
"result.24","Finance","Physics and Astronomy","Psychology","Psychology"
"result.25","Finance","Physics and Astronomy","Psychology","Education"
"result.26","Finance","Physics and Astronomy","Psychology","Leadership and Management"
"result.27","Finance","Physics and Astronomy","Entrepreneurship","Data Analysis"
"result.28","Finance","Physics and Astronomy","Entrepreneurship","Psychology"
"result.29","Finance","Physics and Astronomy","Entrepreneurship","Education"
"result.30","Finance","Physics and Astronomy","Entrepreneurship","Leadership and Management"
"result.31","Finance","Physics and Astronomy","Data Analysis","Psychology"
"result.32","Finance","Physics and Astronomy","Data Analysis","Education"
"result.33","Finance","Physics and Astronomy","Data Analysis","Leadership and Management"
"result.34","Finance","Physics and Astronomy","Psychology","Education"
"result.35","Finance","Physics and Astronomy","Psychology","Leadership and Management"
"result.36","Finance","Physics and Astronomy","Education","Leadership and Management"
