"","node1","node2","cluster"
"1","https://www.class-central.com/mooc/452/coursera-programming-languages-part-a","https://www.class-central.com/mooc/1457/coursera-sistemas-digitales-de-las-puertas-logicas-al-procesador","1"
"2","https://www.class-central.com/mooc/452/coursera-programming-languages-part-a","https://www.class-central.com/mooc/2147/edx-introduction-to-functional-programming","1"
"3","https://www.class-central.com/mooc/1457/coursera-sistemas-digitales-de-las-puertas-logicas-al-procesador","https://www.class-central.com/mooc/2147/edx-introduction-to-functional-programming","1"
"4","https://www.class-central.com/mooc/452/coursera-programming-languages-part-a","https://www.class-central.com/mooc/1713/coursera-r-programming","2"
"5","https://www.class-central.com/mooc/1457/coursera-sistemas-digitales-de-las-puertas-logicas-al-procesador","https://www.class-central.com/mooc/1713/coursera-r-programming","2"
"6","https://www.class-central.com/mooc/1713/coursera-r-programming","https://www.class-central.com/mooc/2147/edx-introduction-to-functional-programming","2"
"7","https://www.class-central.com/mooc/745/coursera-biology-meets-programming-bioinformatics-for-beginners","https://www.class-central.com/mooc/637/edx-introduction-to-biology-the-secret-of-life","3"
"8","https://www.class-central.com/mooc/745/coursera-biology-meets-programming-bioinformatics-for-beginners","https://www.class-central.com/mooc/945/edx-genomic-medicine-gets-personal","3"
"9","https://www.class-central.com/mooc/637/edx-introduction-to-biology-the-secret-of-life","https://www.class-central.com/mooc/945/edx-genomic-medicine-gets-personal","3"
"10","https://www.class-central.com/mooc/522/coursera-introduction-to-guitar","https://www.class-central.com/mooc/391/coursera-nutrition-for-health-promotion-and-disease-prevention","4"
"11","https://www.class-central.com/mooc/522/coursera-introduction-to-guitar","https://www.class-central.com/mooc/1816/coursera-web-application-architectures","4"
"12","https://www.class-central.com/mooc/391/coursera-nutrition-for-health-promotion-and-disease-prevention","https://www.class-central.com/mooc/1816/coursera-web-application-architectures","4"
"13","https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1","https://www.class-central.com/mooc/3076/coursera-programming-mobile-applications-for-android-handheld-systems-part-2","5"
"14","https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1","https://www.class-central.com/mooc/429/coursera-creative-serious-and-playful-science-of-android-apps","5"
"15","https://www.class-central.com/mooc/3076/coursera-programming-mobile-applications-for-android-handheld-systems-part-2","https://www.class-central.com/mooc/429/coursera-creative-serious-and-playful-science-of-android-apps","5"
"16","https://www.class-central.com/mooc/339/coursera-algorithms-part-i","https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox","6"
"17","https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox","https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","6"
"18","https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox","https://www.class-central.com/mooc/426/coursera-algorithms-design-and-analysis-part-2","6"
"19","https://www.class-central.com/mooc/1137/coursera-introduction-to-marketing","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","7"
"20","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success","7"
"21","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management","7"
"22","https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology","https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases","8"
"23","https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology","https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry","8"
"24","https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology","https://www.class-central.com/mooc/655/coursera-social-epidemiology","8"
"25","https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology","https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets","8"
"26","https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology","https://www.class-central.com/mooc/419/coursera-equine-nutrition","8"
"27","https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases","https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry","8"
"28","https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases","https://www.class-central.com/mooc/655/coursera-social-epidemiology","8"
"29","https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases","https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets","8"
"30","https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases","https://www.class-central.com/mooc/419/coursera-equine-nutrition","8"
"31","https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry","https://www.class-central.com/mooc/655/coursera-social-epidemiology","8"
"32","https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry","https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets","8"
"33","https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry","https://www.class-central.com/mooc/419/coursera-equine-nutrition","8"
"34","https://www.class-central.com/mooc/655/coursera-social-epidemiology","https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets","8"
"35","https://www.class-central.com/mooc/655/coursera-social-epidemiology","https://www.class-central.com/mooc/419/coursera-equine-nutrition","8"
"36","https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets","https://www.class-central.com/mooc/419/coursera-equine-nutrition","8"
"37","https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala","https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications","9"
"38","https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala","https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming","9"
"39","https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications","https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming","9"
"40","https://www.class-central.com/mooc/1395/coursera-an-introduction-to-consumer-neuroscience-neuromarketing","https://www.class-central.com/mooc/674/coursera-international-organizations-management","10"
"41","https://www.class-central.com/mooc/1137/coursera-introduction-to-marketing","https://www.class-central.com/mooc/674/coursera-international-organizations-management","10"
"42","https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society","https://www.class-central.com/mooc/674/coursera-international-organizations-management","10"
"43","https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles","https://www.class-central.com/mooc/2920/coursera-managing-the-company-of-the-future","11"
"44","https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles","https://www.class-central.com/mooc/2137/coursera-copyright-for-educators-librarians","11"
"45","https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles","https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution","11"
"46","https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles","https://www.class-central.com/mooc/913/coursera-constitutional-law","11"
"47","https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles","https://www.class-central.com/mooc/674/coursera-international-organizations-management","11"
"48","https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles","https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges","11"
"49","https://www.class-central.com/mooc/2920/coursera-managing-the-company-of-the-future","https://www.class-central.com/mooc/2137/coursera-copyright-for-educators-librarians","11"
"50","https://www.class-central.com/mooc/2920/coursera-managing-the-company-of-the-future","https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution","11"
"51","https://www.class-central.com/mooc/2920/coursera-managing-the-company-of-the-future","https://www.class-central.com/mooc/913/coursera-constitutional-law","11"
"52","https://www.class-central.com/mooc/2920/coursera-managing-the-company-of-the-future","https://www.class-central.com/mooc/674/coursera-international-organizations-management","11"
"53","https://www.class-central.com/mooc/2920/coursera-managing-the-company-of-the-future","https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges","11"
"54","https://www.class-central.com/mooc/2137/coursera-copyright-for-educators-librarians","https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution","11"
"55","https://www.class-central.com/mooc/2137/coursera-copyright-for-educators-librarians","https://www.class-central.com/mooc/913/coursera-constitutional-law","11"
"56","https://www.class-central.com/mooc/2137/coursera-copyright-for-educators-librarians","https://www.class-central.com/mooc/674/coursera-international-organizations-management","11"
"57","https://www.class-central.com/mooc/2137/coursera-copyright-for-educators-librarians","https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges","11"
"58","https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution","https://www.class-central.com/mooc/913/coursera-constitutional-law","11"
"59","https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution","https://www.class-central.com/mooc/674/coursera-international-organizations-management","11"
"60","https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution","https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges","11"
"61","https://www.class-central.com/mooc/913/coursera-constitutional-law","https://www.class-central.com/mooc/674/coursera-international-organizations-management","11"
"62","https://www.class-central.com/mooc/913/coursera-constitutional-law","https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges","11"
"63","https://www.class-central.com/mooc/674/coursera-international-organizations-management","https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges","11"
"64","https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners","https://www.class-central.com/mooc/1403/coursera-the-addicted-brain","12"
"65","https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","12"
"66","https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners","https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking","12"
"67","https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners","https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain","12"
"68","https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners","https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health","12"
"69","https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners","https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning","12"
"70","https://www.class-central.com/mooc/1403/coursera-the-addicted-brain","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","12"
"71","https://www.class-central.com/mooc/1403/coursera-the-addicted-brain","https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking","12"
"72","https://www.class-central.com/mooc/1403/coursera-the-addicted-brain","https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain","12"
"73","https://www.class-central.com/mooc/1403/coursera-the-addicted-brain","https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health","12"
"74","https://www.class-central.com/mooc/1403/coursera-the-addicted-brain","https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning","12"
"75","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking","12"
"76","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain","12"
"77","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health","12"
"78","https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity","https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning","12"
"79","https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking","https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain","12"
"80","https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking","https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health","12"
"81","https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking","https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning","12"
"82","https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain","https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health","12"
"83","https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain","https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning","12"
"84","https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health","https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning","12"
"85","https://www.class-central.com/mooc/663/coursera-constitutional-struggles-in-the-muslim-world","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","13"
"86","https://www.class-central.com/mooc/663/coursera-constitutional-struggles-in-the-muslim-world","https://www.class-central.com/mooc/2734/coursera-text-retrieval-and-search-engines","13"
"87","https://www.class-central.com/mooc/663/coursera-constitutional-struggles-in-the-muslim-world","https://www.class-central.com/mooc/2987/coursera-introduction-to-classical-music","13"
"88","https://www.class-central.com/mooc/663/coursera-constitutional-struggles-in-the-muslim-world","https://www.class-central.com/mooc/2733/coursera-pattern-discovery-in-data-mining","13"
