"","node1","node2","cluster"
"299","1177","136","38"
"300","1177","98","38"
"301","1177","6287","38"
"302","136","98","38"
"303","136","6287","38"
"304","136","14150","38"
"305","98","6287","38"
"306","98","14150","38"
"307","6287","14150","38"
"308","69291","101","39"
"309","69291","239","39"
"310","101","3555","39"
"311","239","3555","39"
"312","45321","340","40"
"313","45321","3354","40"
"314","45321","20","40"
"315","45321","418","40"
"316","45321","75462","40"
"317","45321","246","40"
"318","45321","86","40"
"319","45321","12695","40"
"320","45321","104","40"
"321","45321","63","40"
"322","45321","214","40"
"323","3354","20","40"
"324","34704","239","41"
"325","191","239","41"
"326","350","239","41"
"327","362","239","41"
"328","1183","239","41"
"329","239","328","41"
"330","239","160","41"
"331","108","20","42"
"332","108","246","42"
"333","418","20","42"
"334","418","246","42"
"335","97","20","42"
"336","97","246","42"
"337","35","20","42"
"338","35","246","42"
"339","16","20","42"
"340","16","246","42"
"341","20","246","42"
"342","20","214","42"
"343","20","188","42"
"344","20","340","42"
"345","214","246","42"
"346","188","246","42"
"347","340","246","42"
"348","86","85","43"
"349","85","98","43"
"350","85","188","43"
"351","85","340","43"
"352","98","188","43"
"353","98","340","43"
"354","36266","401","44"
"355","36266","390","44"
"356","36266","385","44"
"357","36266","21","44"
"358","36266","468","44"
"359","401","390","44"
"360","401","385","44"
"361","401","21","44"
"362","401","468","44"
"363","390","385","44"
"364","390","21","44"
"365","390","468","44"
"366","385","21","44"
"367","385","468","44"
"368","21","468","44"
"369","67376","72","45"
"370","67376","6266","45"
"371","72","6266","45"
"372","72","74","45"
"373","3263","166","46"
"374","3263","137","46"
"375","3263","407","46"
"376","3263","14381","46"
"377","3263","365","46"
"378","3263","91","46"
"379","3263","12638","46"
"380","3263","6376","46"
"381","166","137","46"
"382","166","407","46"
"383","166","14381","46"
"384","166","12699","46"
"385","166","365","46"
"386","166","91","46"
"387","166","12638","46"
"388","166","6376","46"
"389","137","14381","46"
"390","137","12699","46"
"391","137","365","46"
"392","137","91","46"
"393","137","12638","46"
"394","137","6376","46"
"395","407","14381","46"
"396","407","12699","46"
"397","407","365","46"
"398","407","91","46"
"399","407","12638","46"
"400","407","6376","46"
"401","14381","12699","46"
"402","14381","365","46"
"403","14381","91","46"
"404","14381","12638","46"
"405","14381","6376","46"
"406","12699","365","46"
"407","12699","91","46"
"408","12699","12638","46"
"409","12699","6376","46"
"410","365","91","46"
"411","365","12638","46"
"412","365","6376","46"
"413","91","12638","46"
"414","91","6376","46"
"415","12638","6376","46"
"416","45321","166","47"
"417","45321","3277","47"
"418","45321","95","47"
"419","418","166","47"
"420","418","3277","47"
"421","418","95","47"
"422","75462","166","47"
"423","75462","3277","47"
"424","75462","95","47"
"425","166","3277","47"
"426","166","95","47"
"427","3277","95","47"
"428","36403","379","48"
"429","36403","3370","48"
"430","36403","98","48"
"431","36403","69983","48"
"432","36403","3199","48"
"433","36403","217","48"
"434","36403","201","48"
"435","69983","3199","48"
"436","69983","217","48"
"437","69983","201","48"
"438","34704","359","49"
"439","359","361","49"
"440","359","459","49"
"441","359","362","49"
"442","362","202","49"
"443","14158","62","50"
"444","14158","29","50"
"445","62","29","50"
"446","62","12685","50"
"447","29","12685","50"
"448","36234","35757","51"
"449","36234","419","51"
"450","36234","221","51"
"451","36234","21","51"
"452","35757","419","51"
"453","35757","221","51"
"454","35757","21","51"
"455","196","221","51"
"456","196","21","51"
"457","419","221","51"
"458","419","21","51"
"459","40","21","51"
"460","221","21","51"
"461","217","122","52"
"462","244","137","52"
"463","244","407","52"
"464","244","122","52"
"465","244","35","52"
"466","244","81","52"
"467","244","411","52"
"468","244","433","52"
"469","244","200","52"
"470","244","29","52"
"471","244","377","52"
"472","244","3361","52"
"473","244","416","52"
"474","244","240","52"
"475","244","96","52"
"476","244","202","52"
"477","137","411","52"
"478","137","407","52"
"479","137","122","52"
"480","137","35","52"
"481","137","81","52"
"482","137","433","52"
"483","137","200","52"
"484","137","29","52"
"485","137","377","52"
"486","137","3361","52"
"487","137","416","52"
"488","137","240","52"
"489","137","96","52"
"490","137","202","52"
"491","407","122","52"
"492","407","35","52"
"493","407","81","52"
"494","407","411","52"
"495","407","433","52"
"496","407","200","52"
"497","407","29","52"
"498","407","377","52"
"499","407","3361","52"
"500","407","416","52"
"501","407","240","52"
"502","407","96","52"
"503","407","202","52"
"504","122","35","52"
"505","122","81","52"
"506","122","411","52"
"507","122","433","52"
"508","122","200","52"
"509","122","29","52"
"510","122","377","52"
"511","122","3361","52"
"512","122","416","52"
"513","122","240","52"
"514","122","96","52"
"515","122","202","52"
"516","35","81","52"
"517","35","411","52"
"518","35","433","52"
"519","35","200","52"
"520","35","29","52"
"521","35","377","52"
"522","35","3361","52"
"523","35","416","52"
"524","35","240","52"
"525","35","96","52"
"526","35","202","52"
"527","81","411","52"
"528","81","433","52"
"529","81","200","52"
"530","81","29","52"
"531","81","377","52"
"532","81","3361","52"
"533","81","416","52"
"534","81","240","52"
"535","81","96","52"
"536","81","202","52"
"537","411","433","52"
"538","411","200","52"
"539","411","29","52"
"540","411","377","52"
"541","411","3361","52"
"542","411","416","52"
"543","411","240","52"
"544","411","96","52"
"545","411","202","52"
"546","433","200","52"
"547","433","29","52"
"548","433","377","52"
"549","433","3361","52"
"550","433","416","52"
"551","433","240","52"
"552","433","96","52"
"553","433","202","52"
"554","200","29","52"
"555","200","377","52"
"556","200","3361","52"
"557","200","416","52"
"558","200","240","52"
"559","200","96","52"
"560","200","202","52"
"561","29","377","52"
"562","29","3361","52"
"563","29","416","52"
"564","29","240","52"
"565","29","96","52"
"566","29","202","52"
"567","377","3361","52"
"568","377","416","52"
"569","377","240","52"
"570","377","96","52"
"571","377","202","52"
"572","3361","416","52"
"573","3361","240","52"
"574","3361","96","52"
"575","416","240","52"
"576","416","96","52"
"577","416","202","52"
"578","240","96","52"
"579","240","202","52"
"580","96","202","52"
"581","108","31","53"
"582","108","1176","53"
"583","418","31","53"
"584","31","16","53"
"585","31","1176","53"
"586","31","97","53"
"587","31","20","53"
"588","31","246","53"
"589","1176","97","53"
"590","1176","16","53"
"591","1176","20","53"
"592","1176","246","53"
"593","76","139","54"
"594","76","138","54"
"595","76","85","54"
"596","76","250","54"
"597","76","156","54"
"598","139","138","54"
"599","139","85","54"
"600","139","250","54"
"601","138","85","54"
"602","138","250","54"
"603","85","250","54"
"604","81425","12681","55"
"605","81425","199","55"
"606","81425","36403","55"
"607","81425","36388","55"
"608","81425","81","55"
"609","14158","12685","56"
"610","14158","391","56"
"611","14158","12637","56"
"612","14158","1177","56"
"613","14158","357","56"
"614","14158","3611","56"
"615","14158","190","56"
"616","14158","390","56"
"617","14158","54","56"
"618","14158","408","56"
"619","14158","12705","56"
"620","14158","14150","56"
"621","40","1177","56"
"622","192","390","56"
"623","391","12637","56"
"624","391","1177","56"
"625","391","357","56"
"626","391","3611","56"
"627","391","190","56"
"628","391","390","56"
"629","391","12685","56"
"630","391","408","56"
"631","391","12705","56"
"632","391","14150","56"
"633","12637","1177","56"
"634","12637","357","56"
"635","12637","3611","56"
"636","12637","190","56"
"637","12637","390","56"
"638","12637","12685","56"
"639","12637","54","56"
"640","12637","408","56"
"641","12637","12705","56"
"642","12637","14150","56"
"643","1177","54","56"
"644","1177","14150","56"
"645","1177","357","56"
"646","1177","3611","56"
"647","1177","190","56"
"648","1177","390","56"
"649","1177","12685","56"
"650","1177","408","56"
"651","1177","12705","56"
"652","357","3611","56"
"653","357","190","56"
"654","357","390","56"
"655","357","12685","56"
"656","357","54","56"
"657","357","408","56"
"658","357","12705","56"
"659","357","14150","56"
"660","3611","190","56"
"661","3611","390","56"
"662","3611","12685","56"
"663","3611","54","56"
"664","3611","408","56"
"665","3611","12705","56"
"666","3611","14150","56"
"667","190","390","56"
"668","190","12685","56"
"669","190","54","56"
"670","190","408","56"
"671","190","12705","56"
"672","190","14150","56"
"673","390","12685","56"
"674","390","54","56"
"675","390","408","56"
"676","390","12705","56"
"677","390","14150","56"
"678","12685","54","56"
"679","12685","408","56"
"680","12685","12705","56"
"681","12685","14150","56"
"682","54","408","56"
"683","54","12705","56"
"684","54","14150","56"
