"","node","cluster"
"73","https://www.class-central.com/mooc/427/coursera-heterogeneous-parallel-programming","17"
"74","https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming","17"
"75","https://www.class-central.com/mooc/1173/coursera-plagues-witches-and-war-the-worlds-of-historical-fiction","18"
"76","https://www.class-central.com/mooc/4685/coursera-introduccion-al-marketing","18"
"77","https://www.class-central.com/mooc/4686/coursera-introduccion-a-la-contabilidad-financiera","18"
"78","https://www.class-central.com/mooc/4688/coursera-introduccion-a-las-finanzas-corporativas","18"
"79","https://www.class-central.com/mooc/3479/edx-uinov8x-user-innovation-a-path-to-entrepreneurship","19"
"80","https://www.class-central.com/mooc/2140/edx-supply-chain-fundamentals","19"
"81","https://www.class-central.com/mooc/4807/edx-supply-chain-dynamics","19"
"82","https://www.class-central.com/mooc/4067/edx-supply-chain-design","19"
"83","https://www.class-central.com/mooc/6367/edx-supply-chain-analytics","19"
"84","https://www.class-central.com/mooc/5815/coursera-how-to-create-a-website-in-a-weekend-project-centered-course","20"
"85","https://www.class-central.com/mooc/4211/coursera-character-design-for-video-games","20"
"86","https://www.class-central.com/mooc/3891/edx-managing-addiction-a-framework-for-successful-treatment","20"
"87","https://www.class-central.com/mooc/7319/edx-first-nights-igor-stravinsky-s-the-rite-of-spring-modernism-ballet-and-riots","20"
"88","https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health","21"
"89","https://www.class-central.com/mooc/8087/coursera-the-science-of-success-what-researchers-know-that-you-should-know","21"
"90","https://www.class-central.com/mooc/2722/coursera-essentials-of-entrepreneurship-thinking-action","21"
"91","https://www.class-central.com/mooc/5644/edx-introduction-to-marketing","21"
"92","https://www.class-central.com/mooc/7829/edx-entrepreneurship-in-emerging-economies","21"
"93","https://www.class-central.com/mooc/1533/coursera-the-age-of-sustainable-development","21"
"94","https://www.class-central.com/mooc/3472/coursera-introduction-to-genomic-technologies","22"
"95","https://www.class-central.com/mooc/384/coursera-medical-neuroscience","22"
"96","https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles","22"
"97","https://www.class-central.com/mooc/3290/coursera-genome-sequencing-bioinformatics-ii","22"
"98","https://www.class-central.com/mooc/3473/coursera-genomic-data-science-with-galaxy","22"
"99","https://www.class-central.com/mooc/3478/coursera-statistics-for-genomic-data-science","22"
"100","https://www.class-central.com/mooc/342/coursera-computer-architecture","22"
"101","https://www.class-central.com/mooc/671/coursera-c-for-c-programmers-part-a","22"
"102","https://www.class-central.com/mooc/816/coursera-child-nutrition-and-cooking","22"
"103","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","22"
"104","https://www.class-central.com/mooc/3474/coursera-command-line-tools-for-genomic-data-science","22"
"105","https://www.class-central.com/mooc/5057/coursera-stanford-introduction-to-food-and-health","22"
"106","https://www.class-central.com/mooc/449/coursera-computational-neuroscience","22"
"107","https://www.class-central.com/mooc/3475/coursera-bioconductor-for-genomic-data-science","22"
"108","https://www.class-central.com/mooc/3433/coursera-algorithms-for-dna-sequencing","22"
"109","https://www.class-central.com/mooc/3476/coursera-python-for-genomic-data-science","22"
"110","https://www.class-central.com/mooc/1469/coursera-game-theory-ii-advanced-applications","22"
"111","https://www.class-central.com/mooc/1767/coursera-understanding-research-methods","22"
"112","https://www.class-central.com/mooc/3655/coursera-bitcoin-and-cryptocurrency-technologies","22"
"113","https://www.class-central.com/mooc/4913/edx-statistical-thinking-for-data-science-and-analytics","22"
"114","https://www.class-central.com/mooc/7792/coursera-an-intuitive-introduction-to-probability","22"
"115","https://www.class-central.com/mooc/563/coursera-calculus-one","22"
"116","https://www.class-central.com/mooc/398/coursera-neural-networks-for-machine-learning","22"
"117","https://www.class-central.com/mooc/502/coursera-the-ancient-greeks","22"
"118","https://www.class-central.com/mooc/4276/coursera-internet-of-things-how-did-we-get-here","22"
"119","https://www.class-central.com/mooc/4911/edx-enabling-technologies-for-data-science-and-analytics-the-internet-of-things","22"
"120","https://www.class-central.com/mooc/616/coursera-cryptography-i","22"
"121","https://www.class-central.com/mooc/4912/edx-machine-learning-for-data-science-and-analytics","22"
"122","https://www.class-central.com/mooc/4351/coursera-regression-modeling-in-practice","22"
"123","https://www.class-central.com/mooc/744/coursera-social-and-economic-networks-models-and-analysis","22"
"124","https://www.class-central.com/mooc/1135/coursera-the-music-of-the-beatles","22"
"125","https://www.class-central.com/mooc/1717/coursera-statistical-inference","22"
"126","https://www.class-central.com/mooc/2734/coursera-text-retrieval-and-search-engines","22"
"127","https://www.class-central.com/mooc/4312/coursera-basic-statistics","22"
"128","https://www.class-central.com/mooc/1718/coursera-regression-models","22"
"129","https://www.class-central.com/mooc/1720/coursera-developing-data-products","22"
"130","https://www.class-central.com/mooc/4313/coursera-machine-learning-clustering-retrieval","22"
"131","https://www.class-central.com/mooc/4325/coursera-interfacing-with-the-arduino","22"
"132","https://www.class-central.com/mooc/6085/coursera-framework-for-data-collection-and-analysis","22"
"133","https://www.class-central.com/mooc/309/coursera-probabilistic-graphical-models-1-representation","22"
"134","https://www.class-central.com/mooc/431/coursera-how-things-work-an-introduction-to-physics","22"
"135","https://www.class-central.com/mooc/669/coursera-the-new-nordic-diet-from-gastronomy-to-health","22"
"136","https://www.class-central.com/mooc/1719/coursera-practical-machine-learning","22"
