"","node1","node2","cluster"
"1","6814","102","1"
"2","6814","385","1"
"3","6814","414","1"
"4","6814","386","1"
"5","102","385","1"
"6","102","414","1"
"7","102","386","1"
"8","385","414","1"
"9","385","386","1"
"10","414","386","1"
"11","75193","379","2"
"12","75193","70362","2"
"13","379","70362","2"
"14","81425","86","3"
"15","81425","350","3"
"16","3133","86","3"
"17","3133","350","3"
"18","86","350","3"
"19","81876","86","4"
"20","86","12","4"
"21","86","17410","4"
"22","86","51467","4"
"23","86","51446","4"
"24","86","35","4"
"25","69939","12","5"
"26","35742","12","5"
"27","36403","12","5"
"28","41388","12","5"
"29","69885","12","5"
"30","24359","12","5"
"31","12","479","5"
"32","12","401","5"
"33","12","407","5"
"34","12","42","5"
"35","12","1177","5"
"36","12","20420","5"
"37","12","469","5"
"38","12","12696","5"
"39","12","239","5"
"40","12","328","5"
"41","12","24","5"
"42","12","25295","5"
"43","12","136","5"
"44","12","398","5"
"45","12","480","5"
"46","12","98","5"
"47","12","115","5"
"48","12","28660","5"
"49","12","188","5"
"50","12","16847","5"
"51","12","28164","5"
"52","12","365","5"
"53","12","198","5"
"54","12","344","5"
"55","12","24330","5"
"56","12","12690","5"
"57","12","25942","5"
"58","12","14151","5"
"59","12","159","5"
"60","12","6823","5"
"61","12","20325","5"
"62","12","14154","5"
"63","12","418","5"
"64","12","75462","5"
"65","12","106","5"
"66","12","28662","5"
"67","12","68132","5"
"68","12","340","5"
"69","12","20","5"
"70","12","374","5"
"71","12","25392","5"
"72","12","250","5"
"73","12","68121","5"
"74","80172","3356","6"
"75","80172","14158","6"
"76","80172","3613","6"
"77","80172","12647","6"
"78","80172","14308","6"
"79","80172","421","6"
"80","3356","14158","6"
"81","3356","12647","6"
"82","3356","14308","6"
"83","3356","421","6"
"84","14158","3613","6"
"85","14158","12647","6"
"86","14158","14308","6"
"87","14158","421","6"
"88","3613","12647","6"
"89","3613","14308","6"
"90","3613","421","6"
"91","12647","14308","6"
"92","12647","421","6"
"93","14308","421","6"
"94","34642","34834","7"
"95","34642","69895","7"
"96","34642","34617","7"
"97","34642","67376","7"
"98","34642","60","7"
"99","34642","12681","7"
"100","34642","79","7"
"101","34834","69895","7"
"102","34834","34617","7"
"103","34834","67376","7"
"104","34834","60","7"
"105","34834","12681","7"
"106","34834","79","7"
"107","69895","34617","7"
"108","69895","67376","7"
"109","69895","60","7"
"110","69895","12681","7"
"111","69895","79","7"
"112","34617","67376","7"
"113","34617","60","7"
"114","34617","12681","7"
"115","34617","79","7"
"116","67376","60","7"
"117","67376","12681","7"
"118","67376","79","7"
"119","60","12681","7"
"120","60","79","7"
"121","12681","79","7"
"122","81876","97","8"
"123","81876","101","8"
"124","35742","97","8"
"125","35742","101","8"
"126","97","17410","8"
"127","97","101","8"
"128","97","6823","8"
"129","17410","101","8"
"130","101","6823","8"
"131","36235","45520","9"
"132","34840","45520","9"
"133","36234","45520","9"
"134","35774","45520","9"
"135","45520","83112","9"
"136","45520","69880","9"
"137","45520","78566","9"
"138","45520","35757","9"
"139","45520","36320","9"
"140","45520","36401","9"
"141","45520","45173","9"
"142","45520","36398","9"
"143","45520","36400","9"
"144","45520","45177","9"
"145","45520","35754","9"
"146","45520","75452","9"
"147","45520","36236","9"
"148","45520","81720","9"
"149","45520","36237","9"
"150","45520","81430","9"
"151","45520","80171","9"
"152","45520","45182","9"
"153","45520","45324","9"
"154","45520","45183","9"
"155","45520","35864","9"
"156","45520","36368","9"
"157","45520","45521","9"
"158","45168","68064","10"
"159","45168","12695","10"
"160","45168","45430","10"
"161","45168","28662","10"
"162","68064","12695","10"
"163","68064","45430","10"
"164","12","12695","10"
"165","12695","45430","10"
"166","12695","28662","10"
"167","12695","24","10"
"168","45430","28662","10"
"169","68064","16","11"
"170","68064","112","11"
"171","16","112","11"
"172","36404","45321","12"
"173","36404","75449","12"
"174","36404","88","12"
