"","node","cluster"
"1","34704","1"
"2","361","1"
"3","459","1"
"4","70384","2"
"5","75","2"
"6","458","2"
"7","24","3"
"8","12690","3"
"9","468","3"
"10","150","4"
"11","385","4"
"12","3366","4"
"13","3131","5"
"14","3238","5"
"15","407","5"
"16","1183","5"
"17","34642","6"
"18","14080","6"
"19","12696","6"
"20","6823","6"
"21","12636","7"
"22","101","7"
"23","61","7"
"24","12653","7"
"25","40","8"
"26","244","8"
"27","137","8"
"28","407","8"
"29","122","8"
"30","35","8"
"31","81","8"
"32","411","8"
"33","433","8"
"34","200","8"
"35","29","8"
"36","214","8"
"37","54","8"
"38","377","8"
"39","3361","8"
"40","416","8"
"41","240","8"
"42","96","8"
"43","202","8"
"44","196","9"
"45","63","9"
"46","419","9"
"47","244","9"
"48","137","9"
"49","407","9"
"50","122","9"
"51","35","9"
"52","81","9"
"53","411","9"
"54","433","9"
"55","200","9"
"56","61","9"
"57","29","9"
"58","214","9"
"59","377","9"
"60","3361","9"
"61","416","9"
"62","240","9"
"63","96","9"
"64","202","9"
"65","12749","10"
"66","1192","10"
"67","468","10"
"68","60","11"
"69","197","11"
"70","75","11"
"71","12","12"
"72","418","12"
"73","3555","12"
"74","115","12"
"75","188","12"
"76","34831","13"
"77","35742","13"
"78","81151","13"
"79","69885","14"
"80","108","14"
"81","401","14"
"82","239","14"
"83","340","14"
"84","357","14"
"85","45321","15"
"86","22","15"
"87","20","15"
"88","374","15"
"89","246","15"
"90","86","16"
"91","379","16"
"92","60","16"
"93","29","16"
"94","188","16"
"95","12","17"
"96","418","17"
"97","13","17"
"98","351","17"
"99","3336","17"
"100","22","17"
"101","81876","18"
"102","69195","18"
"103","16","18"
"104","21","18"
"105","81876","19"
"106","63","19"
"107","14158","19"
"108","379","19"
"109","38","19"
"110","12636","19"
"111","391","19"
"112","12637","19"
"113","137","19"
"114","101","19"
"115","1177","19"
"116","357","19"
"117","3611","19"
"118","411","19"
"119","3370","19"
"120","239","19"
"121","201","19"
"122","190","19"
"123","390","19"
"124","12685","19"
"125","54","19"
"126","408","19"
"127","12705","19"
"128","14150","19"
"129","36234","20"
"130","35757","20"
"131","150","20"
"132","221","20"
"133","61","20"
"134","21","20"
"135","385","20"
"136","3366","20"
"137","36404","21"
"138","45321","21"
"139","14123","21"
"140","12695","21"
"141","104","21"
"142","355","21"
"143","70322","22"
"144","407","22"
"145","22","22"
"146","76","23"
"147","139","23"
"148","24","23"
