title,provider,school,rating,review_count,language,price,description,url,course_id
"Algorithms: Design and Analysis, Part 2",Coursera,Stanford University,5,5,,FREE,In this course you will learn several fundamental principles of advanced algorithm design: greedy algorithms and applications; dynamic programming and applications; NP-completeness and what it means for the algorithm designer; the design and analysis of heuristics; and more.,/enroll?course_id=112,112
Heterogeneous Parallel Programming,Coursera,University of Illinois at Urbana-Champaign,4,5,,FREE,"This course introduces concepts, languages, techniques, and patterns for programming heterogeneous, massively parallel processors. Its contents and structure have been significantly revised based on the experience gained from its initial offering in 2012. It covers heterogeneous computing architectures, data-parallel programming models, techniques for memory bandwidth management, and parallel algorithm patterns.",/enroll?course_id=113,113
"Creative, Serious and Playful Science of Android Apps",Coursera,University of Illinois at Urbana-Champaign,3,4,,FREE,"In this course, you will learn the fundamental computer science principles that power today¡¯s apps. You will also create your own Android app using Java and standard software development tools.",/enroll?course_id=115,115
Web Intelligence and Big Data,Coursera,Indian Institute of Technology Delhi,4,58,,FREE,"This course is about building 'web-intelligence' applications exploiting big data sources arising social media, mobile devices and sensors, using new big-data platforms based on the 'map-reduce' parallel programming paradigm. In the past, this course has been offered at the Indian Institute of Technology Delhi as well as the Indraprastha Institute of Information Technology Delhi.",/enroll?course_id=136,136
Introduction to Computational Finance and Financial Econometrics,Coursera,University of Washington,4,8,,FREE,"Learn mathematical and statistical tools and techniques used in quantitative and computational finance. Use the open source R statistical programming language to analyze financial data, estimate statistical models, and construct optimized portfolios. Analyze real world data and solve real world problems.",/enroll?course_id=138,138
Writing in the Sciences,Coursera,Stanford University,4,12,,FREE,"This course teaches scientists to become more effective writers, using practical examples and exercises. Topics include: principles of good writing, tricks for writing faster and with less anxiety, the format of a scientific manuscript, and issues in publication and peer review.",/enroll?course_id=150,150
Nutrition and Physical Activity for Health,Coursera,University of Pittsburgh,3,4,,FREE,"This course will provide a coherent, understandable look at the evidence on how nutrition and physical activity impact health through lower morbidity, longevity, and quality of life.",/enroll?course_id=159,159
A Look at Nuclear Science and Technology,Coursera,University of Pittsburgh,3,3,,FREE,"This course will focus on the theory, design and operation of commercial nuclear power reactors. The course will also touch on contemporary issues regarding nuclear power generation including: the nuclear fuel cycle, the economics of nuclear power, and nuclear non-proliferation.",/enroll?course_id=160,160
Women and the Civil Rights Movement,Coursera,"University of Maryland, College Park",5,4,,FREE,Learn about women¡¯s roles in the U.S. civil rights struggles of the 1890s to the 1990s.,/enroll?course_id=163,163
Exploring Quantum Physics,Coursera,"University of Maryland, College Park",4,8,,FREE,"An introduction to quantum physics with emphasis on topics at the frontiers of research, and developing understanding through exercise.",/enroll?course_id=166,166
Climate Change,Coursera,The University of Melbourne,4,1,,FREE,"This course develops an interdisciplinary understanding of the social, political, economic and scientific perspectives on climate change.",/enroll?course_id=178,178
Exercise Physiology: Understanding the Athlete Within,Coursera,The University of Melbourne,4,2,,FREE,Learn about the physiological responses to acute and chronic exercise and their relevance for athletic performance.,/enroll?course_id=180,180
Passion Driven Statistics,Coursera,Wesleyan University,4,1,,FREE,"With existing data, you will develop skills in data analysis and basic statistics by exploring your own research question.",/enroll?course_id=181,181
Principles of Public Health,Coursera,"University of California, Irvine",5,3,,FREE,Principles of Public Health introduces the major concepts and principles of public health and the determinants of health status in communities. Emphasizes the ecological model that focuses on the linkages and relationships among multiple natural and social determinants affecting health.,/enroll?course_id=183,183
Generation Rx: The Science Behind Prescription Drug Abuse,Coursera,The Ohio State University,4,1,,FREE,Think that a prescription medication must be safer than a ¡°street drug¡±? Think again. Investigate the epidemic rise of prescription drug abuse and use science to debunk commonly held misconceptions regarding this phenomenon.,/enroll?course_id=184,184
Coding the Matrix: Linear Algebra through Computer Science Applications,Coursera,Brown University,4,17,,FREE,"Learn the concepts and methods of linear algebra, and how to use them to think about computational problems arising in computer science. Coursework includes building on the concepts to write small programs and run them on real data.",/enroll?course_id=188,188
Citizenship and U.S. Immigration,Coursera,Emory University,4,2,,FREE,"What does it mean for an immigrant to become a U.S. citizen? Through a background of historical and policy perspectives, this course will examine U.S. law governing how citizenship is acquired, the constitutional and international law foundations underlying immigration regulation, the role of the federal government in regulating immigration, and immigration law reform.",/enroll?course_id=190,190
AIDS,Coursera,Emory University,5,3,,FREE,"This course will discuss HIV/AIDS in the US and around the world including its history, science, and culture as well as developments in behavioral and biomedical prevention, experimental AIDS vaccines, and clinical care issues. The course will also include a discussion of the populations that are particularly vulnerable to HIV/AIDS and a look at future challenges facing people infected and affected by the AIDS pandemic.",/enroll?course_id=191,191
"The Language of Hollywood: Storytelling, Sound, and Color",Coursera,Wesleyan University,5,8,,FREE,"This Film History course explores how fundamental changes in film technology affected popular Hollywood storytelling. We will consider the transition to sound, and the introduction of color. This online educational experience is not equivalent to a college course.",/enroll?course_id=192,192
The Fiction of Relationship,Coursera,Brown University,5,11,,FREE,What is the nature of our relationship to others and the world? How can literature help us see these relationships more clearly? This course seeks to explore such questions through adventurous readings of ten great works of narrative fiction from the 18th to the 20th century.,/enroll?course_id=193,193
Archaeology's Dirty Little Secrets,Coursera,Brown University,5,21,,FREE,"Admit it ? you wanted to be an archaeologist when you grew up... This course builds on that enthusiasm, while radically expanding your notions about just what archaeology is and just what archaeologists do.",/enroll?course_id=196,196
