"","degree","closeness","betweenness","eigenvector","transitivity","constraint","url","time"
"1",9,0.000997008973080758,0,0.161201687738163,1.00238095238095,0.285398576825755,"34704",1
"2",11,0.00099304865938431,89.5320926734973,0.13512277645988,0.820562770562771,0.234805691743623,"69854",1
"3",0,0.000143430866322433,0,0.0102392300913824,0,0,"69195",1
"4",2,0.000929368029739777,19.7875668449198,0.00874678142835142,0.00238095238095238,0.500032273322087,"69981",1
"5",0,0.000143430866322433,0,0.0102392300913824,0,0,"132",1
"6",2,0.000892857142857143,1.25,0.00209848447849652,0.00238095238095238,0.500032273322087,"36388",1
"7",22,0.00102564102564103,388.081742882724,0.451345042116493,0.257792207792208,0.114637934440081,"86",1
"8",19,0.00100806451612903,182.613525250949,0.289493206905439,0.388345864661654,0.148614710093944,"12",1
"9",9,0.000983284169124877,43.7428718340483,0.152978870395894,0.613492063492064,0.258555211291752,"26",1
"10",14,0.000997008973080758,91.6334030133953,0.395278146426874,0.365018315018315,0.188755077526831,"108",1
"11",2,0.000946969696969697,0,0.0193709971598907,1.00238095238095,0.603428319240454,"30",1
"12",7,0.000965250965250965,0.0666666666666667,0.0634860783145146,1.00238095238095,0.365198540503674,"27",1
"13",13,0.00100401606425703,180.496700113612,0.251115829321549,0.245970695970696,0.146571171209378,"104",1
"14",16,0.000997008973080758,55.3905187245705,0.186908661970068,0.569047619047619,0.196225307339104,"70322",1
"15",10,0.000982318271119843,35.9166536078301,0.979799586389171,0.557936507936508,0.44000905135734,"63",1
"16",5,0.000952380952380952,2.275865186585,0.0628766711466072,1.00238095238095,0.488314430042975,"163",1
"17",5,0.000983284169124877,22.3432259790018,0.057447131731475,0.502380952380952,0.372022208552638,"75193",1
"18",9,0.000971817298347911,13.6668072123954,1,0.585714285714286,0.413011009739039,"70338",1
"19",14,0.00099601593625498,122.010218089918,0.497311543379487,0.354029304029304,0.215664217748588,"45",1
"20",1,0.000931098696461825,0,0.0273118542489765,0,1.00003227332209,"183",1
"21",6,0.000969932104752667,3.16483516483516,0.236615975471273,1.00238095238095,0.432376918479962,"38",1
"22",8,0.000980392156862745,15.0639212095094,0.330194981834959,0.716666666666667,0.378856198645259,"19",1
"23",6,0.000975609756097561,3.64924324041971,0.104817913504619,1.00238095238095,0.366883307778086,"192",1
"24",15,0.00100502512562814,91.6977680928492,0.393894747942752,0.345238095238095,0.155965461404393,"60",1
"25",0,0.000143430866322433,0,0.0102392300913824,0,0,"191",1
"26",18,0.00100200400801603,96.6184577789801,0.236200485237686,0.479505135387488,0.173442312986887,"13",1
"27",9,0.000979431929480901,31.5163104165386,0.19247873828252,0.419047619047619,0.238223074007137,"69291",1
"28",16,0.00101936799184506,220.942377640034,0.265189381822742,0.460714285714286,0.164592455115328,"97",1
"29",9,0.000997008973080758,0,0.161201687846152,1.00238095238095,0.285398576825754,"150",1
"30",10,0.000991080277502478,0.994525828577553,0.134596407209811,1.00238095238095,0.271395114192142,"114",1
"31",9,0.000978473581213307,47.3967939911825,0.135547648666381,0.613492063492064,0.309865226983167,"71",1
